Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Arad, Romania","01/01/2011",-9.0,-5.7,-7.6,-7.8,98.87,,7.6,10.8,204.67,-12.3,0.0,0.0,10.0,2.5,84.5,1022.6,"Mist, Light Snow, Fog, Snow",46.1807,21.3221,"Arad, România","Arad, România","","Overcast"
"Arad, Romania","01/02/2011",-9.8,-4.4,-6.9,-7.1,98.64,,7.9,14.4,211.71,-9.7,0.0,0.0,10.0,1.1,78.0,1018.9,"Mist, Fog",46.1807,21.3221,"Arad, România","Arad, România","","Overcast"
"Arad, Romania","01/03/2011",-4.3,-2.0,-3.4,-3.4,99.98,,9.3,14.4,232.29,-8.1,0.0,0.0,10.0,2.8,90.5,1021.7,"Mist, Light Snow, Fog, Snow",46.1807,21.3221,"Arad, România","Arad, România","","Overcast"
"Arad, Romania","01/04/2011",-10.6,-3.9,-5.0,-5.7,94.89,,5.8,7.2,192.92,-8.1,0.0,0.0,7.0,8.4,88.6,1026.3,"Mist, Fog, Sky Coverage Increasing",46.1807,21.3221,"Arad, România","Arad, România","","Overcast"
"Arad, Romania","01/05/2011",-11.9,-2.2,-6.6,-8.0,90.08,,15.1,14.4,87.58,-12.9,0.0,0.0,4.03,6.6,46.5,1025.8,"Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
"Arad, Romania","01/06/2011",-6.5,-0.1,-2.8,-5.5,81.71,,19.5,14.4,127.0,-11.5,0.0,0.0,4.03,10.6,64.5,1024.4,"Mist, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
"Arad, Romania","01/07/2011",-0.1,2.8,1.8,-0.4,85.27,,20.9,10.8,141.29,-4.9,0.5,4.17,4.0,12.4,87.5,1023.7,"Rain, Light Rain, Sky Coverage Increasing",46.1807,21.3221,"Arad, România","Arad, România","","Rain, Overcast"
"Arad, Romania","01/08/2011",2.7,8.8,5.8,3.7,86.98,,17.4,10.8,147.63,-0.4,0.0,0.0,2.0,15.7,93.3,1022.2,"Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Overcast"
"Arad, Romania","01/09/2011",5.6,12.0,7.7,5.9,88.42,,17.3,,155.63,3.1,0.3,4.17,0.0,12.6,63.0,1021.6,"Mist, Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Rain, Partially cloudy"
"Arad, Romania","01/10/2011",3.8,10.6,6.8,5.1,88.87,,15.1,,133.58,0.9,0.0,0.0,0.0,15.9,65.5,1021.8,"Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
"Arad, Romania","01/11/2011",1.2,9.5,5.3,3.9,91.38,,11.5,,116.38,0.1,0.0,0.0,0.0,14.5,62.8,1018.4,"Mist, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
"Arad, Romania","01/12/2011",1.7,7.3,4.5,3.6,93.92,,9.5,,209.25,-0.7,0.3,4.17,0.0,7.9,72.5,1017.9,"Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",46.1807,21.3221,"Arad, România","Arad, România","","Rain, Partially cloudy"
"Arad, Romania","01/13/2011",-0.3,5.2,2.7,2.5,97.99,,15.8,21.6,176.04,-2.7,0.0,0.0,0.0,2.8,58.9,1018.2,"Mist, Rain, Fog, Light Rain",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
"Arad, Romania","01/14/2011",3.6,9.6,6.4,6.1,97.53,,16.6,18.0,192.75,1.3,0.8,4.17,0.0,3.0,91.3,1017.3,"Drizzle, Mist, Light Drizzle, Rain, Heavy Drizzle/Rain, Light Drizzle/Rain, Fog, Light Rain",46.1807,21.3221,"Arad, România","Arad, România","","Rain, Overcast"
"Arad, Romania","01/15/2011",4.5,10.7,7.5,6.1,91.28,,13.6,,222.38,2.8,0.3,4.17,0.0,8.7,70.9,1019.1,"Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Rain, Partially cloudy"
"Arad, Romania","01/16/2011",2.2,10.0,5.4,3.5,88.25,,9.5,,257.33,0.7,0.0,0.0,0.0,12.6,55.5,1028.6,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
"Arad, Romania","01/17/2011",0.3,9.9,4.1,3.0,93.11,,13.6,,136.92,-1.9,0.0,0.0,0.0,7.0,31.2,1029.3,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
"Arad, Romania","01/18/2011",-2.1,1.0,0.3,0.2,98.97,,9.5,10.8,195.88,-3.3,0.0,0.0,0.0,3.5,38.5,1025.6,"Mist, Light Drizzle, Fog",46.1807,21.3221,"Arad, România","Arad, România","","Partially cloudy"
