Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Galati, Romania","01/01/2012",-1.9,6.3,1.1,-2.4,79.87,,14.4,25.1,234.42,-3.3,0.0,0.0,,3.0,36.5,1021.1,"Mist",45.4337,28.0548,"Galați, România","Galați, România","","Partially cloudy"
"Galati, Romania","01/02/2012",-5.1,5.1,0.3,-2.3,83.91,,14.3,28.8,198.63,-9.6,0.0,0.0,,3.4,32.0,1023.0,"Mist, Fog",45.4337,28.0548,"Galați, România","Galați, România","","Partially cloudy"
"Galati, Romania","01/03/2012",0.2,8.7,3.6,-0.8,73.9,,14.3,14.4,208.0,-3.5,0.0,0.0,,10.0,29.9,1021.7,"",45.4337,28.0548,"Galați, România","Galați, România","","Partially cloudy"
"Galati, Romania","01/04/2012",0.1,8.6,3.7,1.9,88.35,,14.3,21.6,209.38,-1.5,0.0,0.0,,8.5,6.6,1018.9,"Mist",45.4337,28.0548,"Galați, România","Galați, România","","Clear"
"Galati, Romania","01/05/2012",-0.8,6.7,3.9,2.1,88.68,,18.0,32.4,205.0,-3.4,0.0,0.0,,3.9,55.2,1008.0,"Mist, Fog",45.4337,28.0548,"Galați, România","Galați, România","","Partially cloudy"
"Galati, Romania","01/06/2012",3.9,7.2,5.3,4.8,96.13,,17.9,21.6,130.58,1.1,9.3,16.67,,8.5,99.9,995.4,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.4337,28.0548,"Galați, România","Galați, România","","Rain, Overcast"
"Galati, Romania","01/07/2012",1.4,5.2,3.2,2.7,96.19,,25.3,57.4,196.29,-3.7,22.9,25.0,,4.0,99.9,1006.3,"Drizzle, Light Snow, Mist, Light Drizzle, Rain, Heavy Rain, Light Rain",45.4337,28.0548,"Galați, România","Galați, România","","Rain, Overcast"
"Galati, Romania","01/08/2012",0.4,4.5,2.0,-1.6,77.2,,18.2,,332.08,-3.5,0.0,0.0,,13.9,86.3,1010.2,"Mist, Light Snow, Light Rain, Sky Coverage Increasing",45.4337,28.0548,"Galați, România","Galați, România","","Overcast"
"Galati, Romania","01/09/2012",-0.1,3.6,1.1,-2.3,78.42,,18.1,32.4,332.5,-4.5,0.0,0.0,,9.9,97.5,1014.1,"Light Snow, Mist, Sky Coverage Decreasing, Snow",45.4337,28.0548,"Galați, România","Galați, România","","Overcast"
"Galati, Romania","01/10/2012",0.7,4.8,2.3,-1.2,78.16,,18.1,18.0,338.71,-3.6,0.0,0.0,,10.0,63.5,1021.4,"Light Snow",45.4337,28.0548,"Galați, România","Galați, România","","Partially cloudy"
