Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Piatra Neamt, Romania","01/01/2012",-10.9,-4.1,-7.5,-8.7,91.57,,35.9,7.2,288.88,-18.1,0.0,0.0,15.8,20.2,25.8,1021.6,"Mist, Fog",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Partially cloudy"
"Piatra Neamt, Romania","01/02/2012",-9.4,-0.7,-4.7,-5.6,93.39,,62.0,14.4,237.21,-21.4,0.0,0.0,15.8,7.2,20.6,1021.6,"Mist, Fog, Sky Coverage Decreasing",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Clear"
"Piatra Neamt, Romania","01/03/2012",-2.1,2.3,-0.4,-1.3,94.17,,52.2,14.4,266.46,-11.1,0.0,0.0,15.8,6.3,20.5,1021.2,"Mist, Fog, Smoke Or Haze",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Clear"
"Piatra Neamt, Romania","01/04/2012",-2.8,2.3,-0.8,-1.5,95.21,,57.1,25.2,289.33,-11.8,0.0,0.0,18.0,2.3,3.9,1017.3,"Mist, Fog",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Clear"
"Piatra Neamt, Romania","01/05/2012",-4.4,-0.2,-2.6,-3.6,93.0,,53.7,25.2,251.21,-12.2,0.15,8.33,18.0,6.9,43.6,1006.7,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Fog, Sky Coverage Increasing, Snow",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Rain, Partially cloudy"
"Piatra Neamt, Romania","01/06/2012",-3.9,-1.0,-2.5,-2.8,97.48,,26.9,14.4,263.29,-10.8,0.07,12.5,18.0,2.1,28.7,995.2,"Snow And Rain Showers, Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Rain, Partially cloudy"
"Piatra Neamt, Romania","01/07/2012",-6.2,-3.1,-4.4,-5.3,93.21,,38.2,28.8,318.0,-13.1,0.93,12.5,19.11,4.0,37.1,1010.0,"Mist, Light Snow, Rain, Fog, Light Rain, Sky Coverage Increasing, Snow",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Rain, Partially cloudy"
"Piatra Neamt, Romania","01/08/2012",-9.7,-5.4,-7.6,-8.5,93.73,,24.3,10.8,304.67,-17.1,0.0,0.0,22.0,19.8,29.9,1011.9,"Mist, Fog, Sky Coverage Increasing",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Partially cloudy"
"Piatra Neamt, Romania","01/09/2012",-10.2,-4.6,-7.1,-8.1,92.45,,18.5,10.8,300.29,-16.1,0.0,0.0,22.0,7.7,55.5,1015.8,"Mist, Fog",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Partially cloudy"
"Piatra Neamt, Romania","01/10/2012",-7.2,-4.1,-5.4,-6.6,91.59,,13.1,,309.42,-12.2,0.0,0.0,22.0,5.6,44.9,1022.6,"Mist, Fog",46.9334,26.3597,"Piatra Neamț, România","Piatra Neamț, România","","Partially cloudy"
