Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Vaslui, Romania","01/01/2012",-5.6,5.1,-1.1,-3.8,83.89,,8.5,10.8,263.65,-7.4,0.0,0.0,,7.2,35.2,1021.3,"Mist, Fog, Sky Unchanged",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/02/2012",-4.2,4.2,-0.7,-3.3,83.19,,15.6,14.4,133.38,-7.4,0.0,0.0,,9.1,42.6,1021.4,"Mist",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/03/2012",-2.3,8.4,2.3,0.1,85.85,,12.0,18.0,163.29,-5.3,0.0,0.0,,6.6,55.4,1021.1,"Mist, Smoke Or Haze",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/04/2012",-0.6,9.5,3.3,1.5,88.93,,13.8,21.6,129.48,-3.8,0.0,0.0,,7.6,9.4,1017.2,"Mist",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Clear"
"Vaslui, Romania","01/05/2012",1.7,9.0,4.7,2.0,83.63,,15.8,21.6,197.38,-0.5,0.0,0.0,,8.5,62.0,1006.5,"Mist, Light Rain, Sky Coverage Decreasing",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/06/2012",2.2,6.3,4.2,2.7,89.88,,13.7,14.4,179.67,-0.5,0.0,0.0,,6.2,76.0,995.1,"Mist, Rain, Fog, Light Rain",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/07/2012",0.7,4.5,2.9,0.3,82.84,,20.0,28.8,330.83,-2.8,0.0,0.0,,9.9,94.7,1010.0,"Mist, Light Snow, Rain, Light Rain, Sky Coverage Increasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/08/2012",-3.5,3.5,-0.5,-3.6,80.58,,11.2,10.8,310.63,-5.9,0.0,0.0,,9.6,53.4,1011.7,"Mist, Sky Coverage Increasing",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/09/2012",-3.5,2.8,-0.4,-3.7,78.71,,18.8,28.8,313.38,-6.8,0.0,0.0,,9.4,80.3,1015.7,"Mist",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/10/2012",-0.3,3.7,1.5,-1.0,83.47,,14.6,25.2,318.08,-4.2,0.0,0.0,,9.9,79.3,1022.6,"Mist",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/11/2012",-2.0,2.0,-0.1,-1.4,90.71,,9.0,10.8,274.17,-2.6,0.0,0.0,,6.7,86.4,1027.2,"Mist, Light Snow, Light Rain, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/12/2012",-1.0,8.0,3.3,-0.5,77.02,,12.5,14.4,214.08,-1.8,0.0,0.0,,9.6,60.5,1023.0,"Mist, Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/13/2012",-1.8,4.9,1.5,-1.4,81.76,,14.9,31.8,206.96,-4.3,0.0,0.0,,9.2,58.7,1010.4,"Snow And Rain Showers, Mist, Freezing Drizzle/Freezing Rain, Light Rain, Sky Coverage Increasing, Light Freezing Rain, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/14/2012",-2.6,4.0,0.0,-3.3,80.43,,16.2,14.4,243.79,-5.4,0.0,0.0,1.0,9.3,61.3,1008.5,"Snow And Rain Showers, Mist, Light Snow, Sky Coverage Increasing, Sky Unchanged, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/15/2012",-3.2,3.3,-0.3,-6.0,67.11,,18.8,14.4,273.21,-7.5,0.0,0.0,1.0,9.6,77.8,1010.6,"Snow Showers, Sky Coverage Increasing",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/16/2012",-5.0,-0.8,-2.9,-5.8,80.68,,18.5,28.8,305.17,-8.5,0.0,0.0,1.47,9.1,80.6,1017.2,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/17/2012",-6.8,-1.4,-4.1,-6.1,86.32,,8.3,21.6,286.88,-9.9,0.0,0.0,1.94,7.5,82.0,1021.3,"Light Snow, Mist, Sky Coverage Increasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/18/2012",-9.1,-2.9,-5.7,-8.3,83.03,,11.0,14.4,271.21,-10.4,0.0,0.0,3.47,9.0,67.4,1029.7,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/19/2012",-10.0,-1.8,-5.3,-7.1,87.69,,18.4,18.0,117.29,-14.0,0.0,0.0,3.47,8.3,74.9,1023.7,"Mist, Light Snow, Sky Coverage Increasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/20/2012",-2.3,1.7,-0.2,-1.0,94.7,,16.5,21.6,122.88,-7.0,0.0,0.0,5.89,4.8,80.4,1010.9,"Mist, Light Snow, Rain, Light Rain And Snow, Light Rain, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/21/2012",-0.9,2.3,1.0,-0.4,90.93,,15.8,25.0,243.0,-4.6,0.0,0.0,5.0,5.4,83.4,1009.0,"Heavy Snow, Mist, Light Snow, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/22/2012",-5.2,1.1,-1.7,-3.2,89.92,,9.3,18.0,242.67,-4.8,0.0,0.0,3.83,7.2,68.1,1006.6,"Snow Showers, Mist, Light Snow, Heavy Rain And Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/23/2012",-0.8,6.2,1.7,-0.4,85.97,,15.6,28.8,178.0,-4.1,0.0,0.0,7.0,8.6,75.9,1009.7,"Mist, Light Snow, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/24/2012",-3.5,5.4,0.5,-1.4,87.66,,11.9,7.2,139.92,-7.5,0.0,0.0,2.0,8.4,57.5,1016.6,"Mist, Light Rain And Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/25/2012",-5.0,0.5,-1.5,-2.5,92.86,,20.3,32.4,60.08,-11.5,0.0,0.0,10.77,4.6,93.6,1018.3,"Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/26/2012",-11.1,-5.4,-8.3,-12.4,72.45,,23.4,35.7,293.88,-19.3,0.0,0.0,10.77,9.3,85.8,1025.4,"Mist, Dust storm",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","01/27/2012",-14.2,-8.7,-11.5,-15.2,74.69,,20.1,18.0,327.42,-20.8,0.0,0.0,9.83,8.8,55.1,1034.0,"Light Snow, Mist, Dust storm",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/28/2012",-15.9,-7.3,-12.6,-15.4,80.7,,9.9,18.0,300.04,-19.5,0.0,0.0,9.83,8.1,54.8,1039.1,"Mist",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/29/2012",-18.6,-7.8,-13.2,-16.7,76.1,,18.7,21.6,302.71,-23.7,0.0,0.0,9.83,8.8,14.3,1038.4,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Clear"
"Vaslui, Romania","01/30/2012",-14.2,-9.8,-12.3,-15.3,78.05,,18.7,32.4,325.25,-21.4,0.0,0.0,8.77,9.3,70.4,1039.5,"Light Snow, Mist, Sky Unchanged, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","01/31/2012",-15.1,-9.7,-12.8,-16.0,77.51,,19.5,36.0,318.21,-22.3,0.0,0.0,8.77,10.0,49.8,1036.9,"Light Snow, Mist, Sky Coverage Increasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/01/2012",-20.8,-13.1,-17.0,-19.8,79.23,,12.7,14.4,311.08,-26.4,0.0,0.0,8.3,9.3,39.3,1036.8,"Light Snow, Mist, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/02/2012",-23.5,-13.9,-18.6,-21.5,78.09,,6.5,14.4,260.3,-28.4,0.0,0.0,8.3,5.3,68.6,1035.6,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/03/2012",-16.5,-13.4,-14.8,-16.8,84.79,,10.9,21.6,236.54,-21.3,0.0,0.0,17.89,3.0,97.4,1037.4,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","02/04/2012",-13.6,-10.6,-12.0,-13.5,88.97,,10.8,16.1,299.13,-17.5,0.0,0.0,23.94,2.7,97.0,1034.1,"Light Snow, Mist, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","02/05/2012",-11.7,-10.9,-11.3,-12.8,89.2,,12.9,23.3,308.17,-17.9,0.0,0.0,34.0,2.6,98.4,1032.1,"Mist, Light Snow, Fog, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","02/06/2012",-12.0,-9.5,-10.8,-12.4,87.58,,14.9,25.2,317.0,-18.5,0.0,0.0,45.77,3.7,92.4,1031.8,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","02/07/2012",-16.5,-9.2,-12.5,-16.4,72.85,,26.0,43.2,304.21,-24.8,0.0,0.0,45.24,9.3,59.8,1033.9,"Mist, Light Snow, Dust storm, Sky Coverage Increasing",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/08/2012",-23.3,-13.5,-18.1,-22.3,70.46,,15.5,18.0,299.42,-29.7,0.0,0.0,43.66,10.0,24.9,1040.8,"Mist",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Clear"
"Vaslui, Romania","02/09/2012",-21.2,-11.5,-16.4,-19.2,79.12,,9.0,18.0,294.04,-25.9,0.0,0.0,40.6,5.7,75.8,1034.3,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","02/10/2012",-17.7,-11.7,-15.2,-18.2,78.21,,11.9,14.4,306.92,-22.6,0.0,0.0,40.07,8.2,61.2,1036.8,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/11/2012",-23.6,-12.0,-18.0,-21.1,77.06,,8.3,14.4,294.83,-28.0,0.0,0.0,37.6,6.8,27.5,1036.9,"Mist, Light Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/12/2012",-23.6,-13.5,-18.2,-20.9,79.98,,5.4,7.4,148.54,-23.0,0.0,0.0,36.66,3.5,60.3,1034.4,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/13/2012",-14.0,-7.4,-10.3,-11.8,89.23,,7.9,14.4,160.42,-17.2,0.0,0.0,49.43,1.7,86.8,1022.6,"Mist, Light Snow, Fog, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","02/14/2012",-10.1,-7.3,-8.5,-10.0,89.44,,15.7,32.4,307.5,-15.1,0.0,0.0,59.43,3.0,95.8,1013.4,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Overcast"
"Vaslui, Romania","02/15/2012",-16.6,-9.3,-12.2,-13.8,88.21,,22.5,28.8,170.25,-21.6,0.0,0.0,58.43,3.8,46.9,1006.5,"Light Snow, Mist, Fog, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/16/2012",-12.9,-5.1,-8.5,-10.6,85.68,,17.6,25.2,221.04,-18.5,0.0,0.0,56.96,3.7,59.8,1005.5,"Mist, Light Snow, Dust storm, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/17/2012",-14.3,-4.4,-8.5,-11.3,80.13,,19.2,28.8,311.08,-17.2,0.0,0.0,54.9,6.7,59.4,1017.9,"Mist, Light Snow, Sky Coverage Increasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/18/2012",-18.9,-5.6,-11.4,-13.5,84.96,,12.0,10.8,127.46,-21.2,0.0,0.0,52.43,4.3,60.3,1019.5,"Mist, Light Snow, Fog",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/19/2012",-8.1,-0.3,-4.5,-6.8,84.63,,22.2,28.8,123.71,-12.5,0.0,0.0,49.54,3.7,52.1,1024.8,"Mist, Light Snow, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/20/2012",-7.1,0.0,-3.5,-5.5,86.81,,18.7,25.2,148.71,-13.2,0.0,0.0,55.0,3.7,57.6,1030.0,"Mist, Fog",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/21/2012",-7.2,3.8,-1.2,-4.0,83.08,,13.2,7.2,260.0,-12.3,0.0,0.0,49.07,7.1,40.5,1033.5,"Mist, Light Snow, Fog, Sky Coverage Decreasing, Snow",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/22/2012",-15.4,4.1,-5.5,-8.5,81.57,,9.4,10.8,157.67,-15.2,0.0,0.0,47.13,7.5,26.1,1030.7,"Mist, Fog",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
"Vaslui, Romania","02/23/2012",-13.1,2.2,-5.6,-7.6,86.23,,16.7,32.4,154.29,-16.4,0.0,0.0,42.77,4.9,55.5,1021.6,"Mist, Rain, Fog, Light Rain, Light Freezing Rain",46.6385,27.7331,"Vaslui, România","Vaslui, România","","Partially cloudy"
