Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Oradea, Romania","01/01/2013",-6.9,-1.0,-4.4,-4.5,99.86,,7.6,,132.33,-10.7,0.0,0.0,0.0,0.6,42.4,1022.1,"Mist, Fog",47.0518,21.9387,"Oradea, România","Oradea, România","","Partially cloudy"
"Oradea, Romania","01/02/2013",-5.0,3.0,-2.8,-3.0,98.27,,18.4,,181.63,-10.6,0.0,0.0,0.0,5.2,37.1,1023.5,"Mist, Fog, Sky Unchanged",47.0518,21.9387,"Oradea, România","Oradea, România","","Partially cloudy"
"Oradea, Romania","01/03/2013",-2.0,2.0,-0.8,-1.1,98.41,,31.3,,185.5,-6.9,0.0,0.0,0.0,3.8,84.8,1031.8,"Mist, Fog, Rain Showers, Snow",47.0518,21.9387,"Oradea, România","Oradea, România","","Overcast"
"Oradea, Romania","01/04/2013",1.0,6.1,2.7,1.9,94.91,,29.5,,167.92,-3.9,0.0,0.0,0.0,6.6,59.0,1023.1,"Mist, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",47.0518,21.9387,"Oradea, România","Oradea, România","","Partially cloudy"
"Oradea, Romania","01/05/2013",1.0,7.0,3.2,1.2,87.7,,29.5,,196.83,-4.3,3.34,8.33,0.0,8.1,62.0,1015.7,"Drizzle, Mist, Light Drizzle, Precipitation In Vicinity, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",47.0518,21.9387,"Oradea, România","Oradea, România","","Rain, Partially cloudy"
"Oradea, Romania","01/06/2013",-1.0,3.0,0.9,-3.1,75.34,,31.3,,286.25,-5.2,0.0,0.0,0.0,10.3,41.7,1019.3,"Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",47.0518,21.9387,"Oradea, România","Oradea, România","","Partially cloudy"
"Oradea, Romania","01/07/2013",-6.0,1.0,-1.9,-6.7,71.14,,31.3,,204.58,-9.7,0.29,4.17,0.37,9.7,28.4,1022.6,"Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",47.0518,21.9387,"Oradea, România","Oradea, România","","Rain, Partially cloudy"
"Oradea, Romania","01/08/2013",-10.0,-2.0,-6.1,-9.3,79.17,,11.2,,239.42,-14.3,0.0,0.0,0.0,10.0,27.1,1028.7,"Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",47.0518,21.9387,"Oradea, România","Oradea, România","","Partially cloudy"
"Oradea, Romania","01/09/2013",-11.9,-3.0,-6.6,-8.0,90.47,,11.2,,104.67,-16.9,0.37,4.17,4.0,7.0,54.2,1024.7,"Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Light Freezing Rain, Snow",47.0518,21.9387,"Oradea, România","Oradea, România","","Rain, Partially cloudy"
"Oradea, Romania","01/10/2013",-12.0,0.0,-4.2,-5.1,93.78,,22.3,,153.71,-18.1,0.32,4.17,3.0,7.1,74.9,1015.4,"Mist, Light Snow, Fog, Freezing Drizzle/Freezing Rain, Sky Coverage Increasing, Light Freezing Rain, Snow",47.0518,21.9387,"Oradea, România","Oradea, România","","Rain, Partially cloudy"
