Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Cluj-Napoca, Romania","01/01/2013",-10.4,-1.7,-6.6,-8.1,89.65,,7.1,10.8,136.13,-11.5,0.0,0.0,3.0,3.0,5.8,1024.0,"Mist, Fog",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Clear"
"Cluj-Napoca, Romania","01/02/2013",-10.1,-1.8,-6.1,-7.9,87.8,,7.1,14.4,176.3,-12.1,0.0,0.0,3.0,4.1,33.1,1024.9,"Mist, Fog",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/03/2013",-5.5,-2.5,-3.6,-3.9,97.79,,11.1,18.0,171.54,-7.3,0.3,4.17,3.0,2.8,89.1,1032.2,"Mist, Light Snow, Fog, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/04/2013",-3.1,5.9,0.7,-1.1,88.64,,21.7,32.4,205.38,-5.9,0.0,0.0,4.0,6.1,85.8,1023.1,"Snow And Rain Showers, Mist, Light Snow, Fog, Rain Showers, Sky Coverage Increasing, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Overcast"
"Cluj-Napoca, Romania","01/05/2013",-0.2,2.2,1.3,-0.7,86.87,,26.9,46.8,283.5,-5.1,0.0,0.0,3.0,10.3,77.0,1014.6,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Heavy Rain And Snow, Light Rain, Sky Coverage Increasing",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Overcast"
"Cluj-Napoca, Romania","01/06/2013",-2.3,0.6,-0.8,-4.4,76.83,,31.0,54.0,292.0,-7.0,0.0,0.0,3.0,10.4,67.8,1017.5,"Snow And Rain Showers, Snow Showers, Sky Coverage Decreasing, Sky Coverage Increasing",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/07/2013",-7.8,-2.0,-4.2,-8.6,72.76,,25.4,39.6,290.63,-13.9,0.0,0.0,3.0,10.4,43.7,1021.0,"Snow And Rain Showers, Light Snow, Mist, Sky Coverage Decreasing, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/08/2013",-10.4,-3.1,-7.4,-11.4,73.91,,12.9,18.0,260.04,-15.4,1.0,4.17,3.0,10.0,7.1,1028.5,"Mist",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain"
"Cluj-Napoca, Romania","01/09/2013",-11.1,-5.3,-8.8,-10.8,85.63,,10.4,18.0,133.63,-16.7,1.0,4.17,3.0,9.7,48.7,1025.9,"Mist, Light Snow, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Partially cloudy"
"Cluj-Napoca, Romania","01/10/2013",-11.6,-6.4,-9.2,-10.7,88.55,,14.3,21.6,73.33,-16.1,0.0,0.0,3.0,9.5,62.4,1017.7,"Mist",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/11/2013",-6.3,-1.9,-4.0,-5.6,88.79,,8.9,14.4,125.08,-10.5,1.0,4.17,3.0,5.7,85.4,1010.8,"Mist, Light Snow, Fog",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/12/2013",-5.9,0.1,-3.0,-6.4,78.41,,12.9,21.6,209.71,-9.3,0.0,0.0,3.0,9.2,44.3,1017.2,"Mist, Light Snow, Fog, Sky Coverage Decreasing, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/13/2013",-7.4,-1.6,-4.9,-7.3,83.66,,12.7,25.2,112.46,-10.4,0.0,0.0,3.0,9.0,66.0,1022.7,"Mist, Sky Coverage Increasing",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/14/2013",-4.7,3.3,-1.0,-6.2,68.22,,17.9,25.2,69.46,-9.5,14.8,12.5,3.0,10.0,72.3,1020.8,"Light Snow, Mist",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Partially cloudy"
"Cluj-Napoca, Romania","01/15/2013",0.2,6.9,3.6,-1.2,70.96,,18.1,25.2,73.63,-3.0,7.1,4.17,3.0,10.0,76.4,1014.9,"Mist",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/16/2013",-0.1,11.0,4.6,1.1,79.05,,18.1,28.8,148.29,-2.4,0.5,4.17,2.0,10.4,69.7,1004.4,"Mist, Rain Showers, Light Rain, Sky Coverage Increasing",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Partially cloudy"
"Cluj-Napoca, Romania","01/17/2013",-2.3,0.3,-1.2,-1.2,99.65,,10.7,14.4,211.0,-5.3,0.0,0.0,,1.1,63.4,1003.7,"Mist, Fog",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/18/2013",-2.9,1.6,-0.5,-0.6,99.46,,7.1,14.4,81.96,-5.2,0.5,4.17,,3.2,73.8,1001.5,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Light Freezing Rain, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Partially cloudy"
"Cluj-Napoca, Romania","01/19/2013",-1.9,0.4,-0.5,-0.7,98.66,,10.8,18.0,236.25,-4.5,0.8,4.17,6.0,5.6,98.5,999.8,"Mist, Light Snow, Light Rain, Sky Coverage Increasing, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/20/2013",-2.3,1.7,-0.4,-1.3,94.16,,14.6,21.6,72.04,-5.6,0.0,0.0,6.0,7.4,93.2,1005.9,"Mist, Light Snow, Rain, Light Rain, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Overcast"
"Cluj-Napoca, Romania","01/21/2013",0.7,5.7,2.5,1.5,93.17,,10.6,21.6,113.33,-1.0,11.9,8.33,5.0,7.8,65.6,1002.2,"Mist, Fog",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Partially cloudy"
"Cluj-Napoca, Romania","01/22/2013",0.4,6.2,2.7,2.0,95.65,,9.0,14.4,197.13,-1.2,10.1,12.5,3.0,3.1,72.9,1000.5,"Mist, Rain, Fog, Rain Showers, Light Rain",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Partially cloudy"
"Cluj-Napoca, Romania","01/23/2013",-0.2,2.6,1.0,0.7,98.01,,7.7,10.8,192.26,-2.5,1.0,4.17,,5.1,87.5,1007.9,"Mist, Light Snow, Rain, Fog, Light Rain, Light Freezing Rain",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/24/2013",-1.6,1.2,-0.7,-0.8,98.82,,10.8,18.0,94.67,-4.2,0.3,4.17,,1.4,81.4,1010.0,"Mist, Light Snow, Fog, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/25/2013",-3.4,-0.1,-1.1,-1.6,96.46,,10.8,21.6,103.88,-4.3,0.0,0.0,7.0,5.6,93.2,1008.1,"Mist, Light Snow, Fog, Light Rain, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Overcast"
"Cluj-Napoca, Romania","01/26/2013",-9.0,-2.0,-5.0,-7.0,86.0,,7.3,18.0,63.71,-12.3,0.0,0.0,7.0,7.8,74.8,1015.7,"Mist, Fog",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Partially cloudy"
"Cluj-Napoca, Romania","01/27/2013",-7.9,-1.7,-4.4,-6.3,86.82,,7.6,10.8,137.96,-11.5,2.0,4.17,7.0,9.1,94.9,1017.6,"Mist, Fog",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/28/2013",-6.2,-1.0,-3.8,-4.5,95.17,,7.6,18.0,103.46,-7.5,6.1,8.33,8.0,3.0,81.2,1017.3,"Mist, Light Snow, Fog, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
"Cluj-Napoca, Romania","01/29/2013",-4.7,0.7,-2.6,-3.4,94.19,,9.2,18.0,98.77,-6.7,1.0,4.17,6.0,3.6,96.1,1021.4,"Mist, Light Snow, Fog, Snow",46.7687,23.585,"Cluj-Napoca, România","Cluj-Napoca, România","","Rain, Overcast"
