Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Targu Jiu, Romania","01/01/2013",-4.9,4.7,-1.6,-3.9,86.14,,3.6,7.2,111.05,,0.0,0.0,,6.7,0.0,1023.7,"Mist",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Clear"
"Targu Jiu, Romania","01/02/2013",-6.3,4.2,-1.9,-3.9,88.18,,7.2,10.8,140.0,-6.4,0.0,0.0,,3.4,0.4,1024.2,"Mist, Fog",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Clear"
"Targu Jiu, Romania","01/03/2013",-3.1,7.6,3.6,-1.0,73.3,,39.6,50.4,260.43,-5.3,0.0,0.0,,9.1,10.4,1030.2,"Mist",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Clear"
"Targu Jiu, Romania","01/04/2013",2.1,9.2,5.8,1.0,71.42,,21.6,28.8,262.08,-1.0,0.0,0.0,,10.0,52.9,1023.4,"",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Partially cloudy"
"Targu Jiu, Romania","01/05/2013",2.4,8.7,5.4,1.3,76.2,,28.8,54.0,285.0,-0.5,0.0,0.0,,10.0,55.8,1013.6,"",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Partially cloudy"
"Targu Jiu, Romania","01/06/2013",0.7,5.9,3.3,-4.2,58.62,,36.0,68.4,291.67,-2.1,0.0,0.0,,10.0,42.5,1015.8,"",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Partially cloudy"
"Targu Jiu, Romania","01/07/2013",-3.3,5.1,1.2,-6.4,58.55,,25.2,36.0,234.78,-4.6,0.0,0.0,,10.0,27.1,1017.9,"",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Partially cloudy"
"Targu Jiu, Romania","01/08/2013",-6.1,1.9,-2.6,-9.3,61.18,,25.2,43.2,238.75,-8.5,0.0,0.0,,10.0,0.0,1025.5,"",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Clear"
"Targu Jiu, Romania","01/09/2013",-7.1,1.4,-3.1,-7.5,72.61,,14.4,21.6,207.08,-10.8,0.0,0.0,,10.0,57.9,1023.6,"",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Partially cloudy"
"Targu Jiu, Romania","01/10/2013",-7.1,-1.1,-3.4,-5.3,86.34,,7.2,14.4,177.89,-10.6,0.0,0.0,,5.5,76.3,1018.5,"Mist",45.0378,23.2688,"Târgu Jiu, România","Târgu Jiu, România","","Overcast"
