Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Satu Mare, Romania","01/01/2013",-6.9,4.1,-2.8,-4.6,88.65,,7.9,,135.48,-10.6,0.0,0.0,,6.6,3.0,1026.3,"Mist, Fog",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Clear"
"Satu Mare, Romania","01/02/2013",-8.0,5.0,-2.1,-4.2,87.11,,22.0,,138.75,-10.8,0.0,0.0,,8.0,18.9,,"Mist, Fog",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Clear"
"Satu Mare, Romania","01/03/2013",-3.0,0.9,-1.2,-1.6,97.09,,17.7,,224.96,-7.3,0.0,0.0,,3.4,94.0,,"Drizzle, Mist, Light Snow, Fog, Snow",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Overcast"
"Satu Mare, Romania","01/04/2013",1.0,3.9,2.3,1.6,95.6,,25.1,,256.52,-3.4,0.0,0.0,,5.8,83.9,,"Ice, Light Snow, Heavy Drizzle, Mist, Light Drizzle, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Fog, Light Rain, Light Freezing Rain",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Overcast"
"Satu Mare, Romania","01/05/2013",0.0,3.9,1.6,0.8,94.26,,25.4,,261.0,-4.6,0.0,0.0,,7.0,64.0,,"Mist, Light Drizzle, Rain Showers, Fog, Light Rain",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Partially cloudy"
"Satu Mare, Romania","01/06/2013",-1.0,3.0,0.4,-2.9,79.16,,28.8,,313.75,-5.6,0.0,0.0,,10.5,45.9,,"Light Snow, Mist, Snow",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Partially cloudy"
"Satu Mare, Romania","01/07/2013",-5.2,-0.9,-2.9,-7.5,72.36,,28.9,,217.75,-11.3,0.0,0.0,,9.3,19.4,,"Light Snow, Light Freezing Drizzle/Freezing Rain",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Clear"
"Satu Mare, Romania","01/08/2013",-10.3,-1.2,-5.2,-8.7,77.37,,14.4,,220.27,-14.7,0.0,0.0,,10.4,33.1,,"",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Partially cloudy"
"Satu Mare, Romania","01/09/2013",-7.0,-3.0,-4.8,-6.6,87.09,,10.8,,133.48,-10.7,0.0,0.0,,9.0,59.2,,"Mist, Light Snow",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Partially cloudy"
"Satu Mare, Romania","01/10/2013",-6.9,-2.9,-4.6,-6.0,90.12,,14.6,,142.04,-10.8,0.0,0.0,,6.9,89.0,,"Light Snow, Mist, Fog, Snow",47.7933,22.8766,"Satu Mare, România","Satu Mare, România","","Overcast"
