Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Resita, Romania","01/01/2014",2.8,6.9,4.3,-0.1,72.99,,31.7,57.2,133.96,-2.4,0.0,0.0,,15.0,29.4,1023.6,"Mist",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/02/2014",2.0,7.5,3.7,-0.3,75.66,,30.3,46.8,133.75,-3.0,0.0,0.0,,16.7,13.1,1020.9,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Clear"
"Resita, Romania","01/03/2014",3.1,10.2,5.5,1.6,76.48,,25.3,46.3,150.0,-1.8,0.0,0.0,,19.1,31.3,1021.8,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/04/2014",4.3,12.7,8.3,3.2,70.82,,27.3,46.4,150.08,1.6,0.0,0.0,,19.3,37.0,1022.3,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/05/2014",6.9,10.9,8.8,3.1,67.76,,29.8,53.9,140.88,2.9,0.25,8.33,,13.4,64.3,1015.5,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/06/2014",5.4,14.8,9.7,4.9,73.49,,25.9,40.5,194.33,3.6,0.03,4.17,,14.0,44.9,1019.3,"Mist, Light Drizzle, Fog, Sky Coverage Decreasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/07/2014",3.1,8.6,5.7,5.3,96.4,,9.6,10.8,111.42,1.7,0.03,8.33,,4.4,57.8,1025.5,"Mist, Light Drizzle, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/08/2014",0.8,8.4,3.9,3.1,94.83,,10.3,21.6,154.08,-0.9,0.0,0.0,,6.1,31.7,1026.2,"Mist, Fog",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/09/2014",0.9,6.8,2.8,2.2,95.11,,6.5,7.2,128.71,-0.3,0.0,0.0,,3.1,54.2,1023.5,"Mist, Light Drizzle, Fog",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/10/2014",0.8,7.9,3.7,1.4,85.04,,13.5,39.6,169.92,-1.1,0.0,0.0,,8.4,70.7,1018.6,"Mist, Fog, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/11/2014",0.7,12.1,6.0,1.7,75.59,,14.0,44.3,137.17,-1.3,0.0,0.0,,11.7,52.3,1023.1,"Mist, Fog",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/12/2014",2.4,8.9,7.0,3.3,77.56,,13.7,33.9,244.33,3.0,1.6,12.5,,11.8,72.8,1022.4,"Mist, Rain, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/13/2014",-3.5,10.9,2.2,-2.1,76.17,,13.6,18.0,122.92,-6.2,0.0,0.0,,16.3,12.1,1022.1,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Clear"
"Resita, Romania","01/14/2014",-2.9,10.7,4.4,-3.3,59.62,,34.3,59.2,135.21,-7.0,0.0,0.0,,20.1,17.4,1016.1,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Clear"
"Resita, Romania","01/15/2014",5.1,8.1,6.5,1.4,71.51,,35.4,59.4,175.63,0.4,1.29,12.5,,14.0,74.6,1012.5,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/16/2014",0.3,7.4,3.6,2.0,89.55,,11.9,18.0,206.88,-2.2,0.48,4.17,,8.8,44.5,1017.3,"Mist, Rain Showers, Fog, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/17/2014",3.0,12.0,6.9,1.4,68.45,,27.7,43.2,147.29,-0.3,0.0,0.0,,18.7,47.9,1015.8,"Mist",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/18/2014",8.5,13.7,11.1,3.9,61.24,,23.0,63.0,137.54,5.2,0.0,0.0,,18.5,65.4,1014.5,"Mist, Rain, Light Rain",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/19/2014",9.7,13.4,11.5,5.1,65.03,,31.5,58.6,145.04,6.6,0.4,12.5,,17.2,67.5,1012.6,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/20/2014",8.8,12.8,10.5,6.8,78.06,,32.0,59.7,143.38,5.1,2.74,20.83,,15.1,69.7,1007.2,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","01/21/2014",6.5,9.1,7.9,5.0,82.12,,28.6,52.9,134.25,2.9,2.3,20.83,,10.7,81.0,1005.7,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/22/2014",4.7,6.6,5.3,4.2,93.18,,11.6,25.2,231.21,2.2,8.79,33.33,,7.7,93.4,1011.2,"Mist, Light Drizzle, Rain, Light Drizzle/Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/23/2014",2.7,5.2,3.9,2.9,92.67,,8.5,10.8,200.33,1.3,0.01,4.17,,8.7,81.9,1017.9,"Mist, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/24/2014",1.7,5.6,3.2,0.8,84.78,,34.1,55.0,119.5,-3.9,0.19,4.17,,10.1,81.4,1014.0,"Mist, Light Snow, Rain, Light Rain, Snow",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/25/2014",-3.0,2.5,-0.1,-1.5,90.46,,14.4,33.8,222.54,-5.9,4.35,29.17,13.19,5.4,95.4,1010.0,"Heavy Snow, Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Light Rain, Snow",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/26/2014",-6.8,-3.1,-4.5,-5.8,90.86,,8.6,18.0,240.5,-10.0,2.71,33.33,9.09,4.5,89.9,1013.5,"Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/27/2014",-7.2,-4.5,-5.9,-7.4,89.58,,7.8,18.0,235.29,-11.0,1.6,16.67,10.94,4.4,95.7,1009.3,"Light Snow, Mist, Sky Coverage Increasing, Snow",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/28/2014",-4.9,-0.1,-2.8,-5.6,81.84,,22.6,41.0,158.17,-7.9,0.14,8.33,9.16,6.9,80.7,1005.7,"Mist, Light Snow, Dust storm, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/29/2014",-2.7,-0.2,-1.6,-4.5,80.63,,22.3,43.8,150.46,-8.3,0.17,8.33,9.15,8.0,80.0,1009.4,"Heavy Snow, Light Snow, Mist, Dust storm, Sky Coverage Increasing, Snow",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Overcast"
"Resita, Romania","01/30/2014",-4.1,-0.4,-2.1,-6.0,74.81,,53.5,80.9,130.63,-13.7,0.0,0.0,6.61,13.8,42.6,1023.4,"Blowing Or Drifting Snow, Light Snow, Mist, Dust storm, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","01/31/2014",-7.3,-1.1,-4.4,-9.4,67.91,,61.4,92.2,132.96,-18.4,0.0,0.0,5.3,15.4,30.2,1028.5,"Blowing Or Drifting Snow, Dust storm, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/01/2014",-5.0,1.5,-1.5,-7.4,64.46,,59.1,99.6,133.04,-14.6,0.0,0.0,7.0,19.1,39.3,1026.8,"Dust storm, Sky Coverage Decreasing, Sky Unchanged",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/02/2014",1.0,3.2,2.0,-4.8,60.58,,48.9,86.9,136.33,-5.7,0.0,0.0,3.38,19.1,42.6,1022.5,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/03/2014",-0.3,6.0,1.9,-4.7,62.11,,31.0,57.7,135.25,-5.7,0.0,0.0,5.0,19.9,2.9,1024.8,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Clear"
"Resita, Romania","02/04/2014",-2.6,4.8,0.1,-6.6,61.35,,27.1,49.5,142.79,-8.7,0.0,0.0,4.0,19.8,0.8,1025.3,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Clear"
"Resita, Romania","02/05/2014",-1.3,5.7,1.3,-5.0,63.17,,37.1,60.4,134.83,-7.4,0.0,0.0,1.0,19.3,23.4,1020.7,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Clear"
"Resita, Romania","02/06/2014",0.4,6.4,3.1,-2.3,67.72,,39.6,61.8,138.08,-6.1,0.02,4.17,,14.5,70.5,1016.4,"Rain, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","02/07/2014",-0.9,12.9,6.2,0.8,70.0,,25.6,50.0,150.5,-3.6,0.0,0.0,,16.7,31.2,1016.3,"Mist",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/08/2014",6.5,12.6,8.9,2.8,65.74,,28.4,41.6,150.54,2.3,0.0,0.0,,19.4,46.5,1011.9,"Light Rain, Sky Coverage Decreasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/09/2014",8.0,15.2,10.7,5.4,70.59,,25.0,36.4,162.33,5.3,0.63,8.33,,17.1,68.8,1007.0,"Rain Showers, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","02/10/2014",3.2,11.0,7.8,2.5,71.81,,22.2,39.6,163.67,0.5,2.18,12.5,,15.0,58.7,1011.1,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","02/11/2014",9.5,14.2,11.4,-0.5,44.14,,33.8,56.7,138.63,6.2,0.0,0.0,,19.7,64.0,1010.2,"Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/12/2014",6.6,18.7,13.2,1.5,46.89,,35.3,63.7,169.25,3.4,0.0,0.0,,19.2,71.8,1006.6,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/13/2014",2.2,9.5,5.3,1.2,76.45,,14.6,36.0,204.63,0.4,5.02,8.33,,13.7,50.4,1012.6,"Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","02/14/2014",3.7,11.3,7.0,2.1,71.25,,18.1,46.4,224.5,0.3,0.35,4.17,,16.8,51.4,1010.6,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Smoke Or Haze",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","02/15/2014",-1.1,11.9,5.5,-0.1,70.69,,22.0,41.2,159.0,-0.2,0.21,4.17,,12.7,34.5,1018.6,"Mist, Rain Showers, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","02/16/2014",7.5,19.9,12.2,2.1,50.64,,30.0,57.4,168.88,3.9,0.0,0.0,,20.2,22.4,1016.3,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Clear"
"Resita, Romania","02/17/2014",5.3,14.9,10.7,5.5,71.55,,13.6,30.5,195.92,2.9,1.89,8.33,,16.6,44.3,1016.3,"Lightning Without Thunder, Mist, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Rain, Partially cloudy"
"Resita, Romania","02/18/2014",5.5,13.4,8.8,6.8,87.96,,16.8,18.0,187.79,3.9,0.0,0.0,,9.9,60.7,1023.2,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/19/2014",8.7,18.6,12.6,5.3,62.52,,31.5,52.9,146.21,5.1,0.0,0.0,,17.8,43.5,1017.6,"",45.2878,21.8878,"Reșița, România","Reșița, România","","Partially cloudy"
"Resita, Romania","02/20/2014",7.7,12.4,9.2,6.1,82.15,,16.9,36.9,231.21,6.1,0.0,0.0,,11.2,79.1,1016.1,"Mist, Rain, Fog, Light Rain",45.2878,21.8878,"Reșița, România","Reșița, România","","Overcast"
