Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Deva, Romania","01/01/2014",-3.8,1.4,-1.3,-1.4,99.22,,18.3,54.0,151.21,-8.7,0.0,4.17,,4.6,22.9,1025.3,"Mist, Fog",45.88,22.9021,"Deva, România","Deva, România","","Clear"
"Deva, Romania","01/02/2014",-3.6,0.2,-2.2,-2.2,99.95,,15.1,46.8,144.33,-8.5,0.0,0.0,,4.0,34.2,1022.4,"Mist, Fog",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/03/2014",-5.3,2.7,-1.5,-1.7,98.44,,18.0,39.6,185.46,-10.5,0.0,0.0,,3.8,37.1,1023.3,"Mist, Fog",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/04/2014",0.2,9.2,3.6,2.0,90.23,,11.1,36.0,147.79,-1.5,0.0,0.0,,6.0,72.1,1023.5,"Mist",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/05/2014",0.2,6.4,3.5,2.3,92.35,,21.6,46.8,157.29,-4.3,0.8,12.5,,6.6,65.8,1017.1,"Mist, Rain Showers, Sky Coverage Increasing",45.88,22.9021,"Deva, România","Deva, România","","Rain, Partially cloudy"
"Deva, Romania","01/06/2014",2.4,14.3,6.4,3.6,83.88,,18.0,39.6,151.58,-0.1,0.0,4.17,,10.0,59.1,1020.1,"",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/07/2014",0.7,4.4,2.8,2.8,99.82,,7.2,10.8,166.54,-1.7,0.0,0.0,,2.0,16.7,1026.3,"Mist, Fog",45.88,22.9021,"Deva, România","Deva, România","","Clear"
"Deva, Romania","01/08/2014",-0.3,2.4,0.9,0.9,99.99,,7.2,21.6,189.71,-2.9,0.0,0.0,,0.1,0.0,1027.7,"Mist, Fog",45.88,22.9021,"Deva, România","Deva, România","","Clear"
"Deva, Romania","01/09/2014",-0.3,2.2,1.1,1.1,99.99,,7.2,10.8,160.42,-2.9,0.0,0.0,,0.5,0.0,1024.9,"Mist, Fog",45.88,22.9021,"Deva, România","Deva, România","","Clear"
"Deva, Romania","01/10/2014",-1.1,5.6,2.1,1.5,96.21,,21.6,39.6,228.58,-3.2,0.0,0.0,,4.6,47.1,1018.8,"Mist, Fog, Sky Coverage Increasing",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/11/2014",-1.1,8.8,3.8,1.6,86.56,,10.8,18.0,198.5,-2.9,0.0,0.0,,13.7,72.5,1023.5,"Mist",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/12/2014",3.1,9.3,6.1,1.3,73.19,,28.8,57.6,235.75,0.3,0.0,12.5,,10.0,80.4,1021.2,"Rain, Light Rain, Sky Coverage Increasing",45.88,22.9021,"Deva, România","Deva, România","","Overcast"
"Deva, Romania","01/13/2014",-4.8,8.2,0.3,-3.4,79.02,,10.8,18.0,187.33,-7.3,0.0,0.0,,14.2,23.3,1022.5,"",45.88,22.9021,"Deva, România","Deva, România","","Clear"
"Deva, Romania","01/14/2014",-3.8,4.2,-0.3,-3.6,79.33,,13.4,46.8,164.79,-7.6,0.0,0.0,,10.0,24.6,1018.5,"",45.88,22.9021,"Deva, România","Deva, România","","Clear"
"Deva, Romania","01/15/2014",-2.4,3.6,0.5,-1.2,88.55,,25.2,50.4,195.83,-7.0,1.0,16.67,,8.8,80.4,1013.6,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.88,22.9021,"Deva, România","Deva, România","","Rain, Overcast"
"Deva, Romania","01/16/2014",-1.4,6.1,3.3,1.3,87.48,,14.4,21.6,229.67,-4.1,0.0,4.17,,6.2,70.0,1017.4,"Mist, Rain, Rain Showers, Light Rain",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/17/2014",-4.1,4.7,-0.5,-1.5,93.69,,13.1,36.0,166.96,-8.0,0.0,0.0,,10.0,50.8,1017.8,"",45.88,22.9021,"Deva, România","Deva, România","","Partially cloudy"
"Deva, Romania","01/18/2014",-1.1,6.9,2.8,1.5,91.36,,14.4,36.0,166.71,-5.1,0.0,8.33,,10.0,97.0,1016.4,"",45.88,22.9021,"Deva, România","Deva, România","","Overcast"
"Deva, Romania","01/19/2014",1.9,10.1,6.2,3.8,85.4,,14.7,43.2,169.75,-2.1,0.0,8.33,,10.0,90.0,1014.5,"Rain Showers",45.88,22.9021,"Deva, România","Deva, România","","Overcast"
"Deva, Romania","01/20/2014",5.6,12.0,7.9,6.1,88.61,,18.7,50.4,164.67,1.9,2.0,20.83,,10.0,91.6,1008.2,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.88,22.9021,"Deva, România","Deva, România","","Rain, Overcast"
"Deva, Romania","01/21/2014",5.7,9.1,7.1,6.3,95.04,,14.4,43.2,193.67,3.6,1.0,16.67,,9.5,95.4,1006.2,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",45.88,22.9021,"Deva, România","Deva, România","","Rain, Overcast"
"Deva, Romania","01/22/2014",3.8,6.3,5.2,4.5,95.37,,14.4,28.8,229.67,1.4,3.4,29.17,,7.0,99.5,1010.2,"Mist, Rain, Light Rain, Sky Coverage Increasing",45.88,22.9021,"Deva, România","Deva, România","","Rain, Overcast"
"Deva, Romania","01/23/2014",2.1,5.1,3.3,1.8,89.75,,14.4,28.8,219.38,0.2,0.0,4.17,,6.8,98.7,1017.3,"Mist",45.88,22.9021,"Deva, România","Deva, România","","Overcast"
