Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Slobozia, Romania","01/01/2014",-0.3,2.8,1.2,0.5,95.12,,9.2,21.6,102.38,-2.4,0.47,8.33,,4.7,88.7,1027.3,"Drizzle, Mist, Light Snow, Sky Unchanged, Snow",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Rain, Overcast"
"Slobozia, Romania","01/02/2014",0.5,4.7,2.7,1.4,91.3,,9.2,21.6,255.33,-0.7,0.0,0.0,,6.5,87.2,1023.8,"Mist",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/03/2014",1.3,2.9,2.1,0.9,92.18,,22.0,32.4,268.38,-2.9,0.0,0.0,,4.2,88.0,1024.0,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/04/2014",0.2,2.3,1.3,1.0,97.51,,12.1,21.6,218.08,-3.0,0.0,0.0,,2.0,85.3,1025.6,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/05/2014",-0.5,8.1,2.8,1.9,94.4,,10.2,18.0,189.58,-2.5,0.0,0.0,,1.9,78.9,1020.8,"Mist, Fog, Sky Coverage Decreasing",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/06/2014",0.9,4.3,2.1,1.7,97.16,,11.5,21.6,260.75,-1.6,0.0,0.0,,0.8,81.7,1020.7,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/07/2014",0.7,3.1,1.6,1.5,98.48,,8.5,18.0,210.13,-1.3,0.0,0.0,,0.0,75.5,1025.4,"Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/08/2014",0.5,2.7,1.6,1.4,98.68,,8.2,21.6,212.04,-0.6,0.0,0.0,,0.0,75.5,1025.8,"Light Drizzle, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/09/2014",0.4,4.5,1.9,1.6,97.37,,9.3,18.0,247.92,-1.8,0.0,0.0,,0.4,79.6,1023.0,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/10/2014",-0.9,7.2,2.6,1.6,93.34,,20.2,38.6,244.38,-4.2,0.0,0.0,,1.6,72.0,1015.5,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Partially cloudy"
"Slobozia, Romania","01/11/2014",1.1,11.0,5.5,0.0,69.45,,15.2,36.0,250.83,-1.4,0.0,0.0,,9.2,22.4,1021.3,"Mist",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Clear"
"Slobozia, Romania","01/12/2014",-0.7,12.8,6.0,0.5,69.46,,27.3,47.3,239.29,-1.4,0.0,0.0,,9.9,40.6,1017.4,"",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Partially cloudy"
"Slobozia, Romania","01/13/2014",-1.0,10.0,3.8,-3.8,59.4,,17.7,33.7,240.33,-4.3,0.0,0.0,,10.0,16.5,1019.1,"",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Clear"
"Slobozia, Romania","01/14/2014",-6.3,7.5,0.4,-2.8,80.64,,12.6,29.3,85.92,-9.9,0.0,0.0,,9.9,38.9,1021.2,"",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Partially cloudy"
"Slobozia, Romania","01/15/2014",-1.4,9.1,3.5,1.3,85.8,,11.8,21.6,191.79,-3.1,0.0,0.0,,6.6,63.5,1015.8,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Partially cloudy"
"Slobozia, Romania","01/16/2014",0.6,7.1,4.0,1.9,86.45,,17.1,32.4,283.46,-0.9,0.0,0.0,,5.7,70.7,1015.4,"Mist, Rain, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Partially cloudy"
"Slobozia, Romania","01/17/2014",-0.9,4.9,1.9,0.9,93.03,,14.3,39.6,238.67,-3.5,0.0,0.0,,4.1,77.2,1018.3,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/18/2014",0.4,7.6,3.1,2.4,93.68,,16.4,25.2,227.0,-2.9,0.0,0.0,,1.9,82.3,1016.4,"Mist, Fog",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Overcast"
"Slobozia, Romania","01/19/2014",-0.8,11.9,5.1,3.7,90.97,,13.4,25.2,59.54,-3.4,0.0,0.0,,4.4,64.8,1017.1,"Mist, Fog, Sky Unchanged",44.5677,27.3855,"Slobozia, România","Slobozia, România","","Partially cloudy"
