Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Iasi, Romania","01/01/2014",-1.1,1.7,0.3,-1.1,90.57,,18.2,25.2,125.46,-6.0,0.0,0.0,,7.6,97.8,1027.7,"Drizzle, Mist, Light Drizzle",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/02/2014",0.9,4.8,2.7,0.2,83.63,,16.3,,141.75,-2.0,0.0,0.0,,9.9,97.1,1023.0,"",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/03/2014",-0.3,5.5,2.6,0.3,85.5,,12.7,,136.92,-1.9,0.0,0.0,,6.8,59.6,1022.0,"Mist",47.1594,27.5873,"Iași, România","Iași, România","","Partially cloudy"
"Iasi, Romania","01/04/2014",-0.7,3.3,0.7,0.0,94.99,,16.3,,118.42,-3.4,0.0,0.0,,3.9,81.6,1024.1,"Mist, Fog",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/05/2014",0.3,6.5,3.5,2.2,91.3,,18.2,,148.33,-3.9,0.0,0.0,,5.2,84.0,1019.6,"Mist, Light Drizzle, Rain, Fog, Light Rain",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/06/2014",4.2,8.0,5.3,3.7,89.71,,10.8,,200.83,2.5,0.0,0.0,,4.8,94.1,1019.9,"Mist, Fog",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/07/2014",2.8,4.3,3.8,3.5,98.42,,19.9,,157.21,-0.2,0.0,0.0,,0.9,99.9,1024.4,"Mist, Light Drizzle, Fog",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/08/2014",1.4,4.3,2.5,2.1,97.41,,14.4,,127.04,-2.0,0.0,0.0,,2.0,98.7,1024.8,"Mist, Fog",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/09/2014",-1.0,3.1,0.9,0.8,99.23,,12.7,,152.29,-3.6,0.0,0.0,,0.3,95.6,1022.0,"Mist, Fog",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/10/2014",0.2,5.2,2.3,1.8,96.62,,18.2,,144.13,-4.7,0.0,0.0,,5.3,77.4,1012.2,"Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/11/2014",0.5,9.8,4.4,-1.5,67.63,,12.7,,278.67,0.2,0.0,0.0,,10.0,63.6,1019.1,"Sky Coverage Increasing",47.1594,27.5873,"Iași, România","Iași, România","","Partially cloudy"
"Iasi, Romania","01/12/2014",-1.3,7.9,2.7,-1.8,74.08,,24.4,57.2,200.79,-4.4,0.0,0.0,,10.0,73.6,1014.5,"Rain Showers",47.1594,27.5873,"Iași, România","Iași, România","","Partially cloudy"
"Iasi, Romania","01/13/2014",-3.0,8.0,2.1,-5.6,58.35,,24.4,50.0,283.54,-4.7,0.0,0.0,,10.0,39.1,1016.7,"Snow Showers",47.1594,27.5873,"Iași, România","Iași, România","","Partially cloudy"
"Iasi, Romania","01/14/2014",-7.3,2.8,-1.9,-6.5,72.52,,18.2,,161.96,-9.8,0.0,0.0,,10.0,45.7,1020.9,"",47.1594,27.5873,"Iași, România","Iași, România","","Partially cloudy"
"Iasi, Romania","01/15/2014",0.5,7.2,3.9,1.8,86.58,,16.3,,128.54,-3.3,0.0,0.0,,6.9,62.5,1012.9,"Mist",47.1594,27.5873,"Iași, România","Iași, România","","Partially cloudy"
"Iasi, Romania","01/16/2014",-0.1,5.3,3.3,1.0,85.39,,9.1,,272.67,-2.0,0.0,0.0,,5.8,77.9,1015.0,"Mist, Rain, Light Rain",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/17/2014",-1.6,7.3,2.0,0.4,89.75,,10.8,,91.67,-5.3,0.0,0.0,,5.2,45.9,1015.9,"Mist",47.1594,27.5873,"Iași, România","Iași, România","","Partially cloudy"
"Iasi, Romania","01/18/2014",1.3,10.2,4.9,2.3,84.08,,11.2,,161.67,-0.6,0.0,0.0,,6.3,80.0,1014.2,"Mist",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/19/2014",1.3,4.8,3.7,2.6,92.59,,23.5,,103.33,-3.6,0.0,0.0,,5.4,97.3,1018.8,"Mist, Light Drizzle, Rain, Fog, Light Rain",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/20/2014",-1.5,1.2,0.0,-0.3,98.22,,21.8,,93.17,-6.1,0.0,0.0,,3.4,99.9,1016.4,"Snow Showers, Ice, Mist, Light Snow, Light Drizzle, Rain, Dust storm, Freezing Drizzle/Freezing Rain, Light Rain, Light Freezing Rain",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/21/2014",-3.0,-1.7,-2.7,-3.1,96.63,,18.2,,85.67,-8.6,0.0,0.0,1.0,3.7,97.3,1013.9,"Ice, Light Snow, Mist, Heavy Rain And Snow, Light Rain And Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/22/2014",-5.0,-3.6,-4.4,-5.5,92.02,,14.4,,280.38,-9.5,0.0,0.0,2.0,5.1,96.5,1012.3,"Snow Showers, Light Snow, Mist, Freezing Drizzle/Freezing Rain, Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/23/2014",-6.8,-4.8,-6.2,-8.0,87.21,,12.7,,314.54,-11.4,0.0,0.0,3.0,6.4,93.2,1020.4,"Light Snow, Mist, Sky Coverage Increasing, Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/24/2014",-10.0,-6.8,-8.8,-10.6,86.88,,12.8,,82.0,-15.4,0.0,0.0,4.0,6.3,83.2,1025.1,"Light Snow, Mist, Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/25/2014",-11.1,-9.1,-10.2,-12.3,84.37,,18.2,,33.54,-18.8,0.0,0.0,7.0,4.8,93.8,1024.2,"Snow Showers, Light Snow, Mist, Dust storm, Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/26/2014",-10.7,-8.2,-9.4,-11.8,82.89,,18.2,,65.54,-16.9,0.0,0.0,11.0,5.0,92.6,1019.6,"Light Snow, Mist, Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/27/2014",-8.8,-6.7,-7.7,-8.8,91.8,,16.2,,329.83,-15.0,0.0,0.0,20.0,2.7,99.0,1011.8,"Snow Showers, Light Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
"Iasi, Romania","01/28/2014",-7.8,-4.7,-6.6,-7.9,89.88,,14.8,,265.96,-12.9,0.0,0.0,23.0,4.7,92.6,1010.3,"Blowing Or Drifting Snow, Snow Showers, Light Snow, Mist, Snow",47.1594,27.5873,"Iași, România","Iași, România","","Overcast"
