Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Buzau, Romania","01/01/2015",-15.1,-0.4,-7.9,-12.0,72.87,,14.4,25.2,310.42,-20.1,0.0,4.17,8.0,10.0,30.8,1032.8,"Mist, Light Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/02/2015",-3.9,-0.6,-2.5,-3.8,91.55,,25.2,43.2,292.08,-10.9,2.0,8.33,9.0,5.3,78.7,1026.4,"Light Snow, Mist, Dust storm, Fog, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","01/03/2015",-3.6,5.7,1.4,-2.8,75.77,,46.8,72.0,254.58,-9.5,0.0,4.17,5.0,7.3,62.1,1021.3,"Mist, Heavy Rain And Snow, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/04/2015",-2.6,3.2,-0.4,-2.0,90.47,,21.6,36.0,254.35,-8.2,0.0,8.33,3.0,3.5,90.0,1011.8,"Blowing Or Drifting Snow, Mist, Light Snow, Heavy Rain And Snow, Fog, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/05/2015",-3.6,3.1,0.5,-6.1,61.58,,21.6,39.6,310.42,-5.5,0.0,0.0,2.0,10.0,51.3,1015.0,"Blowing Or Drifting Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/06/2015",-7.7,1.8,-3.5,-9.1,65.92,,36.0,68.4,323.33,-16.7,0.0,0.0,1.0,10.0,61.7,1018.6,"Dust storm",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/07/2015",-11.5,-6.2,-8.9,-13.9,67.93,,28.8,50.4,270.43,-17.3,0.0,0.0,1.0,10.0,11.3,1033.7,"",45.1511,26.8174,"Buzău, România","Buzău, România","","Clear"
"Buzau, Romania","01/08/2015",-14.4,-8.6,-11.9,-14.1,84.17,,21.6,25.2,272.08,-20.5,0.0,0.0,1.0,10.0,0.0,1040.1,"Mist",45.1511,26.8174,"Buzău, România","Buzău, România","","Clear"
"Buzau, Romania","01/09/2015",-12.6,5.6,-5.3,-8.1,81.7,,32.4,61.2,283.33,-22.5,0.0,0.0,6.8,10.0,55.0,1025.9,"Mist, Light Snow, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/10/2015",-1.4,9.3,4.3,-0.6,73.08,,28.8,57.6,260.42,-5.9,0.0,4.17,32.34,10.0,68.3,1009.1,"Blowing Or Drifting Snow, Mist, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/11/2015",0.7,11.6,3.9,2.5,91.82,,25.2,50.4,187.08,-2.9,0.0,0.0,3.89,9.0,69.6,1007.7,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/12/2015",0.1,6.8,2.5,-1.1,80.38,,36.0,57.6,205.0,-4.8,1.0,20.83,4.75,10.0,64.6,1018.7,"Blowing Or Drifting Snow, Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Partially cloudy"
"Buzau, Romania","01/13/2015",-1.4,5.2,1.8,-2.2,75.43,,21.6,36.0,235.83,-7.2,0.0,0.0,25.87,10.0,5.8,1026.5,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Clear"
"Buzau, Romania","01/14/2015",-4.9,2.9,-1.6,-1.9,97.66,,14.4,21.6,182.27,-6.5,0.0,0.0,3.75,2.5,17.1,1020.9,"Mist, Fog, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Clear"
"Buzau, Romania","01/15/2015",-3.8,0.1,-2.1,-2.1,100.0,,7.2,34.4,156.09,-6.9,0.0,0.0,2.58,0.8,52.5,1018.1,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/16/2015",-2.9,4.5,-0.5,-0.7,98.67,,25.2,32.4,237.5,-6.4,0.0,4.17,2.58,1.4,36.7,1025.7,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","01/17/2015",-3.1,-0.9,-1.9,-1.9,100.0,,14.4,33.9,188.29,-7.6,0.0,0.0,1.0,0.9,100.0,1025.1,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/18/2015",-3.9,2.8,-1.5,-1.5,100.0,,22.3,14.4,192.95,-10.2,0.0,0.0,1.0,1.3,82.5,1021.8,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/19/2015",-1.2,3.3,0.4,0.3,98.82,,10.8,18.0,113.75,-3.8,0.0,0.0,1.0,1.4,82.9,1016.9,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/20/2015",-1.6,0.1,-0.8,-0.8,100.0,,18.0,28.8,104.09,-5.1,0.0,8.33,20.39,0.5,98.3,1017.6,"Mist, Light Snow, Fog, Light Rain",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/21/2015",-0.3,2.9,0.9,0.9,100.0,,14.4,25.2,141.25,-4.5,0.0,12.5,1.0,1.3,93.7,1019.4,"Mist, Light Drizzle, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/22/2015",1.6,4.1,2.7,2.7,100.0,,14.4,21.6,154.58,-2.3,0.0,20.83,1.0,1.2,100.0,1021.5,"Drizzle, Mist, Light Drizzle, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/23/2015",3.1,6.8,5.1,5.1,100.0,,28.8,43.2,142.08,-0.2,0.0,8.33,1.0,1.1,97.9,1017.7,"Drizzle, Mist, Light Drizzle, Fog, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/24/2015",0.6,5.1,3.2,3.2,100.0,,36.0,61.2,155.83,-5.5,3.4,20.83,1.0,1.9,100.0,1013.2,"Drizzle, Mist, Light Snow, Light Drizzle, Rain, Light Rain And Snow, Fog, Light Rain",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","01/25/2015",0.5,2.3,1.3,1.1,98.75,,28.8,50.4,155.83,-5.5,6.0,25.0,2.0,7.0,100.0,1015.1,"Mist, Light Snow, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Unchanged",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","01/26/2015",1.6,4.5,2.7,2.4,97.7,,14.8,25.2,214.67,-2.1,1.0,16.67,3.0,6.3,100.0,1021.9,"Mist, Light Drizzle, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","01/27/2015",1.3,4.2,2.7,1.6,92.6,,14.4,25.2,118.64,-2.6,0.0,8.33,2.0,6.5,97.1,1019.2,"Mist, Light Drizzle, Rain, Fog, Light Rain",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/28/2015",0.3,3.8,1.8,1.6,98.58,,25.2,43.2,141.25,-4.5,0.6,20.83,8.0,2.8,100.0,1014.8,"Mist, Light Snow, Light Drizzle, Rain, Light Rain And Snow, Light Rain, Sky Coverage Increasing, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","01/29/2015",-0.1,4.8,2.4,1.9,96.57,,28.8,36.0,260.42,-2.6,0.0,0.0,8.0,2.8,90.0,1009.8,"Mist, Fog, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/30/2015",-1.1,7.6,3.5,2.7,95.32,,14.4,14.4,267.92,-2.4,0.0,0.0,4.0,3.6,84.6,997.3,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","01/31/2015",3.3,10.8,6.4,2.8,80.48,,39.6,68.4,285.42,1.4,5.0,12.5,52.0,6.9,81.2,989.3,"Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","02/01/2015",3.3,5.1,4.1,3.7,97.43,,21.6,36.0,277.5,0.2,5.0,25.0,7.0,6.3,97.9,993.8,"Drizzle, Mist, Light Snow, Rain, Light Rain, Sky Coverage Increasing, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","02/02/2015",1.3,6.1,3.2,2.5,95.77,,25.2,43.2,221.67,-1.5,0.0,12.5,7.0,6.3,65.4,998.6,"Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","02/03/2015",-0.9,6.5,2.0,0.0,89.19,,14.4,32.4,268.26,-3.4,5.0,16.67,59.0,4.6,65.0,1006.1,"Mist, Light Snow, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Partially cloudy"
"Buzau, Romania","02/04/2015",-3.0,5.3,1.7,-0.6,85.39,,14.4,18.0,281.25,-6.3,0.8,8.33,4.0,8.5,55.0,1013.7,"Mist, Light Snow, Rain, Light Rain, Sky Coverage Increasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Partially cloudy"
"Buzau, Romania","02/05/2015",0.4,5.9,3.0,1.4,90.13,,28.8,46.8,150.0,-2.3,0.0,4.17,4.0,7.0,75.8,1017.0,"Mist, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","02/06/2015",0.1,2.5,0.7,-0.2,94.13,,46.8,79.2,360.0,-7.4,0.4,29.17,56.0,4.1,100.0,1020.7,"Mist, Light Snow, Light Drizzle, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","02/07/2015",-2.7,0.1,-1.5,-3.1,88.99,,46.8,79.2,325.42,-9.5,3.0,20.83,3.0,4.1,91.2,1020.4,"Blowing Or Drifting Snow, Mist, Light Snow, Dust storm, Fog, Sky Coverage Increasing, Sky Unchanged, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Rain, Overcast"
"Buzau, Romania","02/08/2015",-4.9,2.6,-1.3,-2.0,95.69,,28.8,43.2,240.42,-12.1,0.0,4.17,3.0,4.0,42.5,1006.3,"Mist, Light Snow, Fog",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","02/09/2015",-2.7,2.5,0.2,-7.4,59.1,,25.2,46.8,331.67,-6.0,0.0,12.5,34.31,9.2,78.3,1011.9,"Mist, Light Snow, Dust storm, Fog, Sky Coverage Decreasing",45.1511,26.8174,"Buzău, România","Buzău, România","","Overcast"
"Buzau, Romania","02/10/2015",-4.6,1.1,-2.2,-7.5,68.27,,32.4,54.0,316.67,-10.9,0.0,8.33,3.65,10.0,43.3,1018.7,"Light Snow, Dust storm, Sky Coverage Increasing, Snow",45.1511,26.8174,"Buzău, România","Buzău, România","","Partially cloudy"
"Buzau, Romania","02/11/2015",-6.0,1.5,-1.8,-11.8,48.06,,32.4,46.8,358.75,-11.6,0.0,0.0,3.65,10.0,23.8,1025.6,"Dust storm",45.1511,26.8174,"Buzău, România","Buzău, România","","Clear"
