Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Alba Iulia, Romania","01/01/2016",-12.0,-2.2,-8.0,-11.7,77.02,,7.2,10.7,181.13,-14.5,0.0,0.0,9.0,10.1,0.0,1031.3,"",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Clear"
"Alba Iulia, Romania","01/02/2016",-11.8,-3.2,-8.0,-11.4,78.21,,7.6,22.1,116.88,-14.5,0.0,12.5,9.0,10.0,41.0,1029.8,"Light Snow, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Partially cloudy"
"Alba Iulia, Romania","01/03/2016",-11.7,-8.0,-9.7,-14.8,66.71,,14.2,33.0,117.5,-18.5,0.0,0.0,9.0,10.0,53.8,1023.5,"",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Partially cloudy"
"Alba Iulia, Romania","01/04/2016",-9.0,-3.9,-6.5,-11.4,69.55,,11.9,19.4,96.75,-14.6,0.49,37.5,9.0,9.2,71.7,1009.9,"Snow And Rain Showers, Snow Showers, Light Snow, Dust storm, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Rain, Partially cloudy"
"Alba Iulia, Romania","01/05/2016",-5.5,0.3,-2.9,-4.1,91.88,,16.5,33.8,172.0,-9.6,0.1,12.5,4.97,10.0,46.7,1007.0,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Rain, Partially cloudy"
"Alba Iulia, Romania","01/06/2016",-5.6,0.5,-2.2,-3.5,90.72,,9.5,18.2,73.75,-9.8,0.0,0.0,4.97,7.5,78.7,1007.4,"Mist, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Overcast"
"Alba Iulia, Romania","01/07/2016",-0.4,0.6,0.1,-0.6,95.31,,27.2,43.4,196.75,-6.4,6.36,75.0,5.0,5.4,82.6,999.4,"Light Snow, Mist, Fog, Light Rain, Sky Coverage Increasing, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Rain, Overcast"
"Alba Iulia, Romania","01/08/2016",-1.0,2.0,0.1,-1.3,90.52,,30.2,46.5,226.38,-7.2,0.0,12.5,11.17,9.8,27.3,1011.0,"Snow And Rain Showers, Mist, Fog, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Partially cloudy"
"Alba Iulia, Romania","01/09/2016",-2.2,0.6,-0.8,-1.1,97.77,,7.9,18.3,110.63,-4.9,4.16,62.5,10.78,2.4,75.5,1015.8,"Mist, Light Snow, Heavy Rain And Snow, Light Rain And Snow, Fog, Rain Showers, Light Rain, Sky Coverage Increasing, Light Freezing Rain, Snow",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Rain, Overcast"
"Alba Iulia, Romania","01/10/2016",0.2,7.4,2.3,2.0,98.46,,14.6,28.1,184.5,-2.4,2.9,75.0,10.59,2.8,57.2,1009.0,"Mist, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Rain, Partially cloudy"
"Alba Iulia, Romania","01/11/2016",1.7,6.0,3.7,3.6,99.28,,11.4,16.2,192.5,-0.4,0.5,12.5,12.0,2.4,32.9,1007.0,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Rain, Partially cloudy"
"Alba Iulia, Romania","01/12/2016",1.9,9.5,4.9,3.2,90.13,,18.2,56.6,204.0,-1.6,0.37,62.5,7.0,8.9,51.5,1001.0,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Rain, Heavy Rain And Snow, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",46.0709,23.5805,"Alba Iulia, România","Alba Iulia, România","","Rain, Partially cloudy"
