Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Pitesti, Romania","01/01/2016",-13.6,-1.6,-8.3,-12.0,76.58,,10.8,17.8,239.57,-17.2,0.0,0.0,3.06,11.1,1.3,1028.8,"Mist",44.8515,24.8799,"Pitești, România","Pitești, România","","Clear"
"Pitesti, Romania","01/02/2016",-11.2,-7.1,-8.6,-11.8,78.15,,10.8,18.2,187.33,-15.7,0.32,20.83,2.15,6.9,80.7,1030.1,"Light Snow, Sky Coverage Increasing, Snow",44.8515,24.8799,"Pitești, România","Pitești, România","","Rain, Overcast"
"Pitesti, Romania","01/03/2016",-12.0,-7.9,-10.0,-13.3,77.11,,11.2,25.5,103.26,-18.0,1.54,29.17,3.08,7.0,99.6,1025.9,"Light Snow, Mist, Sky Coverage Increasing, Snow",44.8515,24.8799,"Pitești, România","Pitești, România","","Rain, Overcast"
"Pitesti, Romania","01/04/2016",-9.7,-5.4,-8.0,-9.4,89.69,,7.2,18.0,145.67,-13.3,8.48,33.33,13.1,2.0,99.6,1012.9,"Light Snow, Mist, Sky Coverage Increasing, Snow",44.8515,24.8799,"Pitești, România","Pitești, România","","Rain, Overcast"
"Pitesti, Romania","01/05/2016",-7.8,1.9,-4.9,-7.3,84.7,,10.8,18.0,218.75,-11.0,3.62,12.5,17.84,4.7,46.0,1005.4,"Mist, Light Snow, Snow",44.8515,24.8799,"Pitești, România","Pitești, România","","Rain, Partially cloudy"
"Pitesti, Romania","01/06/2016",-6.3,3.4,-0.2,-1.9,88.8,,11.2,22.0,216.87,-11.1,0.53,20.83,14.97,7.5,84.8,1007.1,"Drizzle, Mist, Light Drizzle, Light Rain And Snow, Light Rain, Sky Coverage Increasing",44.8515,24.8799,"Pitești, România","Pitești, România","","Rain, Overcast"
"Pitesti, Romania","01/07/2016",0.2,4.1,2.2,1.6,96.23,,11.1,24.8,258.14,-0.5,7.14,25.0,11.86,4.4,93.6,995.5,"Drizzle, Mist, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Increasing",44.8515,24.8799,"Pitești, România","Pitești, România","","Rain, Overcast"
"Pitesti, Romania","01/08/2016",-1.3,8.9,2.6,-2.0,74.56,,14.3,45.6,217.0,-4.1,0.0,0.0,3.01,12.8,21.1,1006.1,"Mist, Fog, Sky Coverage Decreasing",44.8515,24.8799,"Pitești, România","Pitești, România","","Clear"
"Pitesti, Romania","01/09/2016",-2.6,4.4,1.2,-1.8,80.92,,10.8,18.0,245.73,-5.2,0.0,4.17,1.02,9.4,75.6,1014.9,"Mist, Rain, Sky Coverage Decreasing",44.8515,24.8799,"Pitești, România","Pitești, România","","Overcast"
"Pitesti, Romania","01/10/2016",0.9,7.2,3.4,1.5,87.78,,10.6,14.4,190.74,-1.1,0.11,4.17,1.0,7.1,94.2,1010.0,"Mist, Rain, Light Rain, Sky Coverage Increasing",44.8515,24.8799,"Pitești, România","Pitești, România","","Rain, Overcast"
