Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Craiova, Romania","01/01/2016",-11.5,-0.6,-6.9,-10.1,79.78,,14.6,21.6,225.79,-17.3,0.0,0.0,1.0,8.6,3.0,1028.8,"Mist",44.3202,23.799,"Craiova, România","Craiova, România","","Clear"
"Craiova, Romania","01/02/2016",-10.0,-5.1,-7.5,-11.5,73.79,,23.6,36.0,88.33,-17.9,0.16,12.5,1.0,10.0,60.1,1029.4,"Light Snow, Sky Coverage Increasing, Sky Unchanged, Snow",44.3202,23.799,"Craiova, România","Craiova, România","","Rain, Partially cloudy"
"Craiova, Romania","01/03/2016",-12.1,-8.1,-10.5,-12.6,85.02,,28.8,40.1,81.96,-21.2,4.6,29.17,5.86,4.4,95.2,1025.4,"Light Snow, Dust storm, Snow",44.3202,23.799,"Craiova, România","Craiova, România","","Rain, Overcast"
"Craiova, Romania","01/04/2016",-12.1,-9.7,-10.9,-11.7,93.46,,11.0,28.8,162.43,-18.0,7.35,33.33,13.0,4.2,97.2,1013.7,"Light Snow, Mist, Snow",44.3202,23.799,"Craiova, România","Craiova, România","","Rain, Overcast"
"Craiova, Romania","01/05/2016",-11.4,-3.8,-8.6,-10.1,89.44,,14.6,28.1,203.33,-16.9,3.69,12.5,17.98,6.7,42.8,1006.4,"Light Snow, Mist, Snow",44.3202,23.799,"Craiova, România","Craiova, România","","Rain, Partially cloudy"
"Craiova, Romania","01/06/2016",-7.3,0.8,-1.4,-2.1,94.93,,18.8,28.8,72.38,-10.6,5.22,25.0,17.36,3.3,95.0,1006.7,"Ice, Mist, Light Snow, Light Drizzle, Rain, Light Rain, Sky Coverage Increasing, Light Freezing Rain",44.3202,23.799,"Craiova, România","Craiova, România","","Rain, Overcast"
"Craiova, Romania","01/07/2016",0.0,2.1,0.9,0.1,94.08,,35.6,54.0,246.63,-5.7,10.01,20.83,10.09,5.6,79.9,996.9,"Ice, Mist, Rain, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.3202,23.799,"Craiova, România","Craiova, România","","Rain, Overcast"
"Craiova, Romania","01/08/2016",-0.4,5.5,1.9,-1.1,81.67,,27.6,39.6,268.71,-6.2,0.0,0.0,7.1,10.0,13.0,1007.6,"Mist",44.3202,23.799,"Craiova, România","Craiova, România","","Clear"
"Craiova, Romania","01/09/2016",-1.0,4.5,1.4,-0.8,85.72,,11.0,16.3,98.13,-3.7,0.0,0.0,3.09,8.9,75.6,1014.6,"Mist, Rain, Sky Coverage Increasing",44.3202,23.799,"Craiova, România","Craiova, România","","Overcast"
"Craiova, Romania","01/10/2016",0.8,4.0,2.1,0.8,91.43,,11.4,17.6,187.96,-1.5,0.7,16.67,8.0,6.3,82.7,1010.3,"Mist, Rain, Fog, Light Rain",44.3202,23.799,"Craiova, România","Craiova, România","","Rain, Overcast"
