Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Baia Mare, Romania","01/01/2016",-13.0,-3.1,-8.6,-10.9,83.76,,12.8,21.3,155.38,-16.6,0.0,0.0,,11.0,28.6,1029.8,"",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","01/02/2016",-10.1,-4.1,-7.3,-11.9,70.83,,12.7,24.6,95.63,-15.2,0.0,0.0,,11.3,55.0,1028.4,"",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","01/03/2016",-13.1,-3.1,-8.7,-15.8,59.52,,10.9,24.5,95.88,-17.8,0.0,0.0,,11.8,38.7,1021.9,"",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","01/04/2016",-14.1,-5.0,-9.2,-13.2,73.87,,9.1,18.0,152.67,-19.7,0.42,4.17,,10.9,43.9,1009.3,"Light Snow, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","01/05/2016",-6.4,-2.2,-5.0,-5.7,94.75,,9.2,21.0,147.88,-8.3,0.93,25.0,3.67,5.9,84.6,1005.9,"Light Snow, Mist, Sky Coverage Increasing, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/06/2016",-6.9,2.0,-0.9,-1.8,93.42,,10.6,18.0,125.58,-7.3,0.0,0.0,3.72,10.8,78.3,1005.4,"Mist",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Overcast"
"Baia Mare, Romania","01/07/2016",-0.9,0.8,-0.2,-0.9,95.35,,9.8,17.7,205.04,-3.4,3.47,25.0,6.82,5.5,81.2,998.1,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Light Rain And Snow, Fog, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/08/2016",-2.4,0.0,-1.3,-1.5,98.75,,10.4,24.9,173.39,-5.5,0.8,20.83,7.67,2.7,82.2,1009.6,"Snow Showers, Mist, Light Snow, Fog, Freezing Drizzle/Freezing Rain, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/09/2016",-2.4,3.5,0.8,0.4,96.7,,10.8,17.8,106.46,-3.4,0.85,16.67,6.82,8.2,79.0,1013.3,"Mist, Heavy Rain And Snow, Light Rain And Snow, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/10/2016",0.2,7.2,3.7,3.3,97.42,,14.4,36.0,183.46,-0.2,17.53,25.0,4.0,4.7,86.3,1005.9,"Mist, Rain, Rain Showers, Fog, Light Rain",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/11/2016",1.4,8.4,5.7,5.3,96.07,,14.4,36.0,117.83,-0.5,5.76,25.0,1.0,8.8,67.8,1003.8,"Mist, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","01/12/2016",4.2,9.0,6.9,5.1,88.76,,20.0,54.0,224.29,3.3,7.9,16.67,,10.3,79.0,997.0,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/13/2016",2.7,4.7,3.4,2.3,92.74,,14.5,39.6,155.29,-0.7,0.78,12.5,,9.8,77.1,1007.2,"Hail Showers, Snow And Rain Showers, Snow Showers, Mist, Rain Showers, Light Rain, Sky Coverage Increasing, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/14/2016",-1.1,3.9,1.4,0.0,91.14,,16.9,31.4,180.67,-4.0,2.91,12.5,3.0,10.1,56.7,1016.6,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","01/15/2016",-1.0,3.8,1.2,-1.2,84.95,,18.6,28.5,85.75,-4.4,1.87,25.0,4.0,11.0,77.8,1010.2,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Light Rain And Snow, Light Rain",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/16/2016",-2.2,0.7,-0.5,-0.8,97.9,,13.8,28.8,257.17,-5.4,0.94,20.83,4.54,3.0,94.3,1012.1,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/17/2016",-4.4,-1.7,-3.0,-7.2,74.87,,10.6,35.5,171.25,-6.8,0.0,0.0,5.67,10.9,81.6,1013.4,"Mist, Precipitation In Vicinity",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Overcast"
"Baia Mare, Romania","01/18/2016",-7.9,-0.6,-4.3,-9.7,67.19,,15.2,32.4,221.54,-12.6,0.0,0.0,5.67,13.6,57.7,1017.6,"",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","01/19/2016",-11.6,-4.0,-7.6,-11.1,76.74,,9.1,21.6,144.5,-16.0,0.0,0.0,5.67,14.0,36.5,1021.1,"Light Snow, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","01/20/2016",-8.3,-3.3,-5.3,-10.1,69.45,,13.5,21.5,78.96,-12.8,0.0,0.0,6.44,11.7,72.0,1021.1,"Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","01/21/2016",-9.0,-2.8,-5.3,-6.7,90.62,,12.4,25.2,134.17,-11.4,2.37,16.67,8.08,5.6,85.4,1022.9,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/22/2016",-10.7,-3.6,-7.5,-8.8,90.91,,8.6,21.6,124.96,-13.9,0.08,4.17,8.08,5.5,72.3,1034.7,"Light Snow, Mist, Sky Coverage Increasing, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","01/23/2016",-11.8,-1.6,-7.7,-9.9,84.94,,10.5,43.2,122.54,-15.1,0.0,0.0,7.24,8.7,48.4,1037.3,"Mist",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","01/24/2016",-15.4,-4.8,-9.3,-11.4,85.32,,7.3,21.6,151.13,-20.4,0.04,4.17,5.32,12.5,65.4,1036.3,"Mist, Light Snow, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","01/25/2016",-5.4,-2.0,-3.7,-5.9,84.66,,10.5,18.0,98.5,-7.6,0.59,8.33,5.2,6.6,89.8,1033.1,"Mist, Light Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/26/2016",-3.3,-0.1,-2.0,-2.6,95.93,,9.6,18.0,94.67,-5.6,1.84,16.67,8.23,3.1,92.6,1029.5,"Snow And Rain Showers, Light Snow, Mist, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/27/2016",-0.5,1.8,0.5,0.2,97.72,,7.0,32.4,74.04,-2.8,0.07,8.33,7.27,3.2,96.6,1028.5,"Drizzle, Mist, Light Drizzle, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/28/2016",0.6,4.6,2.8,2.4,97.36,,7.8,25.2,128.13,-0.6,0.21,8.33,5.32,6.0,92.8,1025.5,"Mist, Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","01/29/2016",1.2,3.8,2.5,2.3,98.95,,6.5,7.1,193.25,-0.8,6.34,37.5,5.44,1.3,50.0,1028.6,"Mist, Light Drizzle, Rain, Fog, Light Rain",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","01/30/2016",1.3,5.6,3.3,2.3,93.43,,11.3,22.6,119.67,-1.3,0.0,0.0,2.0,9.3,80.2,1029.2,"Mist, Fog",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Overcast"
"Baia Mare, Romania","01/31/2016",1.6,8.5,4.7,2.8,87.99,,19.6,38.9,149.63,-0.5,4.85,37.5,,11.3,86.5,1014.2,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","02/01/2016",0.8,2.8,1.5,1.1,97.29,,10.0,39.6,106.67,-1.5,1.93,16.67,1.0,4.9,94.2,1018.1,"Snow Showers, Drizzle, Mist, Light Snow, Light Drizzle, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","02/02/2016",2.4,9.0,5.3,4.5,94.93,,10.5,36.0,91.08,0.2,0.77,4.17,0.0,8.0,78.3,1022.3,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","02/03/2016",2.3,10.5,6.9,5.8,92.31,,11.5,37.6,97.57,1.9,0.85,8.33,,9.4,86.1,1016.1,"Mist, Light Drizzle, Fog, Light Rain",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","02/04/2016",-1.0,6.1,3.8,0.8,82.32,,17.8,36.0,243.17,-4.0,8.95,41.67,0.0,11.1,68.3,1015.3,"Light Snow, Mist, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","02/05/2016",-2.0,4.8,0.6,-1.2,88.2,,18.6,31.4,201.33,-4.7,0.89,4.17,1.12,12.0,48.1,1023.5,"Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Partially cloudy"
"Baia Mare, Romania","02/06/2016",-4.8,4.5,0.2,-3.3,78.81,,10.4,18.0,104.83,-7.3,0.0,0.0,,16.1,57.8,1029.8,"Mist, Fog, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","02/07/2016",-1.3,8.4,2.9,-2.3,70.15,,20.8,34.5,58.58,-4.5,0.0,0.0,,15.5,54.1,1025.0,"",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","02/08/2016",0.3,12.2,5.5,-0.1,68.4,,14.5,25.2,76.5,-2.3,0.0,0.0,,15.7,71.1,1019.6,"",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
"Baia Mare, Romania","02/09/2016",5.7,9.8,7.5,4.5,81.7,,15.7,26.3,53.79,3.5,2.5,37.5,,12.5,83.1,1014.7,"Rain Showers, Light Rain, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","02/10/2016",5.8,10.0,8.8,4.5,74.72,,19.3,35.1,102.63,3.5,8.52,41.67,,13.9,80.2,998.3,"Rain, Rain Showers, Light Rain, Sky Coverage Increasing",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","02/11/2016",1.4,5.1,3.5,1.5,87.45,,19.6,39.4,213.67,-3.1,2.25,33.33,1.0,9.9,91.8,1004.3,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Rain, Light Rain, Sky Coverage Increasing, Snow",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Rain, Overcast"
"Baia Mare, Romania","02/12/2016",1.1,8.8,4.8,0.2,74.34,,17.3,28.8,132.46,-1.8,0.0,0.0,,13.7,66.8,1011.2,"Mist",47.6572,23.566,"Baia Mare, România","Baia Mare, România","","Partially cloudy"
