Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Giurgiu, Romania","01/01/2017",-4.8,2.7,-1.9,-5.4,77.89,,17.9,28.7,261.17,-8.8,0.0,0.0,6.0,10.0,39.4,1024.6,"Mist",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Partially cloudy"
"Giurgiu, Romania","01/02/2017",-7.4,7.6,-0.6,-6.5,68.4,,10.9,21.6,268.42,-10.7,0.0,0.0,4.0,10.0,0.1,1018.4,"",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Clear"
"Giurgiu, Romania","01/03/2017",-2.1,8.6,2.3,-3.2,68.11,,14.3,28.7,279.54,-4.4,0.0,0.0,,10.0,43.6,1017.2,"",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Partially cloudy"
"Giurgiu, Romania","01/04/2017",-3.6,4.3,-0.2,-3.6,78.78,,10.9,25.2,262.04,-6.4,0.0,0.0,1.0,10.0,21.7,1014.1,"",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Clear"
"Giurgiu, Romania","01/05/2017",-4.4,4.5,1.1,-0.9,87.47,,14.3,25.3,207.26,-4.3,1.2,21.74,1.0,10.0,80.8,1008.0,"Light Snow, Light Rain And Snow, Light Rain, Snow",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Rain, Overcast"
"Giurgiu, Romania","01/06/2017",-8.8,0.6,-5.1,-5.2,99.11,,32.3,57.5,94.25,-14.1,33.51,100.0,30.92,1.5,99.9,1013.7,"Blowing Or Drifting Snow, Light Snow, Sky Coverage Decreasing, Snow",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Rain, Overcast"
"Giurgiu, Romania","01/07/2017",-11.7,-8.7,-10.1,-11.4,91.0,,18.0,32.5,235.63,-18.9,0.41,25.0,32.9,9.3,95.5,1019.9,"Blowing Or Drifting Snow, Mist, Light Snow, Dust storm, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Rain, Overcast"
"Giurgiu, Romania","01/08/2017",-12.0,-9.9,-10.9,-13.7,79.93,,18.1,35.9,274.5,-19.5,0.72,45.83,33.04,9.2,98.4,1018.3,"Blowing Or Drifting Snow, Light Snow, Mist, Dust storm, Sky Coverage Increasing, Sky Unchanged, Snow",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Rain, Overcast"
"Giurgiu, Romania","01/09/2017",-16.4,-7.5,-10.7,-13.1,83.16,,14.3,25.1,99.71,-17.0,1.01,33.33,32.1,8.7,48.5,1022.7,"Light Snow, Mist, Sky Coverage Increasing, Snow",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Rain, Partially cloudy"
"Giurgiu, Romania","01/10/2017",-17.9,-9.3,-13.1,-14.4,89.59,,7.4,14.6,160.17,-14.6,2.28,29.17,30.05,5.8,92.9,1023.4,"Mist, Light Snow, Fog, Snow",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Rain, Overcast"
"Giurgiu, Romania","01/11/2017",-15.5,-6.2,-10.1,-11.1,92.1,,14.4,28.7,265.63,-20.6,19.84,58.33,46.68,2.6,93.5,1019.5,"Blowing Or Drifting Snow, Light Snow, Mist, Dust storm, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Rain, Overcast"
"Giurgiu, Romania","01/12/2017",-16.3,-4.4,-9.2,-11.4,84.5,,14.4,28.9,260.54,-21.5,0.0,12.5,45.04,8.5,30.7,1017.2,"Mist",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Partially cloudy"
"Giurgiu, Romania","01/13/2017",-8.5,4.5,-2.2,-5.5,79.02,,14.2,17.9,136.09,-12.3,0.0,4.35,43.2,10.0,45.8,1013.6,"Mist",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Partially cloudy"
"Giurgiu, Romania","01/14/2017",-6.9,2.7,-1.3,-3.2,87.74,,14.6,32.5,185.96,-11.7,0.0,8.33,35.02,10.0,74.8,1004.6,"Mist",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Partially cloudy"
"Giurgiu, Romania","01/15/2017",-11.2,0.6,-5.3,-7.0,88.59,,10.8,21.6,264.04,-13.9,0.0,8.33,28.01,9.5,12.0,1017.2,"Mist, Fog, Sky Coverage Increasing",43.9147,25.9719,"Giurgiu, România","Giurgiu, România","","Clear"
