Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Bucharest, Romania","01/01/2018",-0.8,12.0,4.3,0.5,78.23,,7.0,14.4,178.58,-2.3,0.0,0.0,0.0,9.9,26.9,1015.4,"Mist",44.4343,26.103,"București, România","București, România","","Partially cloudy"
"Bucharest, Romania","01/02/2018",2.0,7.4,4.4,4.0,97.33,,11.3,28.8,115.38,-0.3,0.2,8.33,0.0,5.9,96.3,1008.2,"Mist, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/03/2018",3.8,7.3,5.4,4.3,93.17,,11.4,32.4,224.5,1.8,0.0,0.0,0.0,8.3,94.4,1009.3,"Mist",44.4343,26.103,"București, România","București, România","","Overcast"
"Bucharest, Romania","01/04/2018",2.1,5.8,4.0,3.2,94.75,,8.0,21.6,231.33,1.0,0.1,12.5,0.0,6.7,66.2,1007.1,"Mist, Rain, Fog, Light Rain",44.4343,26.103,"București, România","București, România","","Rain, Partially cloudy"
"Bucharest, Romania","01/05/2018",-0.9,6.3,2.4,2.0,96.99,,7.3,14.4,222.08,0.9,0.0,0.0,0.0,5.0,57.7,1012.7,"Mist, Fog, Sky Coverage Increasing, Sky Unchanged",44.4343,26.103,"București, România","București, România","","Partially cloudy"
"Bucharest, Romania","01/06/2018",1.2,14.7,6.2,3.1,83.52,,7.8,18.0,219.63,0.0,0.0,0.0,0.0,9.9,13.4,1018.4,"Mist",44.4343,26.103,"București, România","București, România","","Clear"
"Bucharest, Romania","01/07/2018",2.1,13.1,6.7,4.4,86.79,,11.3,25.2,228.67,-0.1,0.0,0.0,0.0,8.9,4.2,1023.6,"Mist",44.4343,26.103,"București, România","București, România","","Clear"
"Bucharest, Romania","01/08/2018",2.2,8.8,5.4,4.7,95.44,,8.1,21.6,101.63,4.4,0.0,0.0,0.0,7.1,60.2,1030.7,"Mist, Fog",44.4343,26.103,"București, România","București, România","","Partially cloudy"
"Bucharest, Romania","01/09/2018",2.4,6.0,4.5,1.8,83.1,,15.4,39.6,55.92,0.3,0.0,0.0,0.0,8.2,94.7,1035.7,"Drizzle, Mist, Light Drizzle, Fog, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România","","Overcast"
"Bucharest, Romania","01/10/2018",1.5,5.0,3.2,2.1,92.79,,7.9,21.6,47.58,-0.9,0.1,20.83,0.0,9.8,99.5,1026.7,"Drizzle, Mist, Light Drizzle, Light Rain",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/11/2018",5.1,7.3,6.3,6.3,99.95,,8.3,25.2,56.13,3.4,7.57,25.0,0.0,7.2,99.6,1015.7,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Light Rain",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/12/2018",2.6,5.6,4.3,3.5,94.63,,11.7,36.0,49.92,-0.5,11.95,20.83,0.0,6.5,98.6,1023.5,"Mist, Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/13/2018",-1.7,1.8,0.0,-1.9,87.01,,16.0,46.8,49.21,-6.2,0.5,8.33,1.0,9.9,94.8,1032.2,"Light Snow, Mist, Light Rain And Snow, Sky Coverage Increasing, Snow",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/14/2018",-5.0,-1.0,-2.7,-8.3,65.62,,18.5,50.4,50.54,-8.8,0.0,0.0,0.0,10.0,82.7,1034.4,"Light Snow, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",44.4343,26.103,"București, România","București, România","","Overcast"
"Bucharest, Romania","01/15/2018",-6.0,-4.4,-5.2,-7.5,84.21,,8.0,25.2,56.92,-9.7,0.5,16.67,1.0,7.8,82.2,1033.0,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Increasing, Snow",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/16/2018",-6.9,-1.8,-4.4,-6.5,85.87,,10.8,21.6,180.21,-9.1,1.89,20.83,3.07,7.2,81.1,1019.4,"Snow Showers, Light Snow, Mist, Sky Coverage Decreasing, Sky Unchanged, Snow",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/17/2018",-4.7,7.0,0.0,-2.7,84.15,,11.9,21.6,156.38,-9.3,0.0,0.0,2.13,8.8,64.9,1000.8,"Mist, Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",44.4343,26.103,"București, România","București, România","","Partially cloudy"
"Bucharest, Romania","01/18/2018",0.8,9.5,3.5,-1.1,75.61,,10.7,28.8,245.83,-0.7,0.2,8.33,0.0,6.9,60.4,1001.9,"Snow Showers, Drizzle, Mist, Light Snow, Light Drizzle, Rain, Fog, Light Rain, Snow",44.4343,26.103,"București, România","București, România","","Rain, Partially cloudy"
"Bucharest, Romania","01/19/2018",-1.3,8.3,2.7,-2.1,71.98,,15.2,36.0,237.08,-4.2,0.0,0.0,0.0,10.0,9.1,1011.2,"",44.4343,26.103,"București, România","București, România","","Clear"
"Bucharest, Romania","01/20/2018",0.5,4.4,1.9,0.5,90.89,,11.8,18.0,143.88,-0.2,12.18,25.0,3.8,7.5,79.0,1012.4,"Mist, Light Snow, Rain, Light Rain And Snow, Light Rain, Snow",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/21/2018",-0.1,1.1,0.6,0.6,99.79,,11.5,25.2,116.46,-2.9,0.4,4.17,4.69,5.7,99.6,1011.7,"Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/22/2018",-0.3,1.3,0.6,0.3,98.1,,14.9,39.6,58.54,-3.6,9.8,29.17,6.55,4.8,97.8,1011.0,"Mist, Light Snow, Light Drizzle, Light Rain And Snow, Light Rain, Sky Coverage Increasing, Snow",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/23/2018",-1.0,4.5,0.6,-1.4,86.96,,4.2,18.0,212.13,,1.2,16.67,7.0,8.6,95.9,1024.3,"Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",44.4343,26.103,"București, România","București, România","","Rain, Overcast"
"Bucharest, Romania","01/24/2018",-4.4,1.9,-1.5,-6.4,70.43,,7.5,21.6,174.38,-7.5,0.0,0.0,3.19,10.0,31.5,1036.8,"Mist",44.4343,26.103,"București, România","București, România","","Partially cloudy"
"Bucharest, Romania","01/25/2018",-7.3,2.0,-3.4,-8.3,71.4,,10.4,18.0,213.58,-10.7,0.0,4.17,2.07,10.0,1.6,1033.6,"Mist",44.4343,26.103,"București, România","București, România","","Clear"
