Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Targoviste, Romania","01/01/2018",-1.8,13.1,3.9,0.6,81.92,,10.8,18.0,264.04,-4.6,0.0,0.0,19.0,26.6,44.7,1015.3,"Mist, Fog, Sky Coverage Decreasing",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Partially cloudy"
"Targoviste, Romania","01/02/2018",0.2,6.8,3.3,2.6,95.61,,14.4,32.4,231.25,-3.3,0.52,20.83,18.0,11.2,91.2,1008.3,"Drizzle, Mist, Light Snow, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Increasing",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Rain, Overcast"
"Targoviste, Romania","01/03/2018",3.5,5.3,4.3,4.1,98.88,,10.8,18.0,204.13,1.4,0.0,0.0,19.0,3.3,97.8,1008.5,"Mist, Fog",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Overcast"
"Targoviste, Romania","01/04/2018",-0.3,8.0,3.8,3.0,95.0,,7.2,14.4,257.58,-2.8,0.5,8.33,19.0,6.2,81.6,1006.5,"Drizzle, Mist, Light Snow, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Rain, Overcast"
"Targoviste, Romania","01/05/2018",-2.7,8.8,1.6,-1.1,84.27,,10.8,21.6,295.92,-6.3,0.0,0.0,19.0,21.6,27.4,1012.5,"Mist, Fog, Sky Coverage Increasing",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Partially cloudy"
"Targoviste, Romania","01/06/2018",-0.8,15.3,5.1,1.3,80.08,,14.3,28.8,242.92,-4.5,0.0,0.0,19.0,24.9,35.1,1018.0,"Mist",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Partially cloudy"
"Targoviste, Romania","01/07/2018",-0.3,16.8,6.4,2.2,78.74,,14.3,25.2,293.08,-3.6,0.0,0.0,17.0,21.6,5.8,1023.2,"Mist",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Clear"
"Targoviste, Romania","01/08/2018",0.2,9.3,4.4,2.4,87.16,,14.3,18.0,278.83,-2.2,0.0,0.0,16.0,14.2,39.2,1030.8,"Mist, Fog",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Partially cloudy"
"Targoviste, Romania","01/09/2018",-0.8,4.3,2.1,1.0,92.82,,14.3,21.6,166.13,-3.3,0.3,12.5,16.0,4.3,56.3,1035.9,"Drizzle, Mist, Light Drizzle, Fog, Sky Coverage Increasing",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Rain, Partially cloudy"
"Targoviste, Romania","01/10/2018",-0.2,3.3,1.7,0.7,93.85,,10.8,21.6,64.63,-3.7,0.1,25.0,16.0,8.3,99.6,1027.1,"Drizzle, Mist, Light Drizzle, Rain, Light Rain, Sky Coverage Increasing",44.9269,25.4569,"Târgoviște, România","Târgoviște, România","","Rain, Overcast"
