Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Slatina, Romania","01/01/2018",-1.8,8.7,2.6,0.6,87.58,,7.2,15.7,165.58,-3.6,0.0,0.0,0.0,9.9,39.1,1015.3,"Mist",44.4328,24.3726,"Slatina, România","Slatina, România","","Partially cloudy"
"Slatina, Romania","01/02/2018",1.1,5.6,3.4,2.8,96.24,,14.4,20.4,128.54,-1.2,3.18,12.5,0.0,6.4,68.0,1008.4,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",44.4328,24.3726,"Slatina, România","Slatina, România","","Rain, Partially cloudy"
"Slatina, Romania","01/03/2018",2.1,6.5,4.1,3.0,92.49,,10.8,21.8,244.21,0.1,0.2,8.33,0.0,7.6,70.4,1008.9,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",44.4328,24.3726,"Slatina, România","Slatina, România","","Rain, Partially cloudy"
"Slatina, Romania","01/04/2018",1.2,8.5,3.7,1.8,88.1,,10.7,15.8,242.83,-0.7,0.0,4.17,0.0,8.8,50.4,1007.0,"Drizzle, Mist, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",44.4328,24.3726,"Slatina, România","Slatina, România","","Partially cloudy"
"Slatina, Romania","01/05/2018",-2.9,7.6,1.8,0.3,90.97,,7.7,15.4,136.92,-5.3,0.0,0.0,0.0,7.8,38.0,1012.7,"Mist",44.4328,24.3726,"Slatina, România","Slatina, România","","Partially cloudy"
"Slatina, Romania","01/06/2018",0.1,13.1,4.8,1.5,82.15,,7.2,13.6,131.21,-2.3,0.0,0.0,0.0,9.0,5.5,1018.5,"Mist",44.4328,24.3726,"Slatina, România","Slatina, România","","Clear"
"Slatina, Romania","01/07/2018",0.7,13.7,5.6,3.0,84.31,,10.8,19.5,171.46,-1.1,0.0,0.0,0.0,8.9,11.7,1024.0,"Mist",44.4328,24.3726,"Slatina, România","Slatina, România","","Clear"
"Slatina, Romania","01/08/2018",1.2,9.7,4.8,3.4,91.35,,14.4,22.0,60.54,-0.9,0.0,0.0,0.0,8.1,43.8,1030.4,"Mist, Fog",44.4328,24.3726,"Slatina, România","Slatina, România","","Partially cloudy"
"Slatina, Romania","01/09/2018",1.6,5.6,3.4,0.4,82.71,,18.0,39.0,78.33,-2.8,0.0,12.5,0.0,5.8,68.4,1034.9,"Drizzle, Mist, Light Drizzle, Fog, Sky Coverage Increasing",44.4328,24.3726,"Slatina, România","Slatina, România","","Partially cloudy"
"Slatina, Romania","01/10/2018",0.6,3.5,1.9,1.4,96.18,,21.5,30.6,65.75,-4.7,0.1,8.33,0.0,5.9,79.1,1025.9,"Drizzle, Mist, Light Drizzle, Fog, Light Rain",44.4328,24.3726,"Slatina, România","Slatina, România","","Rain, Overcast"
