Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Timisoara, Romania","01/01/2018",-0.9,9.0,4.1,1.2,82.53,,13.2,,128.79,-3.5,0.0,0.0,0.0,9.4,65.6,1014.3,"Mist, Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Partially cloudy"
"Timisoara, Romania","01/02/2018",4.6,6.4,5.3,4.2,92.75,,16.9,,176.67,1.5,12.72,50.0,1.0,7.9,90.0,1007.3,"Mist, Rain, Light Drizzle/Rain, Rain Showers, Light Rain",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Rain, Overcast"
"Timisoara, Romania","01/03/2018",0.5,5.1,3.6,2.3,90.86,,16.5,,209.5,-2.5,1.76,25.0,0.0,10.0,60.1,1010.3,"Mist, Rain, Light Rain, Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Rain, Partially cloudy"
"Timisoara, Romania","01/04/2018",1.2,8.1,4.3,3.0,91.85,,10.0,,199.54,-1.5,0.05,4.17,0.0,8.5,56.9,1007.5,"Mist, Rain, Light Rain, Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Rain, Partially cloudy"
"Timisoara, Romania","01/05/2018",1.4,9.0,4.4,2.9,90.31,,12.5,,122.92,-1.9,0.05,8.33,0.0,9.3,66.5,1009.7,"Mist, Rain, Light Rain, Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Rain, Partially cloudy"
"Timisoara, Romania","01/06/2018",2.5,10.9,6.4,4.7,89.03,,15.2,,115.08,-0.5,0.0,0.0,0.0,10.1,67.0,1015.1,"Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Partially cloudy"
"Timisoara, Romania","01/07/2018",4.7,15.1,9.1,5.6,79.69,,14.2,,130.75,2.5,0.0,0.0,0.0,9.9,37.0,1021.8,"Mist, Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Partially cloudy"
"Timisoara, Romania","01/08/2018",4.0,13.8,7.4,5.1,85.72,,12.7,,105.71,1.7,0.0,0.0,0.0,9.7,32.3,1027.5,"Mist, Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Partially cloudy"
"Timisoara, Romania","01/09/2018",3.7,10.7,6.4,3.6,82.68,,16.6,,109.5,0.8,0.0,0.0,0.0,10.2,68.2,1028.1,"Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Partially cloudy"
"Timisoara, Romania","01/10/2018",2.2,9.9,5.0,1.5,78.7,,17.0,,147.5,-2.0,0.0,0.0,0.0,10.3,74.0,1019.1,"Sky Coverage Increasing",45.7534,21.2233,"Timișoara, România","Timișoara, România","","Partially cloudy"
