Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Ramnicu Valcea, Romania","01/01/2018",-2.3,12.1,3.4,1.2,86.75,,10.8,14.4,226.04,-4.4,0.0,0.0,0.0,6.8,45.4,1015.2,"Mist",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Partially cloudy"
"Ramnicu Valcea, Romania","01/02/2018",2.1,5.0,3.6,3.2,97.04,,10.8,21.6,212.13,-1.0,4.99,41.67,0.66,5.7,97.8,1008.2,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Rain, Overcast"
"Ramnicu Valcea, Romania","01/03/2018",3.1,5.2,4.1,4.1,99.76,,7.2,10.8,203.13,2.6,0.7,29.17,0.0,1.2,69.9,1008.4,"Mist, Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Rain, Partially cloudy"
"Ramnicu Valcea, Romania","01/04/2018",1.0,6.8,3.4,2.9,96.68,,10.8,18.0,229.54,-2.2,0.8,20.83,0.0,4.5,57.4,1006.7,"Drizzle, Mist, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Rain, Partially cloudy"
"Ramnicu Valcea, Romania","01/05/2018",-1.7,7.1,1.8,-0.1,87.71,,10.8,14.4,186.88,-4.4,0.0,0.0,0.0,10.0,55.4,1012.7,"Mist",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Partially cloudy"
"Ramnicu Valcea, Romania","01/06/2018",-0.1,13.5,4.7,1.5,81.71,,10.8,18.0,201.67,-1.8,0.0,0.0,0.0,10.0,29.5,1018.5,"",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Partially cloudy"
"Ramnicu Valcea, Romania","01/07/2018",1.7,14.3,6.1,2.8,81.59,,10.8,14.4,159.0,-0.5,0.0,0.0,0.0,10.0,37.0,1023.8,"",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Partially cloudy"
"Ramnicu Valcea, Romania","01/08/2018",1.6,12.8,5.3,2.9,85.18,,10.8,18.0,142.92,-0.3,0.0,0.0,0.0,10.0,50.8,1030.6,"",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Partially cloudy"
"Ramnicu Valcea, Romania","01/09/2018",1.0,4.3,2.9,2.4,96.56,,7.2,18.0,139.92,-0.6,0.0,16.67,0.0,6.4,82.0,1035.2,"Drizzle, Mist, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Increasing",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Overcast"
"Ramnicu Valcea, Romania","01/10/2018",2.3,5.8,4.2,0.8,78.79,,10.8,18.0,141.79,1.0,0.0,0.0,0.0,10.0,99.0,1026.0,"Drizzle, Mist, Light Drizzle, Light Rain",45.1051,24.3722,"Râmnicu Vâlcea, România","Râmnicu Vâlcea, România","","Overcast"
