Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Bacau, Romania","01/01/2019",0.2,6.5,2.4,-1.1,80.05,,21.3,,244.17,-3.0,0.02,4.17,0.0,6.4,39.6,1024.1,"Mist, Fog",46.5691,26.911,"Bacău, România","Bacău, România","","Rain, Partially cloudy"
"Bacau, Romania","01/02/2019",-1.5,7.9,1.8,-2.8,73.56,,14.2,,236.25,-5.8,0.0,0.0,0.0,9.4,40.3,1009.6,"Mist",46.5691,26.911,"Bacău, România","Bacău, România","","Partially cloudy"
"Bacau, Romania","01/03/2019",-1.5,1.5,0.4,-3.1,77.83,,14.4,,296.42,-6.1,0.11,12.5,0.0,8.1,82.2,1016.3,"Light Snow, Mist, Sky Coverage Increasing, Snow",46.5691,26.911,"Bacău, România","Bacău, România","","Rain, Overcast"
"Bacau, Romania","01/04/2019",-5.0,-0.6,-2.4,-7.3,69.17,,19.5,,306.17,-9.7,0.08,8.33,1.0,8.7,74.9,1023.2,"Mist, Light Snow, Sky Coverage Increasing, Snow",46.5691,26.911,"Bacău, România","Bacău, România","","Rain, Partially cloudy"
"Bacau, Romania","01/05/2019",-6.3,1.5,-2.6,-9.7,59.66,,17.8,,241.17,-9.2,0.0,0.0,0.0,10.0,17.0,1017.1,"",46.5691,26.911,"Bacău, România","Bacău, România","","Clear"
"Bacau, Romania","01/06/2019",-4.1,-0.4,-2.6,-6.1,77.33,,27.8,,340.29,-11.2,0.56,12.5,1.96,8.2,72.3,1013.0,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Dust storm, Sky Coverage Increasing, Snow",46.5691,26.911,"Bacău, România","Bacău, România","","Rain, Partially cloudy"
"Bacau, Romania","01/07/2019",-4.4,-3.3,-3.7,-6.8,78.89,,26.9,,341.96,-10.7,0.21,12.5,2.0,6.0,77.5,1024.4,"Light Snow, Mist, Dust storm, Sky Coverage Increasing, Snow",46.5691,26.911,"Bacău, România","Bacău, România","","Rain, Overcast"
"Bacau, Romania","01/08/2019",-12.8,-3.5,-7.8,-10.2,82.97,,15.4,,236.0,-13.7,0.0,0.0,3.18,6.1,16.7,1019.6,"Mist, Fog, Snow",46.5691,26.911,"Bacău, România","Bacău, România","","Clear"
"Bacau, Romania","01/09/2019",-8.4,-3.6,-6.5,-8.3,87.14,,15.2,,193.79,-14.2,0.08,8.33,2.0,3.6,66.2,1008.8,"Mist, Light Snow, Fog, Snow",46.5691,26.911,"Bacău, România","Bacău, România","","Rain, Partially cloudy"
"Bacau, Romania","01/10/2019",-9.0,-3.3,-5.1,-6.9,87.31,,17.1,,321.0,-11.9,2.16,20.83,2.0,3.2,77.1,1012.9,"Mist, Light Snow, Snow",46.5691,26.911,"Bacău, România","Bacău, România","","Rain, Overcast"
