Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Calarasi, Romania","01/01/2019",0.5,2.5,1.6,0.6,93.26,,14.4,28.8,216.67,-3.6,0.0,0.0,0.0,1.7,79.1,1026.2,"Mist, Fog, Sky Coverage Increasing",44.1966,27.3354,"Călărași, România","Călărași, România","","Overcast"
"Calarasi, Romania","01/02/2019",0.5,5.0,2.0,-0.2,85.7,,18.0,32.4,248.33,-3.6,0.0,0.0,0.0,7.3,59.2,1012.8,"Mist",44.1966,27.3354,"Călărași, România","Călărași, România","","Partially cloudy"
"Calarasi, Romania","01/03/2019",-2.0,4.5,0.8,-1.0,88.4,,14.4,32.4,182.5,-4.1,0.0,0.0,0.0,10.0,57.0,1015.0,"Mist",44.1966,27.3354,"Călărași, România","Călărași, România","","Partially cloudy"
"Calarasi, Romania","01/04/2019",-3.5,0.6,-1.2,-5.5,73.34,,25.2,54.0,134.17,-9.1,0.0,0.0,0.0,10.0,50.0,1022.2,"",44.1966,27.3354,"Călărași, România","Călărași, România","","Partially cloudy"
"Calarasi, Romania","01/05/2019",-5.4,-0.2,-3.4,-5.4,86.73,,14.4,28.8,246.67,-8.8,0.0,0.0,0.0,9.7,30.0,1019.8,"Mist",44.1966,27.3354,"Călărași, România","Călărași, România","","Partially cloudy"
"Calarasi, Romania","01/06/2019",-5.0,-0.7,-3.1,-5.3,84.9,,18.0,43.2,207.08,-9.5,1.5,50.0,0.0,8.3,61.2,1012.2,"Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",44.1966,27.3354,"Călărași, România","Călărași, România","","Rain, Partially cloudy"
"Calarasi, Romania","01/07/2019",-6.9,-1.4,-3.6,-5.4,87.97,,21.6,46.8,230.42,-10.6,0.9,41.67,2.0,7.8,72.0,1022.0,"Light Snow, Mist, Sky Coverage Increasing, Sky Unchanged, Snow",44.1966,27.3354,"Călărași, România","Călărași, România","","Rain, Partially cloudy"
"Calarasi, Romania","01/08/2019",-7.4,-3.5,-5.5,-7.7,84.37,,18.0,32.4,264.58,-12.3,0.1,12.5,4.0,10.0,27.9,1020.6,"Light Snow, Sky Coverage Decreasing, Snow",44.1966,27.3354,"Călărași, România","Călărași, România","","Rain, Partially cloudy"
"Calarasi, Romania","01/09/2019",-6.5,5.0,-1.3,-6.5,68.19,,10.8,25.2,179.58,-10.5,0.8,8.33,4.0,10.0,57.9,1009.8,"Light Rain",44.1966,27.3354,"Călărași, România","Călărași, România","","Rain, Partially cloudy"
"Calarasi, Romania","01/10/2019",-1.4,1.6,0.1,0.1,99.37,,14.4,39.6,135.83,-6.1,9.8,54.17,1.0,4.0,79.1,1007.6,"Ice, Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Freezing Drizzle/Freezing Rain, Light Rain, Light Freezing Rain, Snow",44.1966,27.3354,"Călărași, România","Călărași, România","","Rain, Overcast"
