Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Miercurea Ciuc, Romania","01/01/2019",-5.8,-0.2,-2.9,-4.0,92.65,,20.7,16.7,221.58,-6.2,0.0,0.0,9.7,5.9,82.5,,"Mist, Fog",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Overcast"
"Miercurea Ciuc, Romania","01/02/2019",-1.9,-0.2,-1.2,-3.7,83.66,,23.7,23.7,241.54,-7.9,0.84,50.0,9.69,14.7,82.9,,"Snow And Rain Showers, Snow Showers, Light Snow, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Overcast"
"Miercurea Ciuc, Romania","01/03/2019",-7.2,-1.4,-3.4,-6.2,80.8,,23.9,30.4,250.96,-12.0,0.03,12.5,9.6,17.9,83.3,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Sky Coverage Increasing, Sky Unchanged, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Overcast"
"Miercurea Ciuc, Romania","01/04/2019",-14.5,-6.7,-10.1,-12.1,84.66,,17.5,22.4,223.96,-19.7,0.0,0.0,9.75,18.1,68.3,,"Mist",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Partially cloudy"
"Miercurea Ciuc, Romania","01/05/2019",-13.0,-5.7,-9.7,-11.9,84.37,,17.2,18.8,207.63,-16.5,0.01,8.33,9.68,8.9,75.1,,"Mist, Light Snow, Fog, Sky Coverage Decreasing, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Overcast"
"Miercurea Ciuc, Romania","01/06/2019",-11.7,-7.3,-8.9,-10.1,91.35,,7.2,12.9,263.13,-16.0,0.89,50.0,10.54,3.8,90.4,,"Mist, Light Snow, Fog, Sky Coverage Increasing, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Overcast"
"Miercurea Ciuc, Romania","01/07/2019",-11.9,-5.3,-8.7,-11.5,80.48,,10.7,12.3,264.71,-14.6,0.02,25.0,11.72,10.2,87.4,,"Mist, Light Snow, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Overcast"
"Miercurea Ciuc, Romania","01/08/2019",-21.4,-8.8,-14.6,-15.9,88.42,,10.8,20.3,163.58,-25.0,0.46,12.5,11.72,4.5,36.6,,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Sky Coverage Decreasing, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Partially cloudy"
"Miercurea Ciuc, Romania","01/09/2019",-16.7,-7.6,-11.4,-13.2,86.21,,4.9,13.7,218.88,-17.6,0.06,20.83,11.61,4.3,86.9,,"Mist, Light Snow, Fog, Sky Coverage Increasing, Sky Unchanged, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Overcast"
"Miercurea Ciuc, Romania","01/10/2019",-7.4,-1.7,-4.2,-6.0,87.49,,14.0,22.5,221.63,-10.0,0.75,25.0,13.47,4.3,91.7,,"Mist, Light Snow, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",46.3641,25.8063,"Miercurea Ciuc, România","Miercurea Ciuc, România","","Rain, Overcast"
