Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Drobeta-Turnu Severin, Romania","01/01/2019",-2.3,5.1,2.3,0.4,87.79,,10.8,21.6,164.17,-5.2,0.05,4.17,12.51,10.0,41.6,1026.4,"Mist, Fog",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/02/2019",1.1,6.1,3.1,-1.7,71.44,,25.1,57.5,253.42,-2.1,0.06,12.5,12.51,10.0,50.2,1014.3,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/03/2019",-0.2,4.0,2.4,-4.7,60.01,,25.1,50.4,297.58,-3.7,0.05,4.17,15.0,10.0,59.3,1016.2,"Mist",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/04/2019",-4.7,1.3,-1.6,-9.4,55.73,,21.5,36.0,218.33,-7.0,0.05,4.17,15.0,10.0,24.0,1023.6,"Mist",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain"
"Drobeta-Turnu Severin, Romania","01/05/2019",-8.0,0.3,-3.5,-8.1,72.08,,25.1,39.5,198.92,-10.2,0.05,4.17,15.0,10.0,45.7,1020.7,"Mist, Light Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/06/2019",-2.0,3.3,0.7,-5.2,65.38,,28.7,50.4,277.83,-5.9,0.05,4.17,12.2,10.0,63.9,1013.1,"Mist, Light Snow, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/07/2019",-4.5,0.8,-1.6,-8.8,58.56,,21.5,50.3,254.13,-8.9,0.05,4.17,12.2,10.0,42.6,1023.1,"Mist",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/08/2019",-7.9,1.0,-3.3,-8.6,68.38,,21.5,36.0,237.79,-12.6,0.05,4.17,15.0,10.0,36.6,1020.7,"Mist, Light Snow, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/09/2019",-2.5,2.6,-0.5,-3.0,84.0,,10.8,21.5,121.83,-5.1,2.03,16.67,12.89,9.2,96.6,1008.5,"Mist, Light Snow, Light Rain And Snow, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/10/2019",-0.7,2.6,0.4,0.2,98.6,,5.8,7.2,232.75,-2.4,8.76,29.17,6.02,2.5,99.5,1008.1,"Light Snow, Mist, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/11/2019",-0.9,0.6,-0.3,-3.1,81.75,,25.1,50.3,254.71,-5.8,2.79,20.83,6.05,10.0,76.8,1014.8,"Snow Showers, Light Snow, Mist, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/12/2019",-2.5,2.1,-0.2,-5.1,69.82,,21.5,50.4,269.29,-7.3,0.0,0.0,4.07,10.0,33.3,1016.5,"Mist, Light Snow, Fog",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/13/2019",-6.0,1.6,-1.4,-3.2,87.84,,7.2,28.8,153.67,-8.5,0.15,8.33,3.06,10.0,45.3,1010.7,"Mist, Light Snow, Fog, Sky Coverage Increasing",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/14/2019",-4.7,7.5,1.4,-1.4,84.03,,18.0,39.6,225.58,-7.6,0.15,12.5,2.05,8.5,62.7,1000.1,"Mist, Light Snow, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/15/2019",-0.7,3.8,1.6,-6.1,57.3,,25.1,50.3,278.29,-4.1,0.15,4.17,10.91,10.0,15.4,1011.1,"Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain"
"Drobeta-Turnu Severin, Romania","01/16/2019",-0.2,7.8,4.0,-0.9,70.6,,21.6,39.6,242.21,-2.6,0.14,12.5,22.82,10.0,42.0,1015.1,"Snow Showers, Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/17/2019",1.1,13.0,5.3,-0.5,68.95,,17.9,25.2,200.42,-1.8,0.12,4.17,18.76,10.0,30.6,1017.1,"Mist, Fog",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/18/2019",-3.4,9.6,2.6,-0.9,79.41,,7.2,10.8,133.5,-2.7,0.11,4.17,17.96,10.0,39.0,1015.7,"Mist, Rain, Fog, Sky Coverage Increasing, Sky Unchanged",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/19/2019",0.6,6.1,3.2,0.1,81.15,,25.1,43.2,137.08,-2.7,2.09,12.5,17.62,8.0,86.7,1020.6,"Snow Showers, Mist, Light Snow, Light Rain And Snow, Rain Showers, Light Rain, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/20/2019",-0.6,0.8,0.4,0.2,98.76,,10.8,21.6,133.71,-3.1,6.08,29.17,17.22,5.1,97.5,1019.7,"Light Snow, Mist, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Fog, Light Rain, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/21/2019",-3.1,6.8,2.3,-0.9,80.37,,17.9,32.4,136.13,-6.1,0.0,0.0,19.32,10.0,51.1,1019.8,"Mist, Rain, Fog",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/22/2019",-1.0,1.3,0.0,-0.8,94.9,,10.8,25.2,71.29,-3.6,3.89,33.33,26.27,6.5,99.5,1018.1,"Snow Showers, Mist, Light Snow, Light Rain And Snow, Light Rain, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/23/2019",-0.5,2.1,0.8,0.6,98.69,,4.8,14.4,123.08,-1.3,4.81,20.83,9.05,4.6,99.5,1005.2,"Light Snow, Mist, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/24/2019",0.6,2.3,1.3,1.3,99.97,,9.6,21.6,183.13,-2.0,26.27,41.67,4.07,4.8,99.5,1001.0,"Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Light Rain, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/25/2019",0.1,1.1,0.4,0.4,99.69,,10.8,18.0,136.04,-2.7,14.44,45.83,9.04,3.8,99.5,1007.8,"Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Light Rain, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/26/2019",-0.5,1.1,0.4,-0.8,91.97,,25.1,39.6,248.04,-6.1,9.4,29.17,13.04,5.8,96.6,1007.2,"Light Snow, Mist, Light Drizzle, Rain, Light Rain And Snow, Rain Showers, Light Rain, Sky Coverage Increasing, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/27/2019",-1.2,7.1,1.3,-2.6,75.82,,35.8,64.7,195.13,-7.6,0.0,0.0,9.09,10.0,39.8,1008.5,"Mist, Fog",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Partially cloudy"
"Drobeta-Turnu Severin, Romania","01/28/2019",-1.0,1.9,0.1,-0.6,95.16,,7.2,14.4,115.0,-3.6,0.29,12.5,7.08,6.7,99.5,1006.2,"Mist, Light Snow, Rain, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing, Sky Unchanged, Snow",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/29/2019",-0.4,3.7,1.2,0.6,96.08,,4.2,14.4,189.79,,0.0,8.33,6.07,6.3,93.7,1006.6,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Overcast"
"Drobeta-Turnu Severin, Romania","01/30/2019",1.1,3.5,2.1,2.1,99.98,,7.2,14.4,144.33,-0.6,7.59,33.33,5.05,1.7,99.5,1003.7,"Mist, Rain, Fog, Rain Showers, Light Rain",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","01/31/2019",1.2,4.4,2.5,2.3,98.86,,7.2,10.8,147.92,0.6,0.04,16.67,3.06,1.4,98.2,1004.0,"Mist, Rain, Fog, Light Rain",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","02/01/2019",-0.7,6.8,2.6,1.3,92.1,,10.8,18.0,150.79,-1.3,0.0,8.33,18.06,6.1,72.1,1012.7,"Mist, Light Drizzle, Fog, Sky Coverage Increasing",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Partially cloudy"
"Drobeta-Turnu Severin, Romania","02/02/2019",1.9,8.3,4.1,1.8,86.08,,7.0,18.0,118.38,0.1,0.0,0.0,25.65,10.0,90.0,1014.1,"Mist, Fog",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Overcast"
"Drobeta-Turnu Severin, Romania","02/03/2019",1.2,6.9,3.4,2.5,93.92,,8.1,14.4,165.29,-1.0,0.11,4.17,23.96,7.5,94.5,1013.7,"Mist",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
"Drobeta-Turnu Severin, Romania","02/04/2019",2.7,11.3,5.7,3.7,88.1,,14.4,32.4,146.58,1.2,0.12,12.5,23.96,9.0,94.1,1021.8,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",44.6331,22.6563,"Drobeta-Turnu Severin, România","Drobeta-Turnu Severin, România","","Rain, Overcast"
