Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Zalau, Romania","01/01/2019",0.6,4.6,1.7,-0.8,84.42,,10.8,57.6,237.67,-1.7,0.4,8.33,53.0,6.6,74.5,1025.9,"Mist, Fog",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Partially cloudy"
"Zalau, Romania","01/02/2019",-0.4,2.5,0.9,-0.6,90.1,,28.8,57.6,248.46,-4.5,4.9,58.33,11.93,6.0,92.4,1012.4,"Snow And Rain Showers, Snow Showers, Heavy Snow, Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Overcast"
"Zalau, Romania","01/03/2019",-6.2,-0.4,-2.6,-5.4,81.56,,18.0,,292.08,-8.5,0.1,37.5,2.02,7.2,62.4,1019.8,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Sky Coverage Increasing, Sky Unchanged, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Partially cloudy"
"Zalau, Romania","01/04/2019",-7.0,-3.5,-4.9,-6.7,87.25,,8.7,,276.54,-9.4,0.42,20.83,2.02,7.8,69.9,1026.4,"Light Snow, Mist, Fog, Sky Coverage Increasing, Sky Unchanged, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Partially cloudy"
"Zalau, Romania","01/05/2019",-7.7,-4.0,-5.4,-7.5,85.86,,14.4,50.4,160.83,-11.0,1.31,37.5,2.02,7.2,60.4,1020.5,"Mist, Light Snow, Dust storm, Fog, Sky Coverage Increasing, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Partially cloudy"
"Zalau, Romania","01/06/2019",-7.0,-2.9,-4.6,-6.3,88.61,,14.4,43.2,286.46,-10.6,0.9,29.17,4.01,5.2,90.7,1016.8,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Overcast"
"Zalau, Romania","01/07/2019",-10.0,-3.5,-6.9,-9.3,83.07,,8.3,43.2,227.21,-11.8,0.0,0.0,4.02,10.0,40.4,1027.2,"Fog, Sky Coverage Decreasing, Sky Coverage Increasing",47.1878,23.0579,"Zalău, România","Zalău, România","","Partially cloudy"
"Zalau, Romania","01/08/2019",-11.5,-5.2,-8.2,-10.1,86.62,,18.0,64.8,127.33,-14.1,1.23,25.0,4.02,8.7,68.3,1021.1,"Mist, Light Snow, Fog, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Partially cloudy"
"Zalau, Romania","01/09/2019",-7.4,-2.9,-5.1,-7.1,86.1,,18.0,57.6,123.58,-13.9,1.8,33.33,9.0,7.4,95.7,1007.8,"Light Snow, Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Overcast"
"Zalau, Romania","01/10/2019",-6.6,-0.5,-3.6,-4.9,91.26,,7.2,50.4,236.83,-4.7,0.0,4.17,7.01,5.7,74.5,1011.0,"Mist, Light Snow, Fog, Sky Coverage Increasing, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Partially cloudy"
"Zalau, Romania","01/11/2019",-5.1,-2.8,-4.2,-5.0,94.81,,7.2,43.2,249.42,-8.2,1.9,41.67,10.0,1.7,94.9,1016.3,"Light Snow, Mist, Fog, Sky Coverage Increasing, Snow",47.1878,23.0579,"Zalău, România","Zalău, România","","Rain, Overcast"
