Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Bistrita, Romania","01/01/2020",-6.1,2.0,-1.5,-4.4,81.16,,10.7,,218.5,-4.4,0.01,25.0,7.89,10.0,50.4,1030.7,"Snow And Rain Showers, Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/02/2020",-7.1,1.1,-3.0,-5.0,86.39,,7.1,,194.08,-2.0,0.0,4.17,11.94,10.0,67.0,1034.2,"Mist",47.131,24.4899,"Bistrița, România","Bistrița, România","","Partially cloudy"
"Bistrita, Romania","01/03/2020",-6.4,3.3,-3.2,-5.5,84.41,,7.1,,123.96,-9.3,0.47,4.17,9.47,10.0,40.2,1030.5,"Mist",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/04/2020",-8.6,-1.7,-4.9,-6.3,89.6,,7.2,,201.5,-5.5,1.27,33.33,7.99,7.3,57.6,1023.3,"Snow And Rain Showers, Hail Showers, Mist, Light Snow, Fog, Snow",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/05/2020",-9.7,-1.7,-3.7,-5.2,89.23,,10.8,,220.04,-10.2,2.01,70.83,5.0,7.8,73.2,1022.4,"Snow And Rain Showers, Light Snow, Mist, Sky Coverage Increasing, Snow",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/06/2020",-13.8,-1.9,-9.2,-11.4,84.54,,7.3,,132.54,-17.3,0.0,4.17,5.03,10.0,6.7,1033.2,"Mist",47.131,24.4899,"Bistrița, România","Bistrița, România","","Clear"
"Bistrita, Romania","01/07/2020",-14.6,-3.0,-10.1,-12.7,82.4,,7.1,,139.46,-6.2,0.0,0.0,5.02,10.0,13.7,1032.7,"Mist, Fog",47.131,24.4899,"Bistrița, România","Bistrița, România","","Clear"
"Bistrita, Romania","01/08/2020",-14.4,-2.2,-9.8,-12.4,82.08,,7.1,,222.58,-11.3,0.0,0.0,4.04,10.0,0.2,1035.4,"Mist, Fog",47.131,24.4899,"Bistrița, România","Bistrița, România","","Clear"
"Bistrita, Romania","01/09/2020",-13.8,-2.9,-7.6,-9.7,84.8,,3.6,18.0,178.42,,0.85,41.67,4.01,6.5,70.2,1032.8,"Snow And Rain Showers, Drizzle, Mist, Light Snow, Fog, Rain Showers, Sky Coverage Increasing, Light Freezing Rain, Snow",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/10/2020",-4.6,3.3,-1.2,-3.5,84.57,,5.5,,184.54,2.0,0.0,8.33,3.03,8.8,76.3,1026.1,"Snow And Rain Showers, Mist, Sky Coverage Increasing, Light Freezing Rain",47.131,24.4899,"Bistrița, România","Bistrița, România","","Overcast"
"Bistrita, Romania","01/11/2020",-8.3,0.6,-4.4,-5.8,90.47,,7.2,3.6,169.95,-3.2,0.29,9.52,2.45,6.9,43.8,1028.8,"Snow And Rain Showers, Mist, Fog, Sky Coverage Increasing",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/12/2020",-5.3,-1.0,-2.5,-3.2,94.89,,5.0,,182.33,-2.7,0.0,0.0,4.6,2.0,82.2,1032.7,"Mist, Fog, Sky Coverage Increasing",47.131,24.4899,"Bistrița, România","Bistrița, România","","Overcast"
"Bistrita, Romania","01/13/2020",-4.0,-2.2,-3.1,-3.6,96.35,,7.2,3.6,79.13,-7.0,0.29,4.35,4.29,1.1,81.3,1031.1,"Mist, Fog",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Overcast"
"Bistrita, Romania","01/14/2020",-7.1,-3.9,-5.1,-5.9,94.0,,7.2,,137.04,-10.7,0.29,4.17,4.07,1.9,97.7,1030.3,"Mist, Fog",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Overcast"
"Bistrita, Romania","01/15/2020",-7.8,-1.9,-5.2,-6.4,91.4,,7.1,4.5,135.71,-10.7,0.29,4.17,3.41,3.9,61.8,1034.5,"Mist, Fog, Sky Coverage Increasing",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/16/2020",-11.8,0.0,-6.8,-8.4,88.54,,7.1,3.6,150.38,-7.0,0.29,4.17,3.41,5.3,27.2,1034.7,"Mist, Fog",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/17/2020",-10.3,3.3,-4.8,-6.7,87.44,,8.5,,132.58,-10.9,0.29,4.17,4.16,4.8,31.9,1033.4,"Mist, Fog",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Partially cloudy"
"Bistrita, Romania","01/18/2020",-10.6,6.1,-4.8,-8.3,78.89,,7.4,,165.83,-11.0,0.2,4.17,2.92,8.5,0.0,1027.9,"Mist, Fog",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain"
"Bistrita, Romania","01/19/2020",-10.6,-3.1,-5.5,-6.9,90.26,,7.1,,118.75,-6.3,0.15,4.17,2.61,5.5,81.8,1030.6,"Mist, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Overcast"
"Bistrita, Romania","01/20/2020",-3.4,-1.2,-2.2,-5.1,80.83,,7.1,,169.04,-4.4,0.12,4.17,2.3,10.0,97.9,1042.8,"Mist",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Overcast"
"Bistrita, Romania","01/21/2020",-2.2,-0.9,-1.8,-5.5,75.88,,7.1,,181.08,-4.6,0.12,4.17,2.3,10.0,98.0,1044.6,"Mist",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Overcast"
"Bistrita, Romania","01/22/2020",-2.5,-1.0,-1.9,-4.2,84.23,,10.8,0.0,243.46,-6.5,0.12,8.33,2.3,7.5,98.4,1033.3,"Mist",47.131,24.4899,"Bistrița, România","Bistrița, România","","Rain, Overcast"
