Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Brasov, Romania","01/01/2020",-4.2,-1.9,-2.9,-5.9,79.8,,29.3,,283.75,-10.4,0.23,8.33,34.61,8.9,69.0,,"Snow Showers, Light Snow, Mist, Dust storm, Fog, Sky Coverage Decreasing, Sky Unchanged",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Partially cloudy"
"Brasov, Romania","01/02/2020",-6.6,-0.5,-3.6,-7.2,76.93,,15.5,,286.54,-11.3,0.0,0.0,34.28,25.1,57.2,,"Blowing Or Drifting Snow, Mist, Dust storm, Fog, Sky Coverage Increasing",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/03/2020",-8.9,1.6,-4.9,-8.6,75.9,,32.4,,187.79,-18.1,0.0,0.0,32.82,28.5,25.1,,"Blowing Or Drifting Snow, Dust storm",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/04/2020",-9.7,-0.5,-5.0,-7.8,81.06,,39.6,,209.71,-18.0,0.0,0.0,31.02,12.3,53.2,,"Snow And Rain Showers, Blowing Or Drifting Snow, Mist, Dust storm, Fog, Sky Coverage Increasing",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/05/2020",-4.8,-0.8,-3.3,-5.0,88.0,,25.0,,304.75,-11.7,1.02,29.17,29.23,8.6,77.3,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Dust storm, Fog, Sky Coverage Increasing, Snow",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Overcast"
"Brasov, Romania","01/06/2020",-10.1,-3.3,-5.6,-7.9,83.96,,19.9,,296.04,-17.0,0.31,33.33,9.47,13.3,67.5,,"Snow And Rain Showers, Snow Showers, Blowing Or Drifting Snow, Mist, Light Snow, Dust storm, Fog, Sky Coverage Increasing, Snow",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Partially cloudy"
"Brasov, Romania","01/07/2020",-14.0,-7.5,-10.5,-13.1,81.6,,13.1,,144.71,-20.6,0.0,0.0,25.38,11.7,33.9,,"Blowing Or Drifting Snow, Mist, Dust storm, Fog",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/08/2020",-13.4,-6.6,-10.5,-13.0,81.96,,10.6,,177.17,-18.1,0.0,0.0,30.31,12.2,43.3,,"Mist, Dust storm, Fog, Sky Coverage Increasing",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/09/2020",-14.0,-4.5,-9.3,-11.7,82.46,,10.5,,159.0,-18.8,0.02,12.5,29.71,9.4,45.1,,"Mist, Light Snow, Fog, Snow",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Partially cloudy"
"Brasov, Romania","01/10/2020",-4.2,3.0,-1.4,-3.9,83.52,,11.0,,153.33,-7.7,0.0,0.0,28.84,8.8,74.8,,"Mist, Fog",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/11/2020",-7.8,3.3,-1.3,-4.2,80.83,,32.4,28.8,238.96,-17.0,0.0,0.0,25.43,13.6,55.2,,"Mist, Fog, Sky Coverage Decreasing, Sky Unchanged",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/12/2020",-5.1,2.7,-1.1,-4.2,80.14,,8.9,,148.46,-8.0,0.0,0.0,24.29,12.0,39.5,,"Mist, Fog",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/13/2020",-5.7,-1.8,-3.9,-8.6,73.49,,25.2,10.8,177.96,-8.3,0.0,0.0,23.29,10.3,0.1,,"Mist, Fog, Sky Coverage Increasing",45.6427,25.5887,"Brașov, România","Brașov, România","","Clear"
"Brasov, Romania","01/14/2020",-6.5,-3.3,-5.2,-8.7,76.99,,8.7,,169.13,-9.7,0.13,4.35,23.03,8.5,34.2,,"Mist, Fog, Sky Coverage Increasing, Sky Unchanged, Snow",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Partially cloudy"
"Brasov, Romania","01/15/2020",-7.5,-2.0,-5.3,-8.7,77.3,,7.9,10.8,108.08,-10.9,0.07,4.17,6.78,8.4,30.6,,"Mist, Light Snow, Fog, Sky Coverage Increasing",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Partially cloudy"
"Brasov, Romania","01/16/2020",-8.2,-1.0,-5.7,-10.2,70.78,,15.5,18.0,172.54,-14.1,0.0,0.0,17.51,9.9,48.7,,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/17/2020",-9.3,3.4,-4.1,-8.0,74.34,,12.8,,134.46,-13.1,0.0,0.0,22.17,10.4,11.2,,"Mist, Fog",45.6427,25.5887,"Brașov, România","Brașov, România","","Clear"
"Brasov, Romania","01/18/2020",-8.2,5.9,-2.6,-9.8,59.64,,9.9,,171.92,-11.9,0.0,0.0,22.03,25.8,0.0,,"",45.6427,25.5887,"Brașov, România","Brașov, România","","Clear"
"Brasov, Romania","01/19/2020",-8.5,-1.4,-5.0,-9.7,69.91,,17.7,,239.42,-12.3,0.0,0.0,25.04,16.9,41.3,,"Mist",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/20/2020",-4.7,-3.0,-3.9,-8.3,71.65,,14.8,,260.54,-8.6,0.0,0.0,25.04,12.2,82.3,,"Mist",45.6427,25.5887,"Brașov, România","Brașov, România","","Overcast"
"Brasov, Romania","01/21/2020",-4.5,-2.8,-3.7,-8.0,72.03,,17.7,,299.29,-9.4,0.05,8.33,24.74,12.8,84.5,,"Snow Showers, Mist, Fog",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Overcast"
"Brasov, Romania","01/22/2020",-4.7,-0.4,-3.0,-6.8,75.6,,20.7,,289.96,-9.8,0.0,0.0,24.44,12.4,70.2,,"Blowing Or Drifting Snow, Mist, Fog",45.6427,25.5887,"Brașov, România","Brașov, România","","Partially cloudy"
"Brasov, Romania","01/23/2020",-4.7,-1.6,-3.3,-6.7,77.96,,28.9,,299.75,-12.3,0.15,8.33,23.83,8.6,72.6,,"Blowing Or Drifting Snow, Mist, Light Snow, Fog, Sky Coverage Increasing",45.6427,25.5887,"Brașov, România","Brașov, România","","Rain, Partially cloudy"
