Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Constanta, Romania","01/01/2020",1.3,6.3,3.1,-1.7,71.33,,25.3,53.2,303.67,-3.3,0.19,8.33,0.56,10.0,68.9,1024.4,"Sky Coverage Increasing",44.1783,28.6512,"Constanța, România","Constanța, România","","Rain, Partially cloudy"
"Constanta, Romania","01/02/2020",-0.3,4.8,2.1,-2.4,72.93,,21.4,39.4,309.58,-3.8,0.0,0.0,0.0,10.0,20.4,1030.4,"",44.1783,28.6512,"Constanța, România","Constanța, România","","Clear"
"Constanta, Romania","01/03/2020",-0.7,4.5,1.5,-1.9,78.31,,21.5,37.5,273.71,-5.8,0.0,0.0,0.0,9.5,30.9,1024.0,"Mist",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
"Constanta, Romania","01/04/2020",-1.2,6.3,1.9,-2.0,75.67,,14.4,28.8,277.75,-4.1,0.0,0.0,0.0,7.8,10.8,1017.0,"Mist",44.1783,28.6512,"Constanța, România","Constanța, România","","Clear"
"Constanta, Romania","01/05/2020",1.1,4.3,2.5,-0.5,80.43,,21.3,35.7,294.67,-2.0,0.01,8.33,0.0,9.2,75.3,1016.0,"Mist, Light Drizzle, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain, Sky Coverage Increasing",44.1783,28.6512,"Constanța, România","Constanța, România","","Rain, Overcast"
"Constanta, Romania","01/06/2020",1.1,4.5,2.6,-0.2,81.87,,24.8,61.4,122.63,-3.5,0.0,0.0,0.0,10.0,49.2,1024.4,"",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
"Constanta, Romania","01/07/2020",-1.4,2.1,0.4,-4.5,70.31,,28.4,46.5,280.5,-7.2,0.0,0.0,0.0,9.6,48.3,1026.6,"",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
"Constanta, Romania","01/08/2020",-3.4,2.3,-0.7,-5.3,71.87,,17.9,34.3,334.13,-7.9,0.0,0.0,0.0,10.0,2.6,1030.2,"",44.1783,28.6512,"Constanța, România","Constanța, România","","Clear"
"Constanta, Romania","01/09/2020",-2.7,4.1,0.3,-3.9,74.4,,17.9,29.9,268.67,-6.3,0.0,0.0,0.0,9.0,50.2,1027.7,"Mist",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
"Constanta, Romania","01/10/2020",0.1,9.1,3.9,-1.7,68.27,,10.7,21.4,230.96,-2.3,0.0,0.0,0.0,7.3,41.1,1023.6,"Mist",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
"Constanta, Romania","01/11/2020",1.5,8.3,4.8,-1.0,66.46,,11.0,24.5,250.78,1.7,0.0,0.0,0.0,7.9,56.6,1022.8,"Mist, Sky Coverage Increasing",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
"Constanta, Romania","01/12/2020",2.1,6.6,4.3,1.5,82.05,,14.5,32.1,200.71,0.0,0.0,0.0,0.0,7.8,50.1,1029.0,"Mist",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
"Constanta, Romania","01/13/2020",0.8,10.6,4.2,0.5,77.97,,10.8,28.4,240.96,-0.7,0.0,0.0,0.0,8.1,0.0,1027.7,"Mist",44.1783,28.6512,"Constanța, România","Constanța, România","","Clear"
"Constanta, Romania","01/14/2020",-2.2,7.2,1.2,-0.2,90.77,,7.2,18.0,237.46,-4.9,0.0,0.0,0.0,3.0,38.1,1026.9,"Mist, Fog",44.1783,28.6512,"Constanța, România","Constanța, România","","Partially cloudy"
