Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Targu Mures, Romania","01/01/2020",-3.9,1.2,-1.6,-4.4,81.8,,17.4,34.6,282.54,-7.2,0.0,0.0,10.0,21.0,19.8,1031.5,"Sky Coverage Increasing",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/02/2020",-4.2,1.4,-2.1,-4.7,82.58,,7.6,15.3,256.58,-7.0,0.0,0.0,10.0,15.4,27.9,1034.8,"Mist",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Partially cloudy"
"Targu Mures, Romania","01/03/2020",-5.7,1.2,-3.1,-5.0,87.22,,5.3,10.8,147.96,-7.0,0.0,0.0,10.0,8.6,14.4,1031.2,"Mist, Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/04/2020",-7.4,-2.3,-4.4,-5.5,91.97,,7.1,14.1,227.0,-10.7,0.42,16.67,9.0,3.4,23.4,1023.9,"Mist, Light Snow, Fog, Snow",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Rain"
"Targu Mures, Romania","01/05/2020",-3.1,-2.3,-2.7,-3.9,91.67,,20.9,42.8,304.29,-8.3,2.21,41.67,11.0,9.8,34.7,1022.8,"Mist, Light Snow, Dust storm, Fog, Sky Coverage Increasing, Snow",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Rain, Partially cloudy"
"Targu Mures, Romania","01/06/2020",-8.9,-1.8,-5.4,-7.6,85.08,,14.8,31.7,249.79,-12.8,0.02,4.17,5.1,29.2,9.4,1033.0,"Snow Showers, Dust storm, Sky Coverage Increasing",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Rain"
"Targu Mures, Romania","01/07/2020",-11.8,-4.1,-8.8,-10.6,86.68,,4.9,7.5,235.96,-9.6,0.0,0.0,4.75,4.0,7.6,1033.3,"Mist, Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/08/2020",-11.9,-3.6,-8.8,-10.6,86.74,,5.6,9.2,217.92,-11.9,0.0,0.0,4.75,3.7,1.4,1036.1,"Mist, Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/09/2020",-11.7,-4.1,-7.9,-9.2,90.53,,5.2,11.1,201.21,-7.2,0.06,8.33,4.75,4.0,25.6,1033.7,"Snow And Rain Showers, Mist, Fog, Sky Coverage Increasing, Light Freezing Rain, Snow",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Rain, Partially cloudy"
"Targu Mures, Romania","01/10/2020",-4.1,3.2,-1.2,-3.7,83.85,,6.3,12.4,168.63,-6.2,0.01,4.17,4.6,7.9,24.6,1026.6,"Mist, Sky Coverage Increasing",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Rain"
"Targu Mures, Romania","01/11/2020",-5.3,1.5,-1.9,-3.9,86.68,,5.5,10.8,230.52,-1.8,0.0,0.0,3.79,7.8,18.0,1029.1,"Mist",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/12/2020",-2.5,0.3,-1.0,-2.1,92.32,,6.4,12.8,123.25,-4.3,0.0,0.0,2.61,4.2,24.9,1032.9,"Mist, Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/13/2020",-3.6,-2.3,-2.9,-3.5,95.76,,6.0,10.8,129.87,-5.7,0.03,4.35,2.61,2.8,3.4,1031.7,"Mist, Fog, Freezing Drizzle/Freezing Rain",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Rain"
"Targu Mures, Romania","01/14/2020",-5.4,-3.6,-4.4,-5.2,94.24,,5.9,12.4,162.42,-7.7,0.0,0.0,2.61,2.6,1.5,1030.8,"Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/15/2020",-6.4,-2.6,-5.0,-5.9,92.82,,5.9,10.8,173.04,-8.9,0.0,0.0,2.61,2.7,0.2,1035.0,"Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/16/2020",-7.0,-2.6,-5.2,-7.1,87.08,,7.2,10.8,192.58,-9.7,0.0,0.0,2.61,2.6,0.0,1035.2,"Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/17/2020",-7.4,-0.1,-4.5,-5.4,93.5,,7.7,12.4,177.79,-9.3,0.0,0.0,2.61,2.9,3.7,1034.0,"Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/18/2020",-5.5,1.8,-3.2,-6.3,79.5,,7.0,14.7,197.13,-8.1,0.0,0.0,3.79,3.4,1.7,1028.5,"Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
"Targu Mures, Romania","01/19/2020",-7.0,-3.6,-4.8,-6.5,88.24,,6.5,14.4,167.83,-9.0,0.0,0.0,8.0,3.1,12.5,1031.4,"Mist, Fog",46.5426,24.558,"Târgu Mureș, România","Târgu Mureș, România","","Clear"
