Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Ploiesti, Romania","01/01/2020",-2.9,7.5,3.2,-5.3,54.82,,25.0,,248.29,-4.0,0.0,0.0,0.0,10.3,13.8,1026.5,"Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/02/2020",-7.1,6.6,-1.5,-6.3,72.37,,7.3,,238.92,-10.7,0.0,0.0,0.0,10.9,8.7,1031.4,"Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/03/2020",-5.9,11.6,1.2,-5.4,65.62,,7.2,,222.38,-5.3,0.0,0.0,0.0,10.4,15.5,1024.9,"Mist, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/04/2020",-4.8,10.6,1.6,-6.5,58.35,,8.3,,163.46,-8.0,0.0,0.0,0.0,9.9,36.9,1017.5,"Mist, Sky Coverage Decreasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Partially cloudy"
"Ploiesti, Romania","01/05/2020",-1.7,5.0,2.2,-3.6,66.07,,14.4,,132.5,-2.1,0.0,4.17,0.0,9.8,64.8,1017.7,"Mist, Rain, Heavy Rain And Snow, Light Rain, Sky Coverage Increasing, Sky Unchanged",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Partially cloudy"
"Ploiesti, Romania","01/06/2020",-5.1,4.5,0.0,-6.9,60.87,,21.5,,168.42,-8.4,0.0,0.0,0.0,10.9,38.6,1028.1,"Light Snow, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Partially cloudy"
"Ploiesti, Romania","01/07/2020",-8.9,2.1,-4.1,-8.0,75.46,,10.8,,138.67,-7.9,0.0,0.0,0.0,10.8,0.0,1029.7,"Mist, Sky Coverage Decreasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/08/2020",-9.4,4.1,-3.9,-7.4,78.33,,7.2,,218.71,-6.4,0.0,0.0,0.0,8.3,3.3,1032.2,"Mist, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/09/2020",-8.6,6.5,-1.4,-6.6,70.27,,7.2,,181.67,3.5,0.0,0.0,0.0,7.6,54.8,1027.5,"Mist, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Partially cloudy"
"Ploiesti, Romania","01/10/2020",-2.9,14.0,3.5,-4.2,62.04,,14.3,,249.17,1.1,0.0,0.0,0.0,9.4,37.7,1022.4,"Mist, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Partially cloudy"
"Ploiesti, Romania","01/11/2020",-3.4,9.2,1.8,-1.9,77.24,,7.2,18.0,237.33,-3.8,0.0,0.0,0.0,7.9,22.3,1023.3,"Mist, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/12/2020",-2.4,8.6,3.4,-1.4,72.03,,10.8,,234.83,-6.4,0.0,0.0,0.0,8.8,30.4,1029.9,"Mist, Sky Coverage Decreasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Partially cloudy"
"Ploiesti, Romania","01/13/2020",-6.6,11.3,1.2,-3.1,76.76,,10.8,28.8,217.77,-10.8,0.0,0.0,0.0,7.9,0.0,1026.9,"Mist, Sky Coverage Decreasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/14/2020",-5.6,9.0,-0.1,-3.8,78.06,,7.2,,193.17,-7.5,0.0,0.0,0.0,7.8,16.7,1026.7,"Mist, Fog, Sky Unchanged",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/15/2020",-7.8,2.6,-3.4,-5.0,89.24,,7.2,,169.04,-11.2,0.0,0.0,0.0,3.0,20.7,1031.4,"Mist, Fog, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Clear"
"Ploiesti, Romania","01/16/2020",-7.6,-0.3,-3.5,-4.3,93.93,,7.2,7.2,143.67,-7.6,0.0,0.0,0.0,1.7,74.3,1032.3,"Mist, Fog, Sky Coverage Increasing",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Partially cloudy"
"Ploiesti, Romania","01/17/2020",-5.2,-1.0,-2.7,-3.3,95.54,,7.2,,232.79,-3.8,0.1,4.17,0.0,1.4,95.1,1033.9,"Mist, Light Drizzle, Fog, Freezing Drizzle/Freezing Rain, Sky Coverage Increasing, Light Freezing Rain",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Rain, Overcast"
"Ploiesti, Romania","01/18/2020",-1.0,0.1,-0.3,-1.2,93.44,,7.2,,181.08,-2.6,0.2,20.83,0.0,7.4,95.4,1031.5,"Drizzle, Mist, Light Snow, Light Drizzle, Fog, Sky Coverage Increasing, Snow",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Rain, Overcast"
"Ploiesti, Romania","01/19/2020",-1.4,2.1,0.3,-3.8,74.02,,7.2,,50.54,-2.9,0.0,0.0,0.0,9.4,90.0,1029.7,"Mist",44.9407,26.0233,"Ploiești, România","Ploiești, România","","Overcast"
