Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Sibiu, Romania","01/01/2020",-5.0,-0.8,-3.1,-6.3,79.15,,14.5,,295.08,-8.9,0.51,12.5,82.48,7.2,22.7,1032.0,"Snow And Rain Showers, Blowing Or Drifting Snow, Snow Showers, Light Snow, Dust storm, Fog, Sky Coverage Decreasing",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/02/2020",-6.3,-0.7,-4.0,-7.1,79.5,,7.8,,260.33,-9.2,0.0,0.0,80.62,9.4,12.2,1035.4,"Mist, Fog",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/03/2020",-6.8,-0.5,-3.8,-8.2,71.87,,6.4,,188.5,-9.5,0.0,0.0,76.53,9.4,10.2,1031.5,"Mist, Fog",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/04/2020",-6.0,-1.1,-3.2,-6.0,81.15,,12.9,,218.88,-9.6,0.0,0.0,69.08,9.3,23.8,1024.0,"Mist, Fog, Sky Coverage Increasing",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/05/2020",-4.9,-1.7,-3.4,-5.1,87.88,,11.8,,267.46,-8.5,4.5,41.67,30.12,5.5,22.1,1022.9,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/06/2020",-8.6,-2.9,-5.5,-8.1,82.39,,8.6,,248.54,-10.4,0.62,20.83,37.07,8.0,13.7,1032.8,"Snow And Rain Showers, Light Snow, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/07/2020",-13.0,-4.1,-8.6,-11.0,83.25,,8.7,,113.88,-18.3,0.0,0.0,74.86,10.1,2.4,1032.7,"",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/08/2020",-10.7,-3.1,-7.6,-11.5,73.79,,6.7,,146.08,-14.3,0.4,4.17,71.95,9.8,0.3,1035.6,"Mist, Fog, Sky Coverage Increasing",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/09/2020",-9.4,-2.0,-5.7,-9.2,76.18,,6.1,,202.0,-12.4,0.09,8.33,68.95,8.4,18.6,1033.5,"Mist, Fog, Snow",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/10/2020",-2.4,4.7,0.4,-2.9,79.18,,7.2,,214.79,-5.1,0.0,0.0,65.04,7.4,12.3,1026.6,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/11/2020",-4.7,3.5,-1.1,-4.5,78.2,,7.0,12.1,226.1,-6.8,0.04,4.76,55.76,9.7,12.7,1029.3,"Mist",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/12/2020",-2.6,3.0,-0.6,-3.4,81.77,,7.6,,157.83,-4.9,0.0,0.0,52.62,9.0,10.4,1032.5,"Mist, Fog, Sky Coverage Decreasing",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/13/2020",-5.6,-1.6,-3.9,-7.7,76.33,,5.9,10.9,161.33,-7.6,0.0,0.0,52.17,8.9,2.8,1031.7,"Mist, Fog",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/14/2020",-5.2,-1.5,-3.9,-9.0,68.28,,6.6,,227.09,-8.3,0.0,0.0,51.94,8.9,5.4,1030.9,"Mist",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/15/2020",-6.1,0.2,-3.4,-8.5,68.37,,6.6,4.7,99.5,-8.7,0.0,0.0,51.48,8.8,4.6,1035.0,"Mist",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Clear"
"Sibiu, Romania","01/16/2020",-5.7,0.6,-3.0,-8.9,64.07,,6.8,8.8,134.79,-8.7,0.09,4.17,50.48,8.7,3.0,1035.1,"Mist, Fog",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/17/2020",-6.0,1.8,-2.5,-9.0,61.28,,11.8,,139.33,-9.6,0.18,8.33,50.26,8.7,3.3,1034.1,"Mist, Fog",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
"Sibiu, Romania","01/18/2020",-2.2,3.3,-0.1,-10.4,46.23,,20.3,,175.46,-7.3,0.01,4.17,49.8,8.6,0.7,1029.0,"Mist, Fog, Snow",45.7917,24.1476,"Sibiu, România","Sibiu, România","","Rain"
