Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Alexandria, Romania","01/01/2020",-3.1,6.9,1.1,-3.2,73.91,,18.0,32.4,239.75,-6.9,0.0,0.0,0.0,10.0,4.8,1027.3,"",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Clear"
"Alexandria, Romania","01/02/2020",-5.8,5.0,-1.3,-4.2,81.78,,14.4,21.6,227.75,-10.2,0.0,0.0,0.0,10.0,3.4,1032.2,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Clear"
"Alexandria, Romania","01/03/2020",-4.1,6.6,0.1,-3.2,79.81,,18.0,25.2,246.04,-8.1,0.0,0.0,0.0,9.0,17.4,1026.5,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Clear"
"Alexandria, Romania","01/04/2020",-4.9,8.2,1.9,-3.2,70.66,,14.4,39.6,245.79,-8.1,0.0,0.0,0.0,10.0,40.7,1018.1,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/05/2020",-1.3,4.6,2.3,-0.5,82.5,,25.0,43.2,253.04,-4.1,0.01,16.67,0.0,10.0,78.8,1018.1,"Mist, Rain, Heavy Rain And Snow, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Rain, Overcast"
"Alexandria, Romania","01/06/2020",-3.4,3.1,-0.7,-2.9,85.55,,14.3,18.0,231.08,-7.6,0.3,20.83,0.99,8.9,73.4,1028.4,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Rain, Partially cloudy"
"Alexandria, Romania","01/07/2020",-4.8,2.3,-2.1,-4.9,82.89,,10.7,18.0,192.17,-8.7,0.0,0.0,0.0,10.0,36.0,1029.9,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/08/2020",-8.2,3.5,-2.8,-5.7,81.06,,10.8,14.4,215.71,-10.4,0.0,0.0,0.0,8.8,0.0,1032.7,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Clear"
"Alexandria, Romania","01/09/2020",-5.0,4.7,-0.6,-4.7,75.14,,17.9,25.2,218.0,-9.5,0.0,0.0,0.0,10.0,42.0,1028.6,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/10/2020",-3.4,9.1,2.3,-2.6,72.03,,14.3,14.4,223.13,-6.5,0.0,0.0,0.0,8.6,27.7,1023.8,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/11/2020",-1.7,6.7,2.2,-2.0,74.26,,10.8,28.8,206.09,-4.6,0.0,0.0,0.0,10.0,54.2,1023.8,"",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/12/2020",-0.4,7.8,2.7,0.2,84.01,,17.9,14.4,144.25,-3.6,0.0,0.0,0.0,7.9,42.5,1030.2,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/13/2020",-5.1,3.6,-1.4,-1.8,96.82,,10.8,10.8,247.38,-6.7,0.0,0.0,0.0,0.9,60.6,1028.4,"Mist, Fog",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/14/2020",-5.6,7.8,-1.2,-2.3,93.3,,7.2,10.8,240.33,-5.7,0.0,0.0,0.0,1.0,54.0,1027.2,"Blowing Or Drifting Snow, Mist, Fog, Sky Coverage Increasing",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/15/2020",-4.6,0.4,-2.2,-2.5,98.4,,10.8,14.4,128.17,-7.8,0.0,0.0,0.0,0.4,83.0,1031.2,"Mist, Fog, Freezing Drizzle/Freezing Rain",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Overcast"
"Alexandria, Romania","01/16/2020",-2.3,-1.5,-1.9,-2.2,98.39,,10.8,14.4,141.58,-6.1,0.0,0.0,0.0,0.2,99.5,1032.3,"Fog, Freezing Drizzle/Freezing Rain",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Overcast"
"Alexandria, Romania","01/17/2020",-2.3,-0.1,-1.2,-1.4,99.02,,14.2,14.4,155.71,-5.2,0.0,4.17,0.0,1.2,99.5,1033.8,"Mist, Light Drizzle, Rain, Fog, Light Rain",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Overcast"
"Alexandria, Romania","01/18/2020",-0.3,3.7,1.1,-0.2,91.55,,21.5,28.8,50.04,-4.0,0.0,8.33,0.0,5.4,97.4,1030.9,"Drizzle, Mist, Light Drizzle, Sky Coverage Increasing",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Overcast"
"Alexandria, Romania","01/19/2020",0.8,3.1,1.8,-0.4,85.45,,21.3,10.8,105.79,-3.7,0.0,0.0,0.0,8.7,99.5,1029.2,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Overcast"
"Alexandria, Romania","01/20/2020",-1.4,5.2,1.5,-2.5,75.69,,14.3,25.2,260.67,-4.1,0.0,0.0,0.0,10.0,70.4,1040.4,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Partially cloudy"
"Alexandria, Romania","01/21/2020",-6.1,4.6,-1.3,-4.3,81.38,,14.4,36.0,240.92,-9.6,0.0,0.0,0.0,8.9,20.7,1041.3,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Clear"
"Alexandria, Romania","01/22/2020",-3.2,7.7,1.5,-4.8,66.54,,21.6,32.4,247.08,-8.2,0.0,0.0,0.0,10.0,11.6,1029.0,"",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Clear"
"Alexandria, Romania","01/23/2020",-3.6,7.4,2.2,-5.3,59.25,,21.5,43.2,242.42,-6.7,0.0,0.0,0.0,10.0,0.1,1029.6,"Mist",43.9701,25.3277,"Alexandria, România","Alexandria, România","","Clear"
