Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Focsani, Romania","01/01/2020",1.3,6.6,4.3,-5.3,50.18,,28.8,,279.58,-1.9,0.0,0.0,7.13,12.5,37.4,1025.9,"Dust storm, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/02/2020",-5.3,6.0,0.4,-5.1,67.72,,10.8,,215.08,-9.0,0.0,0.0,7.13,10.0,9.2,1031.2,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","01/03/2020",-4.8,7.6,-0.1,-3.6,79.0,,14.4,,209.17,-9.3,0.0,0.0,7.13,10.0,35.8,1024.6,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/04/2020",-3.8,7.8,0.9,-3.9,71.47,,10.0,,256.88,-7.8,0.0,0.0,7.13,10.0,35.8,1018.0,"Dust storm, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/05/2020",1.3,6.3,3.2,-1.3,73.32,,14.5,,266.75,-0.9,0.1,20.83,6.87,10.0,76.4,1018.3,"Mist, Light Snow, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Overcast"
"Focsani, Romania","01/06/2020",-2.4,2.5,1.2,-2.9,74.69,,21.6,,343.33,-5.7,0.41,29.17,5.28,9.0,75.2,1029.6,"Snow Showers, Light Snow, Dust storm, Fog, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Sky Coverage Increasing, Sky Unchanged, Snow",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Overcast"
"Focsani, Romania","01/07/2020",-5.9,1.3,-2.5,-7.3,70.45,,10.8,,276.88,-10.5,0.0,0.0,9.77,11.7,1.7,1030.7,"Fog",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","01/08/2020",-5.9,4.1,-2.4,-7.8,68.15,,10.8,,215.33,-10.5,0.0,0.0,9.77,12.9,2.1,1032.6,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","01/09/2020",-7.1,2.1,-2.4,-5.7,78.56,,12.5,14.4,217.83,-12.6,0.0,0.0,9.25,10.0,59.1,1028.2,"Mist, Fog, Light Rain, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/10/2020",-1.1,7.4,2.3,-1.6,76.05,,9.3,,162.42,-3.0,0.1,4.17,9.25,6.3,71.4,1023.0,"Mist, Rain, Fog, Light Rain, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Partially cloudy"
"Focsani, Romania","01/11/2020",-1.1,13.0,4.8,-0.3,71.6,,10.8,68.4,234.81,-2.3,0.0,0.0,23.0,6.9,46.5,1023.9,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/12/2020",-2.4,8.3,5.2,0.3,71.26,,14.4,,244.25,0.0,0.1,4.17,6.08,10.0,49.8,1030.2,"Mist, Rain, Fog, Sky Coverage Increasing, Sky Unchanged",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Partially cloudy"
"Focsani, Romania","01/13/2020",-5.8,0.8,-2.9,-3.8,93.8,,10.0,14.4,158.33,-7.8,0.0,0.0,54.64,3.7,39.5,1027.5,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/14/2020",-6.4,-2.4,-4.3,-5.1,94.15,,9.3,,187.5,-9.2,0.0,0.0,23.0,2.2,63.2,1028.0,"Mist, Fog, Smoke Or Haze",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/15/2020",-5.9,-2.4,-4.2,-4.8,95.45,,7.2,20.3,160.58,-8.5,0.0,0.0,6.08,0.5,99.6,1032.7,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","01/16/2020",-2.6,1.1,-1.1,-1.4,97.7,,10.8,39.6,189.25,-6.7,0.0,4.17,23.0,1.3,99.6,1033.0,"Mist, Fog, Freezing Drizzle/Freezing Rain, Sky Coverage Decreasing",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","01/17/2020",-3.1,1.8,-0.5,-1.6,92.44,,14.4,,181.67,-6.7,0.0,4.17,6.08,4.7,85.6,1034.6,"Mist, Rain, Fog, Rain Showers",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","01/18/2020",-2.4,2.8,1.1,-1.6,82.24,,14.4,,207.13,-2.9,0.0,0.0,6.08,7.0,87.7,1032.0,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","01/19/2020",-2.6,3.3,0.8,-2.2,80.62,,7.2,,163.63,-2.3,0.0,0.0,5.55,10.0,92.2,1030.7,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","01/20/2020",-0.4,3.0,1.1,-3.3,72.88,,14.4,,170.5,-2.4,0.0,0.0,5.28,10.0,64.0,1041.0,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/21/2020",-5.1,6.6,1.6,-6.2,57.76,,16.9,,241.46,-6.4,0.0,0.0,5.28,10.0,39.1,1039.7,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/22/2020",-3.6,11.1,4.0,-5.6,52.99,,18.1,54.0,200.0,1.2,0.0,0.0,5.28,10.0,33.7,1025.9,"",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/23/2020",-2.2,7.1,4.0,-6.6,46.7,,21.6,,309.58,-0.6,0.0,0.0,5.28,11.7,50.2,1028.4,"Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/24/2020",-6.9,9.3,-0.4,-6.5,66.41,,11.0,,216.96,-10.6,0.0,0.0,5.28,10.0,0.0,1029.5,"Fog",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","01/25/2020",-6.6,8.6,0.3,-6.5,63.63,,13.2,,243.88,-12.1,0.0,4.17,5.28,10.0,18.3,1022.6,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","01/26/2020",-4.3,9.3,1.7,-4.6,65.39,,14.1,30.0,214.17,-8.3,0.0,0.0,5.02,10.0,7.9,1024.6,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","01/27/2020",-2.6,6.9,1.7,-2.6,73.75,,7.2,,241.08,1.1,0.0,0.0,5.02,10.0,40.4,1019.3,"Mist, Fog, Sky Unchanged",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/28/2020",0.6,11.8,5.0,0.1,71.87,,10.8,,202.54,-1.2,0.0,4.17,4.75,9.0,64.3,1012.4,"Mist, Light Snow, Fog, Snow",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/29/2020",-1.4,9.8,4.6,-2.2,64.82,,18.1,,218.79,-4.3,0.0,8.33,4.75,10.2,64.8,1005.9,"Mist, Light Snow, Rain, Fog, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/30/2020",0.6,10.1,5.3,-5.3,48.01,,18.0,,259.96,-0.5,0.0,0.0,5.28,13.8,53.2,1013.8,"Fog, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","01/31/2020",-4.1,11.5,3.5,-4.1,59.99,,19.9,,190.17,-7.3,0.0,8.33,5.28,10.0,62.8,1011.9,"Light Snow, Fog, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/01/2020",3.3,17.0,9.3,2.0,61.66,,25.1,,180.75,0.8,0.0,8.33,5.81,12.1,74.3,1012.7,"Light Snow, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/02/2020",0.7,18.6,8.1,1.2,66.13,,14.5,61.2,138.92,-2.8,0.0,0.0,5.55,13.8,32.9,1011.1,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/03/2020",6.1,15.8,10.0,1.9,59.33,,14.4,61.2,260.08,5.3,1.99,20.83,4.75,10.0,83.9,1007.1,"Light Snow, Light Rain And Snow, Fog, Rain Showers, Sky Coverage Decreasing",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Overcast"
"Focsani, Romania","02/04/2020",0.6,11.3,5.7,3.4,85.86,,18.0,7.2,184.17,0.1,2.1,26.09,5.55,9.5,69.0,1005.2,"Light Snow, Mist, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Partially cloudy"
"Focsani, Romania","02/05/2020",-0.9,7.3,4.4,1.4,81.6,,39.7,,305.75,-7.8,2.01,50.0,3.75,7.8,99.7,997.9,"Mist, Light Snow, Rain, Light Rain And Snow, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Overcast"
"Focsani, Romania","02/06/2020",-1.5,2.8,-0.1,-8.4,54.78,,36.1,,311.63,-8.8,0.01,37.5,13.99,8.3,84.4,1016.3,"Blowing Or Drifting Snow, Light Snow, Mist, Dust storm, Fog, Snow",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Overcast"
"Focsani, Romania","02/07/2020",-2.4,3.8,1.2,-6.0,59.45,,18.1,,299.54,-7.2,0.5,25.0,10.04,9.8,68.5,1020.2,"Snow Showers, Mist, Light Snow, Heavy Rain And Snow, Light Rain And Snow, Dust storm, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Partially cloudy"
"Focsani, Romania","02/08/2020",-4.2,1.8,-1.2,-10.3,50.81,,14.4,,285.75,-7.6,0.0,0.0,10.83,12.5,49.8,1031.5,"Dust storm, Snow",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/09/2020",-3.4,7.8,0.5,-5.7,66.17,,10.8,,122.29,-5.7,0.0,0.0,10.83,10.0,49.8,1031.2,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/10/2020",-6.4,10.1,1.6,-4.1,69.65,,25.2,,173.88,-9.0,0.0,4.17,10.3,10.0,50.7,1018.3,"Mist, Rain, Light Rain, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/11/2020",3.4,14.0,8.2,-2.5,50.36,,21.7,,230.92,1.4,0.6,16.67,9.25,10.0,67.3,1004.1,"Light Snow, Dust storm, Fog, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Rain, Partially cloudy"
"Focsani, Romania","02/12/2020",1.3,10.8,6.4,-6.0,41.96,,18.1,,251.54,0.2,0.0,8.33,10.04,13.8,14.2,1012.5,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Dust storm, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","02/13/2020",-1.3,10.6,4.5,-7.1,45.22,,16.0,,250.58,-5.4,0.0,0.0,11.09,13.8,28.3,1022.3,"Mist, Dust storm, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/14/2020",-6.3,8.8,1.9,-3.9,66.78,,11.0,,161.79,-8.0,0.0,0.0,11.09,10.0,62.8,1020.7,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/15/2020",3.8,10.3,6.6,0.5,65.75,,14.5,,209.33,0.8,0.0,0.0,10.57,10.0,79.3,1026.7,"Fog",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","02/16/2020",-2.8,10.8,3.8,-1.4,70.69,,10.8,,179.33,-5.1,0.0,0.0,10.57,9.5,19.5,1033.6,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","02/17/2020",-0.9,15.3,6.5,-0.1,65.97,,25.2,,183.13,-3.1,0.0,0.0,9.25,9.3,24.5,1025.5,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Clear"
"Focsani, Romania","02/18/2020",-2.8,14.0,5.6,-0.1,70.22,,10.8,,218.67,-4.0,0.0,0.0,6.34,9.0,37.4,1020.5,"Mist",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/19/2020",6.3,13.1,9.9,1.3,56.41,,10.8,,233.38,7.5,0.0,0.0,5.81,12.5,84.8,1021.6,"",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","02/20/2020",3.8,12.1,7.4,-1.1,57.04,,10.8,,225.25,2.4,0.0,8.33,22.0,10.0,86.9,1019.8,"Snow Showers, Light Drizzle, Sky Coverage Increasing",45.696,27.184,"Focșani, România","Focșani, România","","Overcast"
"Focsani, Romania","02/21/2020",-1.3,9.6,5.1,0.1,71.06,,14.4,,200.21,-4.0,0.0,4.17,6.08,10.0,61.1,1022.7,"Snow And Rain Showers, Mist, Rain Showers, Sky Coverage Increasing, Sky Unchanged",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
"Focsani, Romania","02/22/2020",-0.8,9.1,3.2,-0.9,75.96,,12.5,,248.08,-3.6,0.0,0.0,6.08,11.7,37.5,1028.0,"Mist, Fog",45.696,27.184,"Focșani, România","Focșani, România","","Partially cloudy"
