Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Botosani, Romania","01/01/2021",1.8,5.6,4.2,2.9,91.95,,10.8,25.2,252.13,-0.3,0.0,4.17,0.0,5.7,81.8,1011.0,"Mist, Fog, Sky Coverage Increasing",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","01/02/2021",-1.4,7.0,2.0,-0.3,85.58,,10.8,28.7,126.67,-4.1,0.0,0.0,0.0,10.0,21.2,1022.1,"Mist, Fog",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Clear"
"Botosani, Romania","01/03/2021",0.2,9.6,6.9,4.8,86.77,,21.6,42.4,136.29,-2.3,0.0,4.17,0.0,9.2,86.4,1020.4,"Mist, Rain, Light Rain, Sky Coverage Increasing",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","01/04/2021",6.0,9.0,7.7,6.9,94.84,,18.0,36.6,117.92,2.6,0.4,33.33,0.0,2.6,99.7,1018.0,"Drizzle, Mist, Light Drizzle, Rain, Rain Showers, Fog, Light Rain",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/05/2021",1.1,5.6,2.9,2.5,97.08,,21.6,40.3,108.75,-4.0,4.39,75.0,1.0,2.3,99.7,1013.4,"Drizzle, Mist, Light Drizzle, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/06/2021",-0.4,2.5,1.6,1.4,98.82,,10.8,21.5,148.67,-2.8,0.01,12.5,0.0,1.1,99.6,1016.7,"Drizzle, Mist, Rain Showers, Fog, Light Rain",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/07/2021",1.2,6.5,3.1,1.3,89.19,,10.8,27.4,241.67,-1.1,0.6,20.83,0.0,4.9,76.8,1011.7,"Mist, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/08/2021",-2.9,2.3,0.0,-1.5,89.86,,7.2,22.3,213.08,-4.6,0.0,4.17,1.0,8.7,66.9,1016.2,"Mist, Light Snow, Fog, Rain Showers, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/09/2021",-1.1,4.5,0.5,-1.7,86.22,,14.4,12.9,247.71,-3.1,0.3,8.33,1.22,6.0,66.1,1019.5,"Snow Showers, Mist, Light Snow, Fog, Light Rain, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Partially cloudy"
"Botosani, Romania","01/10/2021",-3.4,2.6,-1.4,-4.7,79.06,,7.2,15.1,238.17,0.5,0.0,0.0,0.0,9.2,33.3,1024.5,"Mist, Fog",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/11/2021",-2.4,0.5,-1.1,-2.6,89.99,,10.8,18.0,163.0,-4.9,0.1,33.33,1.22,3.3,95.6,1024.3,"Snow Showers, Mist, Light Snow, Light Rain And Snow, Sky Coverage Increasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/12/2021",-1.2,0.6,-0.3,-1.5,91.53,,14.4,30.2,117.92,-4.9,0.0,4.17,2.72,3.2,99.3,1017.0,"Snow Showers, Light Snow, Mist, Rain, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","01/13/2021",-0.7,1.6,0.3,-1.8,85.81,,10.8,25.1,232.92,-3.9,0.0,0.0,3.0,6.5,97.6,1006.9,"Mist, Light Snow, Fog",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","01/14/2021",-1.5,3.5,0.0,-4.4,73.0,,14.4,26.7,221.5,-4.5,0.0,4.17,3.0,10.0,83.1,1006.3,"Snow Showers, Mist, Light Snow, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","01/15/2021",-5.2,-0.7,-3.4,-8.1,70.49,,21.6,32.4,307.5,-10.6,0.5,33.33,3.26,9.5,95.5,1013.7,"Snow Showers, Light Snow, Mist, Sky Coverage Increasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/16/2021",-10.7,-4.9,-7.5,-13.2,64.36,,21.6,28.8,252.04,-16.1,0.0,4.17,3.47,10.0,57.3,1017.7,"Snow Showers, Light Snow, Sky Unchanged, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/17/2021",-12.0,-3.0,-7.2,-10.8,76.24,,14.4,25.2,234.71,-10.9,0.11,12.5,3.76,9.5,53.2,1017.1,"Snow Showers, Mist, Light Snow, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Partially cloudy"
"Botosani, Romania","01/18/2021",-14.3,-6.7,-9.2,-12.8,75.67,,18.0,32.4,317.92,-17.2,0.6,25.0,1.01,6.7,60.7,1021.3,"Snow Showers, Light Snow, Mist, Sky Coverage Decreasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Partially cloudy"
"Botosani, Romania","01/19/2021",-18.1,-7.5,-12.0,-15.2,77.83,,7.2,10.8,162.5,-12.3,0.0,0.0,3.01,9.7,54.9,1023.1,"Snow Showers, Mist, Light Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/20/2021",-7.6,0.5,-3.7,-6.3,81.96,,10.8,14.4,115.0,-11.4,0.01,4.17,4.13,4.0,87.7,1018.9,"Snow Showers, Mist, Light Snow, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/21/2021",-4.3,10.1,2.3,-1.8,76.13,,18.0,26.0,137.92,-6.7,0.0,0.0,4.0,7.4,42.4,1017.6,"Mist",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/22/2021",3.7,14.5,7.6,0.1,60.5,,21.6,31.6,166.67,1.7,0.0,0.0,0.0,10.0,48.2,1012.2,"Mist",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/23/2021",0.6,8.6,4.1,0.8,79.46,,14.4,26.6,123.79,-1.2,0.0,0.0,0.0,9.2,60.7,1007.6,"Mist",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/24/2021",-1.6,10.3,3.7,1.1,84.2,,10.8,28.8,159.0,-1.2,0.0,0.0,,6.7,66.1,1001.1,"Mist, Rain, Fog",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/25/2021",1.6,6.1,3.3,1.5,88.42,,25.1,38.9,170.83,-2.3,0.9,20.83,0.0,6.2,93.9,996.8,"Mist, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Increasing",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","01/26/2021",-0.5,4.0,1.6,-3.7,67.88,,18.0,25.9,276.67,-3.0,0.0,0.0,0.0,10.0,68.6,1007.0,"",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/27/2021",-0.7,0.6,0.0,-4.9,69.7,,21.6,37.5,310.83,-5.3,0.0,0.0,0.0,10.0,97.6,1010.6,"Mist",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","01/28/2021",-3.9,0.6,-0.6,-5.3,70.74,,21.6,39.5,290.38,-5.7,0.0,4.17,0.0,9.9,69.8,1007.2,"Light Snow, Mist, Sky Coverage Increasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/29/2021",-4.1,5.5,1.3,-4.9,64.42,,14.4,23.2,194.29,-7.3,0.0,0.0,0.0,10.0,83.1,1000.9,"Mist",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","01/30/2021",-1.8,6.1,1.8,-1.2,81.4,,7.2,32.2,183.38,-2.3,0.0,0.0,0.0,8.0,69.4,996.7,"Mist",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","01/31/2021",-2.4,0.7,-1.4,-3.6,85.07,,21.7,46.8,218.33,-6.0,1.3,62.5,0.68,4.7,99.7,1007.5,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Rain, Light Rain And Snow, Rain Showers, Sky Coverage Increasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/01/2021",-2.7,-1.0,-2.1,-3.3,91.84,,10.8,19.5,197.08,-6.7,4.09,58.33,0.02,4.9,99.7,1007.4,"Light Snow, Mist, Rain Showers, Sky Coverage Increasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/02/2021",-5.6,-1.1,-3.0,-4.0,93.32,,10.8,20.8,157.96,-5.8,0.0,0.0,9.99,4.6,83.9,1013.4,"Mist, Light Snow, Fog",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","02/03/2021",-5.9,8.0,0.3,-2.1,85.43,,10.8,25.2,182.5,-8.8,0.07,4.17,8.99,5.1,80.1,1012.7,"Snow Showers, Mist, Fog, Rain Showers, Sky Coverage Increasing",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/04/2021",4.1,15.0,8.3,2.8,69.66,,18.1,50.5,219.96,0.9,0.7,25.0,0.0,10.0,79.3,1006.9,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/05/2021",0.1,4.5,2.1,-1.3,78.39,,21.6,43.7,227.54,-2.7,0.4,16.67,0.0,9.5,83.5,1019.9,"Mist, Light Snow, Light Rain And Snow, Light Rain",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/06/2021",-3.7,0.0,-2.0,-3.1,92.32,,7.2,17.2,85.42,-6.1,9.58,91.67,4.99,2.1,99.7,1019.8,"Light Snow, Mist, Rain, Light Rain And Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/07/2021",-5.4,-3.9,-4.7,-6.0,90.98,,18.0,38.0,110.83,-11.1,5.69,54.17,21.96,5.0,99.7,1018.0,"Snow Showers, Light Snow, Mist, Light Rain And Snow, Fog, Freezing Drizzle/Freezing Rain, Sky Coverage Increasing, Light Freezing Rain, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/08/2021",-5.5,-2.2,-4.2,-4.9,94.94,,18.0,42.3,107.08,-11.7,1.8,41.67,20.99,3.2,99.7,1006.7,"Snow Showers, Mist, Light Snow, Light Rain And Snow, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/09/2021",-2.0,2.1,-0.7,-2.3,89.34,,10.8,43.2,181.88,-5.5,0.15,8.33,14.97,5.5,82.5,1003.9,"Mist, Light Rain And Snow, Fog, Freezing Drizzle/Freezing Rain, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/10/2021",-2.6,2.5,-0.6,-1.9,91.25,,13.0,32.4,198.62,-6.5,0.1,4.17,12.99,4.3,92.5,1005.3,"Mist, Rain, Rain Showers, Light Rain",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/11/2021",-9.0,0.1,-2.8,-4.2,90.12,,42.5,59.4,248.25,-18.9,0.0,0.0,9.98,3.9,97.1,1007.8,"Mist",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Overcast"
"Botosani, Romania","02/12/2021",-13.0,-9.0,-11.6,-16.3,68.23,,46.4,65.4,284.42,-25.3,0.0,0.0,,9.7,54.5,,"",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","02/13/2021",-12.0,-4.0,-8.1,-16.5,51.93,,43.5,65.1,296.77,-22.4,0.0,0.0,7.99,10.0,39.6,1026.1,"Blowing Or Drifting Snow, Light Snow, Dust storm",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Partially cloudy"
"Botosani, Romania","02/14/2021",-3.9,-0.5,-2.2,-6.3,73.73,,18.0,35.2,301.25,-9.7,0.2,20.83,6.99,9.7,97.2,1029.9,"Snow Showers, Light Snow, Mist, Sky Coverage Increasing, Sky Unchanged, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/15/2021",-6.2,-1.5,-3.0,-7.0,74.53,,21.6,41.1,302.08,-9.7,0.3,41.67,7.99,7.6,84.3,1030.7,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Light Rain And Snow, Dust storm, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/16/2021",-11.6,-4.7,-7.9,-12.5,70.77,,10.8,25.2,232.96,-16.1,0.0,0.0,7.99,10.0,24.9,1031.0,"Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Clear"
"Botosani, Romania","02/17/2021",-10.9,-0.5,-5.2,-9.2,73.91,,10.8,26.6,125.79,-14.7,0.08,4.17,8.0,8.6,79.4,1019.7,"Snow Showers, Mist, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
"Botosani, Romania","02/18/2021",-10.1,-1.2,-3.6,-6.2,82.74,,10.9,37.4,303.33,-14.3,1.4,33.33,8.98,5.1,88.5,1021.6,"Snow Showers, Mist, Light Snow, Dust storm, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",47.7416,26.6682,"Botoșani, România","Botoșani, România","","Rain, Overcast"
