Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Braila, Romania","01/01/2021",3.1,10.1,7.0,4.8,86.03,,20.6,39.6,212.0,1.3,1.14,8.33,0.0,10.0,20.8,1012.5,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain"
"Braila, Romania","01/02/2021",0.4,10.4,4.7,2.7,87.32,,19.7,18.0,141.67,-2.3,0.0,0.0,0.0,13.1,7.8,1023.6,"Mist, Fog",45.2641,27.9688,"Brăila, România","Brăila, România","","Clear"
"Braila, Romania","01/03/2021",5.7,10.9,8.8,7.4,90.82,,26.9,28.8,127.21,3.4,0.3,37.5,0.0,8.3,77.9,1022.3,"Mist, Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/04/2021",6.0,11.8,8.8,7.6,92.07,,26.9,32.4,105.96,4.9,0.04,29.17,0.0,7.2,56.0,1018.0,"Drizzle, Mist, Light Drizzle, Rain, Rain Showers, Fog, Light Rain",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/05/2021",6.5,11.2,8.8,7.3,90.28,,24.4,39.6,152.83,5.1,2.7,62.5,0.01,8.7,72.9,1011.5,"Drizzle, Mist, Light Drizzle, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Increasing",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/06/2021",1.2,11.5,5.6,3.5,87.24,,16.6,25.2,166.54,-1.1,0.0,0.0,0.0,11.8,15.5,1017.8,"Mist, Fog",45.2641,27.9688,"Brăila, România","Brăila, România","","Clear"
"Braila, Romania","01/07/2021",4.6,11.7,7.9,5.7,86.38,,17.5,25.2,193.88,2.2,0.0,8.33,0.0,10.4,61.3,1012.9,"Mist, Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.2641,27.9688,"Brăila, România","Brăila, România","","Partially cloudy"
"Braila, Romania","01/08/2021",1.6,5.1,3.7,2.8,94.37,,21.2,34.4,110.38,-3.0,8.42,58.33,0.0,10.0,80.5,1014.6,"Mist, Light Snow, Light Drizzle, Rain, Light Rain And Snow, Light Rain, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/09/2021",0.2,4.9,1.8,0.2,89.96,,14.3,25.2,264.29,-2.9,2.57,41.67,0.03,9.0,58.2,1019.2,"Snow Showers, Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Light Rain, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/10/2021",0.2,4.4,2.2,0.6,89.51,,10.1,14.4,95.46,1.0,0.0,16.67,0.0,8.9,82.2,1023.8,"Snow Showers, Mist, Light Snow, Rain, Light Rain, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Overcast"
"Braila, Romania","01/11/2021",0.6,2.5,1.4,0.3,92.63,,20.9,28.8,37.08,-4.5,1.26,79.17,0.06,6.3,83.5,1022.0,"Light Snow, Mist, Rain, Heavy Rain And Snow, Light Rain And Snow, Light Rain, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/12/2021",0.2,3.4,2.0,0.8,91.96,,20.8,28.8,33.08,-4.0,1.08,33.33,0.07,9.6,83.5,1016.3,"Mist, Light Snow, Light Drizzle, Rain, Light Rain And Snow, Rain Showers, Light Rain, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/13/2021",-1.4,2.4,0.2,-0.4,95.64,,14.1,32.3,222.42,-4.5,2.4,33.33,4.84,8.1,83.2,1007.6,"Snow Showers, Light Snow, Mist, Rain, Light Rain And Snow, Fog, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/14/2021",-1.6,3.5,0.3,-1.2,90.53,,16.9,25.2,176.75,-4.3,0.1,12.5,1.58,7.9,58.9,1008.2,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/15/2021",-3.8,1.3,-1.2,-3.1,87.21,,13.7,25.2,115.54,-6.0,0.0,0.0,1.0,7.4,59.6,1013.1,"Snow Showers, Mist",45.2641,27.9688,"Brăila, România","Brăila, România","","Partially cloudy"
"Braila, Romania","01/16/2021",-6.8,-1.4,-3.7,-7.4,75.65,,20.3,36.0,26.04,-12.6,0.19,29.17,0.95,9.9,80.1,1016.3,"Light Snow, Mist, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/17/2021",-10.6,-5.0,-7.5,-12.3,68.73,,17.2,25.2,210.58,-16.9,0.0,0.0,1.09,10.0,49.1,1017.6,"Mist",45.2641,27.9688,"Brăila, România","Brăila, România","","Partially cloudy"
"Braila, Romania","01/18/2021",-7.4,-3.2,-5.1,-7.9,80.86,,13.4,25.2,103.54,-12.2,0.02,12.5,0.97,10.0,71.2,1020.5,"Light Snow, Mist, Sky Coverage Decreasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/19/2021",-11.7,-2.0,-6.8,-9.6,80.8,,10.8,25.2,225.0,-10.2,0.0,0.0,1.09,9.7,41.1,1024.0,"Mist",45.2641,27.9688,"Brăila, România","Brăila, România","","Partially cloudy"
"Braila, Romania","01/20/2021",-6.1,3.4,-1.9,-4.3,84.26,,16.8,28.8,160.96,-11.0,0.0,0.0,1.09,9.7,61.3,1021.3,"Mist, Sky Coverage Decreasing",45.2641,27.9688,"Brăila, România","Brăila, România","","Partially cloudy"
"Braila, Romania","01/21/2021",-2.2,8.7,2.0,-0.7,83.1,,16.8,26.8,168.58,-6.3,0.0,0.0,1.0,11.5,12.0,1021.5,"Mist, Fog",45.2641,27.9688,"Brăila, România","Brăila, România","","Clear"
"Braila, Romania","01/22/2021",0.3,8.6,3.6,0.5,80.55,,17.5,43.2,173.92,-3.3,0.0,0.0,1.0,12.2,33.7,1017.2,"Mist, Fog",45.2641,27.9688,"Brăila, România","Brăila, România","","Partially cloudy"
"Braila, Romania","01/23/2021",2.1,12.4,6.3,3.8,84.36,,20.5,32.4,163.42,-1.1,0.0,0.0,1.0,10.3,57.8,1010.6,"Mist",45.2641,27.9688,"Brăila, România","Brăila, România","","Partially cloudy"
"Braila, Romania","01/24/2021",5.1,11.6,8.3,5.9,85.51,,27.2,39.6,174.5,2.6,0.18,8.33,0.0,11.3,55.5,1004.2,"Mist, Rain, Light Rain, Sky Coverage Increasing",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/25/2021",2.0,10.5,6.8,4.7,86.52,,23.9,43.2,183.38,-1.6,2.6,37.5,0.03,9.9,70.2,999.3,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/26/2021",0.6,2.6,1.4,-0.3,89.01,,20.0,25.2,107.38,-3.9,1.76,50.0,0.0,10.0,72.1,1006.9,"Mist, Light Snow, Light Rain And Snow, Rain Showers, Light Rain, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/27/2021",-0.7,0.2,-0.2,-0.9,94.48,,21.6,54.0,344.17,-5.6,8.63,83.33,1.24,8.5,83.5,1006.3,"Blowing Or Drifting Snow, Light Snow, Mist, Light Rain And Snow, Dust storm, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/28/2021",-1.2,2.6,0.5,-2.5,80.88,,14.9,50.4,245.92,-4.3,0.13,16.67,5.99,10.1,77.7,1007.6,"Mist, Light Snow, Sky Coverage Increasing, Sky Unchanged, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","01/29/2021",-4.7,3.6,-0.8,-2.9,85.63,,17.4,36.0,188.0,-9.9,52.78,4.17,5.74,12.0,43.6,1004.8,"Mist",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/30/2021",-0.3,6.7,2.5,0.8,88.99,,16.8,25.2,153.38,-3.9,26.56,8.33,2.87,11.5,62.9,999.2,"Mist, Rain, Rain Showers, Light Rain",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Partially cloudy"
"Braila, Romania","01/31/2021",0.2,3.4,1.2,-0.4,89.12,,23.7,32.4,67.04,-5.1,0.0,0.0,0.0,7.4,76.0,1005.6,"Mist, Light Snow, Fog, Sky Coverage Increasing, Snow",45.2641,27.9688,"Brăila, România","Brăila, România","","Overcast"
"Braila, Romania","02/01/2021",-0.1,2.0,0.8,0.2,95.8,,23.7,28.8,176.08,-5.9,3.84,41.67,0.01,8.1,83.5,1005.1,"Ice, Drizzle, Mist, Light Drizzle, Rain, Fog, Light Rain, Sky Coverage Increasing, Light Freezing Rain",45.2641,27.9688,"Brăila, România","Brăila, România","","Rain, Overcast"
"Braila, Romania","02/02/2021",-0.1,4.4,2.2,1.1,92.9,,10.7,21.6,123.13,-3.3,0.0,0.0,0.0,5.1,79.5,1013.6,"Mist, Fog",45.2641,27.9688,"Brăila, România","Brăila, România","","Overcast"
"Braila, Romania","02/03/2021",2.5,5.2,3.7,3.5,98.74,,17.3,28.8,194.5,-1.6,0.0,0.0,0.0,4.0,83.1,1015.6,"Mist, Fog",45.2641,27.9688,"Brăila, România","Brăila, România","","Overcast"
