Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Sfantu Gheorghe, Romania","01/01/2021",-2.6,5.5,2.6,0.6,87.31,,10.8,36.0,275.54,2.8,0.1,8.33,0.0,13.4,0.3,,"Mist, Rain Showers, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/02/2021",-5.4,8.6,-0.2,-3.0,83.35,,10.8,25.2,190.21,1.2,0.0,0.0,0.0,18.4,0.0,,"Mist, Fog, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Clear"
"Sfantu Gheorghe, Romania","01/03/2021",-1.9,8.1,4.5,2.2,85.24,,18.0,25.2,141.83,0.1,0.0,8.33,0.0,11.6,0.3,,"Mist, Rain Showers",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Clear"
"Sfantu Gheorghe, Romania","01/04/2021",-1.4,10.6,4.7,2.7,88.11,,18.0,32.4,156.33,5.1,0.1,8.33,0.0,13.5,23.1,,"Mist, Rain Showers",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/05/2021",3.1,9.0,6.0,3.1,81.47,,25.2,36.0,146.67,1.2,2.23,45.83,1.0,10.8,32.3,,"Mist, Light Snow, Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/06/2021",-3.4,7.6,1.1,-0.3,90.81,,7.2,28.8,170.75,-2.6,0.0,8.33,2.0,11.6,8.1,,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Clear"
"Sfantu Gheorghe, Romania","01/07/2021",-0.9,6.6,2.1,-0.6,82.93,,18.0,39.6,181.21,-2.4,0.41,20.83,0.0,12.2,32.2,,"Snow And Rain Showers, Snow Showers, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Sky Unchanged",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/08/2021",-1.3,0.6,-0.1,-0.8,95.15,,6.6,25.2,205.88,-2.1,8.09,20.83,4.52,5.8,33.5,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/09/2021",-6.5,1.1,-1.9,-3.7,87.74,,7.2,25.2,231.08,-4.4,0.11,12.5,4.64,11.0,0.3,,"Mist, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/10/2021",-5.5,-0.5,-3.0,-4.8,87.51,,10.8,43.2,196.96,-8.1,0.05,4.17,3.97,10.1,0.4,,"Mist, Fog",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/11/2021",-2.2,0.5,-1.1,-2.8,88.22,,18.0,36.0,49.83,-6.7,4.39,58.33,7.34,6.8,29.4,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/12/2021",-4.1,0.6,-1.2,-2.7,89.63,,7.2,18.0,152.75,-3.6,0.9,25.0,11.98,9.5,33.5,,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/13/2021",-1.7,1.0,-0.5,-2.7,85.04,,10.9,46.8,259.92,-5.3,0.9,33.33,10.99,9.3,33.1,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/14/2021",-9.1,-1.2,-4.6,-6.6,86.39,,10.8,32.4,207.79,-7.1,0.2,16.67,10.99,8.2,31.4,,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/15/2021",-4.0,-0.5,-2.7,-5.7,80.22,,10.8,36.0,279.54,-6.5,1.3,20.83,11.99,8.5,32.3,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/16/2021",-10.0,-3.7,-6.5,-10.2,75.45,,10.8,32.4,281.29,-13.5,0.3,25.0,9.83,9.5,0.3,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/17/2021",-14.2,-8.7,-10.4,-13.1,80.51,,7.2,21.6,205.17,-15.5,0.0,4.17,11.64,9.0,0.3,,"Snow And Rain Showers, Snow Showers, Mist, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Clear"
"Sfantu Gheorghe, Romania","01/18/2021",-8.7,-6.2,-7.5,-11.3,74.31,,14.4,46.8,266.25,-12.8,0.2,20.83,11.0,7.9,32.7,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/19/2021",-8.2,-5.2,-6.6,-9.9,77.65,,7.2,32.4,216.83,-12.0,0.0,16.67,12.82,9.3,28.1,,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Partially cloudy"
"Sfantu Gheorghe, Romania","01/20/2021",-5.7,-0.2,-3.0,-4.6,89.34,,7.2,28.8,181.29,-4.1,0.9,37.5,10.95,6.6,33.5,,"Snow And Rain Showers, Snow Showers, Mist, Light Snow, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/21/2021",-7.8,0.4,-3.4,-4.4,92.73,,7.2,18.0,137.83,-2.0,0.0,0.0,11.05,4.8,28.0,,"Mist, Fog",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Partially cloudy"
"Sfantu Gheorghe, Romania","01/22/2021",-9.4,-3.0,-6.8,-7.8,92.55,,6.1,18.0,48.63,-11.6,99.56,4.17,10.7,3.9,15.6,,"Mist, Fog, Sky Coverage Increasing, Sky Unchanged",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/23/2021",-8.9,5.2,-3.4,-5.0,89.37,,7.2,25.2,209.13,-5.8,0.09,4.17,9.88,13.6,0.3,,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/24/2021",-4.1,8.3,0.9,-1.3,85.86,,9.4,28.8,126.83,-7.3,0.08,8.33,7.4,16.0,0.3,,"Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/25/2021",-2.9,7.1,2.2,-1.6,75.94,,18.0,57.6,207.67,-4.1,0.3,29.17,3.99,11.8,29.4,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Rain Showers, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/26/2021",-2.0,1.0,-0.7,-3.3,82.88,,7.2,32.4,239.88,-4.4,0.4,20.83,4.0,7.4,33.5,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/27/2021",-3.2,-1.2,-2.1,-5.0,80.89,,14.4,39.6,280.75,-7.6,1.62,50.0,9.18,7.3,33.5,,"Light Snow, Mist, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/28/2021",-3.2,-1.9,-2.6,-6.5,74.4,,14.4,43.2,274.58,-7.6,0.0,20.83,9.09,8.1,33.5,,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Dust storm, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Partially cloudy"
"Sfantu Gheorghe, Romania","01/29/2021",-6.5,-0.4,-3.6,-5.4,87.02,,7.2,32.4,156.75,-5.8,80.06,12.5,15.27,8.9,33.5,,"Mist, Light Snow, Sky Coverage Increasing, Snow",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","01/30/2021",-1.4,4.1,1.1,0.1,93.34,,7.2,32.4,241.42,-0.5,0.3,16.67,14.93,11.6,0.3,,"Light Snow, Mist, Rain, Light Rain, Sky Coverage Decreasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","01/31/2021",-4.9,7.0,0.2,-1.8,87.17,,7.2,46.8,230.17,-3.5,0.2,8.33,10.42,15.9,0.3,,"Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","02/01/2021",-0.6,7.0,2.2,0.5,88.46,,7.2,50.4,212.54,-1.1,0.4,12.5,7.39,12.0,28.1,,"Rain Showers, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Light Freezing Rain",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","02/02/2021",-1.3,9.7,3.1,1.4,89.25,,7.2,14.4,220.29,8.1,0.15,4.17,86.41,12.6,9.7,,"Mist, Fog, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","02/03/2021",-2.8,6.6,1.0,0.0,93.43,,7.2,18.0,159.5,-3.4,0.14,4.17,28.0,8.7,18.0,,"Mist, Fog, Sky Coverage Decreasing, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","02/04/2021",-1.6,11.5,5.2,2.0,81.47,,21.6,72.0,252.08,5.3,1.24,16.67,0.0,13.8,28.5,,"Mist, Fog, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
"Sfantu Gheorghe, Romania","02/05/2021",1.6,11.0,6.9,3.1,77.54,,10.8,36.0,164.96,3.3,0.0,0.0,22.0,16.4,16.9,,"Rain Showers",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Clear"
"Sfantu Gheorghe, Romania","02/06/2021",3.1,13.1,7.9,4.6,80.79,,7.3,39.6,252.13,7.5,0.11,4.17,21.0,17.9,0.3,,"Fog, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","02/07/2021",2.0,8.5,5.3,1.6,77.26,,14.4,43.2,143.63,3.1,0.1,4.17,19.0,18.9,0.3,,"Mist",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain"
"Sfantu Gheorghe, Romania","02/08/2021",-0.9,9.2,4.1,2.2,87.4,,10.8,36.0,159.04,0.0,1.58,20.83,17.0,14.3,33.5,,"Rain, Rain Showers, Fog, Light Rain, Sky Coverage Increasing",45.8634,25.8049,"Sfântu Gheorghe, România","Sfântu Gheorghe, România","","Rain, Partially cloudy"
