Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Suceava, Romania","01/01/2021",0.9,4.2,2.6,1.3,91.82,,16.8,28.8,254.88,-2.7,0.07,4.17,0.0,6.3,62.8,1009.9,"Mist, Fog, Sky Coverage Increasing",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/02/2021",-1.5,6.6,1.5,-1.7,79.6,,19.9,18.0,177.5,-5.4,0.0,0.0,0.0,12.3,20.7,1020.8,"",47.64372,26.26099,"Suceava, România","Suceava, România","","Clear"
"Suceava, Romania","01/03/2021",1.0,7.0,4.7,3.4,91.44,,32.3,36.0,162.25,-4.1,0.04,4.17,0.0,8.9,78.4,1018.9,"Mist, Rain, Light Rain, Sky Coverage Increasing",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Overcast"
"Suceava, Romania","01/04/2021",4.2,7.2,5.8,5.3,96.19,,23.9,21.6,151.92,1.7,0.44,33.33,0.0,5.2,96.3,1016.5,"Drizzle, Mist, Light Drizzle, Fog, Light Rain, Sky Coverage Increasing",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Overcast"
"Suceava, Romania","01/05/2021",0.1,6.1,2.3,2.2,99.18,,27.6,36.0,108.46,-5.0,4.55,75.0,0.55,0.8,97.6,1011.3,"Drizzle, Mist, Light Drizzle, Rain, Heavy Rain And Snow, Light Rain And Snow, Fog, Light Rain",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Overcast"
"Suceava, Romania","01/06/2021",-0.5,5.7,1.4,0.5,94.09,,10.6,18.0,158.38,-3.9,1.04,12.5,0.0,4.9,51.6,1015.1,"Mist, Light Drizzle, Fog, Light Rain, Sky Coverage Decreasing",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/07/2021",0.6,6.0,2.5,0.0,84.72,,17.3,36.0,248.63,-2.5,0.63,20.83,0.0,9.7,65.9,1010.4,"Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/08/2021",-1.5,1.8,0.0,-2.9,81.39,,13.0,18.0,159.92,-4.6,0.01,4.17,0.05,8.7,64.1,1014.7,"Light Snow, Mist, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/09/2021",-3.0,1.6,-0.9,-3.1,85.16,,13.2,14.4,258.63,-6.9,0.21,8.33,1.0,9.0,59.2,1018.3,"Light Snow, Mist, Fog, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/10/2021",-3.5,1.0,-1.7,-5.8,73.46,,10.9,21.6,244.21,-7.5,0.0,0.0,0.0,10.1,40.3,1023.3,"Mist",47.64372,26.26099,"Suceava, România","Suceava, România","","Partially cloudy"
"Suceava, Romania","01/11/2021",-2.9,-1.2,-2.1,-3.3,91.92,,13.9,14.4,157.42,-7.4,0.74,33.33,1.87,5.8,89.2,1022.7,"Mist, Light Snow, Sky Coverage Increasing, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Overcast"
"Suceava, Romania","01/12/2021",-2.8,-0.1,-1.4,-1.9,96.27,,16.7,21.6,156.88,-7.8,0.02,4.17,2.8,4.4,92.5,1015.3,"Light Snow, Mist, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Overcast"
"Suceava, Romania","01/13/2021",-3.8,0.2,-1.4,-2.6,92.2,,16.5,18.0,251.54,-6.1,0.0,0.0,3.0,5.1,90.9,1005.7,"Mist, Fog, Sky Coverage Increasing, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Overcast"
"Suceava, Romania","01/14/2021",-4.5,0.1,-2.3,-5.0,81.85,,12.7,28.8,241.33,-8.6,0.1,4.17,3.0,10.0,70.2,1005.3,"Mist, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/15/2021",-7.0,-2.1,-5.2,-8.7,76.4,,23.4,32.4,318.54,-13.7,1.03,25.0,1.19,9.3,91.1,1012.6,"Light Snow, Mist, Sky Coverage Increasing, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Overcast"
"Suceava, Romania","01/16/2021",-12.7,-6.9,-9.6,-13.7,72.39,,30.5,28.8,283.29,-19.4,0.03,4.17,1.25,11.7,61.1,1016.5,"Light Snow, Sky Unchanged, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/17/2021",-13.4,-4.0,-8.4,-11.7,77.41,,17.7,25.2,281.54,-18.7,3.36,12.5,3.34,11.0,66.0,1015.9,"Light Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/18/2021",-14.4,-7.6,-10.6,-13.5,78.94,,25.3,32.4,328.58,-21.3,0.81,25.0,2.18,7.7,70.0,1020.0,"Light Snow, Mist, Dust storm, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Partially cloudy"
"Suceava, Romania","01/19/2021",-16.9,-7.2,-11.6,-14.5,79.39,,9.7,10.8,176.92,-22.5,0.0,0.0,2.38,8.9,56.9,1021.5,"Mist, Light Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Partially cloudy"
"Suceava, Romania","01/20/2021",-7.2,1.1,-2.2,-5.4,78.92,,18.3,14.4,199.08,-11.0,3.25,4.17,2.2,9.3,79.4,1017.1,"Mist, Light Snow, Snow",47.64372,26.26099,"Suceava, România","Suceava, România","","Rain, Overcast"
"Suceava, Romania","01/21/2021",-1.5,6.7,1.9,-1.7,77.28,,21.0,30.0,202.04,-6.7,0.0,0.0,2.0,11.8,54.0,1016.6,"Mist",47.64372,26.26099,"Suceava, România","Suceava, România","","Partially cloudy"
"Suceava, Romania","01/22/2021",1.5,10.6,4.5,0.0,72.84,,18.0,32.4,188.42,-2.1,0.0,0.0,0.0,11.9,70.0,1011.4,"",47.64372,26.26099,"Suceava, România","Suceava, România","","Partially cloudy"
