Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Tulcea, Romania","01/01/2021",4.1,11.2,7.5,3.8,78.5,,40.0,44.3,231.42,0.6,0.14,4.17,0.0,11.2,10.7,1012.8,"Mist, Sky Unchanged",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Rain"
"Tulcea, Romania","01/02/2021",1.7,10.3,5.7,3.1,83.69,,20.3,13.1,202.33,-0.9,0.0,0.0,0.0,9.1,17.6,1024.0,"Mist, Fog, Rain Showers",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Clear"
"Tulcea, Romania","01/03/2021",7.4,10.0,8.8,7.8,93.62,,29.4,,134.21,3.7,0.06,4.17,0.0,8.2,65.1,1023.4,"Mist, Rain Showers, Fog, Sky Coverage Increasing, Sky Unchanged",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Rain, Partially cloudy"
"Tulcea, Romania","01/04/2021",8.7,9.9,9.1,8.1,93.66,,29.7,,125.58,5.2,0.0,0.0,0.0,8.5,77.8,1019.1,"Mist, Fog",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Overcast"
"Tulcea, Romania","01/05/2021",6.8,10.9,8.8,7.3,89.89,,27.6,,148.63,3.2,1.66,25.0,0.0,9.3,59.9,1012.4,"Mist, Rain, Fog, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Rain, Partially cloudy"
"Tulcea, Romania","01/06/2021",3.5,12.3,7.0,4.0,82.29,,22.5,28.8,190.83,0.9,0.0,0.0,0.0,10.3,14.4,1018.1,"Mist",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Clear"
"Tulcea, Romania","01/07/2021",5.0,13.9,8.4,6.0,85.64,,40.2,,209.88,1.5,0.67,8.33,0.0,9.7,51.8,1013.1,"Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Rain, Partially cloudy"
"Tulcea, Romania","01/08/2021",1.3,5.7,4.2,2.7,89.97,,27.5,51.4,125.96,-4.3,11.79,62.5,,9.4,74.3,1014.0,"Mist, Light Drizzle, Rain, Rain Showers, Light Rain",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Rain, Partially cloudy"
"Tulcea, Romania","01/09/2021",0.1,4.2,1.4,-0.1,90.35,,33.5,,301.96,-6.4,8.78,45.83,1.0,8.6,50.8,1018.2,"Snow And Rain Showers, Snow Showers, Light Snow, Mist, Rain, Light Rain And Snow, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Snow",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Rain, Partially cloudy"
"Tulcea, Romania","01/10/2021",0.4,4.0,2.2,-0.2,84.57,,14.3,,161.29,-2.8,0.01,4.17,0.0,9.5,56.0,1023.5,"Mist, Light Rain",45.17896,28.80233,"Tulcea, România","Tulcea, România","","Rain, Partially cloudy"
